name,value,date
MongoDB,101.77,2012-11
MongoDB,103.774,2012-12
MongoDB,96.126,2013-01
MongoDB,116.13600000000001,2013-02
MongoDB,124.225,2013-03
MongoDB,129.748,2013-04
MongoDB,134.94799999999998,2013-05
MongoDB,137.49200000000002,2013-06
MongoDB,140.46200000000002,2013-07
MongoDB,155.99200000000002,2013-08
MongoDB,152.188,2013-09
MongoDB,149.477,2013-10
MongoDB,161.872,2013-11
MongoDB,183.06799999999998,2013-12
MongoDB,178.231,2014-01
MongoDB,195.175,2014-02
MongoDB,199.986,2014-03
MongoDB,214.34099999999998,2014-04
MongoDB,224.62099999999998,2014-05
MongoDB,231.44299999999998,2014-06
MongoDB,238.775,2014-07
MongoDB,237.355,2014-08
MongoDB,240.983,2014-09
MongoDB,240.407,2014-10
MongoDB,244.734,2014-11
MongoDB,246.518,2014-12
MongoDB,250.89700000000002,2015-01
MongoDB,267.244,2015-02
MongoDB,275.013,2015-03
MongoDB,278.595,2015-04
MongoDB,277.324,2015-05
MongoDB,279.051,2015-06
MongoDB,287.395,2015-07
MongoDB,294.654,2015-08
MongoDB,300.566,2015-09
MongoDB,293.267,2015-10
MongoDB,304.607,2015-11
MongoDB,301.39099999999996,2015-12
MongoDB,306.029,2016-01
MongoDB,305.599,2016-02
MongoDB,305.33099999999996,2016-03
MongoDB,312.443,2016-04
MongoDB,320.222,2016-05
MongoDB,314.622,2016-06
MongoDB,315.002,2016-07
MongoDB,318.48900000000003,2016-08
MongoDB,315.997,2016-09
MongoDB,318.802,2016-10
MongoDB,325.47700000000003,2016-11
MongoDB,328.684,2016-12
MongoDB,331.904,2017-01
MongoDB,335.5,2017-02
MongoDB,326.933,2017-03
MongoDB,325.425,2017-04
MongoDB,331.582,2017-05
MongoDB,335.001,2017-06
MongoDB,332.767,2017-07
MongoDB,330.496,2017-08
MongoDB,332.735,2017-09
MongoDB,329.401,2017-10
MongoDB,330.475,2017-11
MongoDB,330.77,2017-12
MongoDB,330.949,2018-01
MongoDB,336.42400000000004,2018-02
MongoDB,340.522,2018-03
MongoDB,341.41,2018-04
MongoDB,342.11300000000006,2018-05
MongoDB,343.788,2018-06
MongoDB,350.325,2018-07
MongoDB,350.98,2018-08
MongoDB,358.793,2018-09
MongoDB,363.186,2018-10
MongoDB,369.48199999999997,2018-11
MongoDB,378.62,2018-12
MongoDB,387.185,2019-01
MongoDB,395.094,2019-02
MongoDB,401.338,2019-03
MongoDB,401.975,2019-04
MongoDB,408.07099999999997,2019-05
MongoDB,403.903,2019-06
MongoDB,409.92800000000005,2019-07
MongoDB,404.565,2019-08
MongoDB,410.06,2019-09
MongoDB,412.089,2019-10
MongoDB,413.18300000000005,2019-11
MongoDB,421.121,2019-12
Amazon DynamoDB,0.0,2012-11
Amazon DynamoDB,3.36,2012-12
Amazon DynamoDB,2.437,2013-01
Amazon DynamoDB,4.065,2013-02
Amazon DynamoDB,3.83,2013-03
Amazon DynamoDB,4.484,2013-04
Amazon DynamoDB,4.999,2013-05
Amazon DynamoDB,4.971,2013-06
Amazon DynamoDB,5.31,2013-07
Amazon DynamoDB,6.041,2013-08
Amazon DynamoDB,6.4079999999999995,2013-09
Amazon DynamoDB,6.183,2013-10
Amazon DynamoDB,6.235,2013-11
Amazon DynamoDB,7.433,2013-12
Amazon DynamoDB,7.523,2014-01
Amazon DynamoDB,8.362,2014-02
Amazon DynamoDB,8.88,2014-03
Amazon DynamoDB,9.312000000000001,2014-04
Amazon DynamoDB,9.276,2014-05
Amazon DynamoDB,9.577,2014-06
Amazon DynamoDB,10.019,2014-07
Amazon DynamoDB,10.11,2014-08
Amazon DynamoDB,10.671,2014-09
Amazon DynamoDB,10.577,2014-10
Amazon DynamoDB,12.314,2014-11
Amazon DynamoDB,12.818,2014-12
Amazon DynamoDB,13.095,2015-01
Amazon DynamoDB,13.974,2015-02
Amazon DynamoDB,14.873,2015-03
Amazon DynamoDB,14.58,2015-04
Amazon DynamoDB,14.872,2015-05
Amazon DynamoDB,15.847999999999999,2015-06
Amazon DynamoDB,16.515,2015-07
Amazon DynamoDB,18.448,2015-08
Amazon DynamoDB,19.986,2015-09
Amazon DynamoDB,21.328000000000003,2015-10
Amazon DynamoDB,21.747,2015-11
Amazon DynamoDB,21.226999999999997,2015-12
Amazon DynamoDB,21.8,2016-01
Amazon DynamoDB,21.802,2016-02
Amazon DynamoDB,22.226,2016-03
Amazon DynamoDB,23.116,2016-04
Amazon DynamoDB,23.596999999999998,2016-05
Amazon DynamoDB,24.337,2016-06
Amazon DynamoDB,24.93,2016-07
Amazon DynamoDB,26.596,2016-08
Amazon DynamoDB,27.42,2016-09
Amazon DynamoDB,28.978,2016-10
Amazon DynamoDB,29.781999999999996,2016-11
Amazon DynamoDB,30.009,2016-12
Amazon DynamoDB,31.031999999999996,2017-01
Amazon DynamoDB,32.191,2017-02
Amazon DynamoDB,31.127,2017-03
Amazon DynamoDB,32.064,2017-04
Amazon DynamoDB,33.201,2017-05
Amazon DynamoDB,34.019,2017-06
Amazon DynamoDB,36.463,2017-07
Amazon DynamoDB,37.621,2017-08
Amazon DynamoDB,37.821999999999996,2017-09
Amazon DynamoDB,37.597,2017-10
Amazon DynamoDB,37.126,2017-11
Amazon DynamoDB,36.713,2017-12
Amazon DynamoDB,37.926,2018-01
Amazon DynamoDB,39.878,2018-02
Amazon DynamoDB,42.455,2018-03
Amazon DynamoDB,43.145,2018-04
Amazon DynamoDB,44.19,2018-05
Amazon DynamoDB,45.795,2018-06
Amazon DynamoDB,49.631,2018-07
Amazon DynamoDB,51.657,2018-08
Amazon DynamoDB,53.343,2018-09
Amazon DynamoDB,54.466,2018-10
Amazon DynamoDB,53.81399999999999,2018-11
Amazon DynamoDB,54.29600000000001,2018-12
Amazon DynamoDB,55.093999999999994,2019-01
Amazon DynamoDB,54.946000000000005,2019-02
Amazon DynamoDB,54.492,2019-03
Amazon DynamoDB,56.01,2019-04
Amazon DynamoDB,55.933,2019-05
Amazon DynamoDB,55.262,2019-06
Amazon DynamoDB,56.417,2019-07
Amazon DynamoDB,56.57,2019-08
Amazon DynamoDB,57.815,2019-09
Amazon DynamoDB,60.175,2019-10
Amazon DynamoDB,61.369,2019-11
Amazon DynamoDB,61.629,2019-12
Couchbase,3.38,2012-11
Couchbase,3.603,2012-12
Couchbase,4.001,2013-01
Couchbase,3.9810000000000003,2013-02
Couchbase,4.178999999999999,2013-03
Couchbase,5.335,2013-04
Couchbase,6.5760000000000005,2013-05
Couchbase,6.369,2013-06
Couchbase,6.834,2013-07
Couchbase,7.005,2013-08
Couchbase,7.795,2013-09
Couchbase,7.316,2013-10
Couchbase,7.268,2013-11
Couchbase,10.017000000000001,2013-12
Couchbase,10.109,2014-01
Couchbase,11.061,2014-02
Couchbase,11.828,2014-03
Couchbase,12.925,2014-04
Couchbase,14.057,2014-05
Couchbase,15.786,2014-06
Couchbase,16.581,2014-07
Couchbase,17.543,2014-08
