name,value,date
Neo4j,6.97,2012-11
Neo4j,6.38,2012-12
Neo4j,6.156000000000001,2013-01
Neo4j,7.117000000000001,2013-02
Neo4j,7.438,2013-03
Neo4j,8.341000000000001,2013-04
Neo4j,8.129,2013-05
Neo4j,8.832,2013-06
Neo4j,8.917,2013-07
Neo4j,9.726,2013-08
Neo4j,10.329,2013-09
Neo4j,10.662,2013-10
Neo4j,10.298,2013-11
Neo4j,13.773,2013-12
Neo4j,14.743,2014-01
Neo4j,17.937,2014-02
Neo4j,18.769000000000002,2014-03
Neo4j,20.555,2014-04
Neo4j,21.461,2014-05
Neo4j,22.5,2014-06
Neo4j,22.248,2014-07
Neo4j,22.91,2014-08
Neo4j,24.223000000000003,2014-09
Neo4j,23.680999999999997,2014-10
Neo4j,24.651,2014-11
Neo4j,25.168000000000003,2014-12
Neo4j,24.424,2015-01
Neo4j,26.8,2015-02
Neo4j,27.622,2015-03
Neo4j,28.418000000000003,2015-04
Neo4j,28.644000000000002,2015-05
Neo4j,30.5,2015-06
Neo4j,31.343000000000004,2015-07
Neo4j,33.157,2015-08
Neo4j,33.54,2015-09
Neo4j,33.412,2015-10
Neo4j,34.044000000000004,2015-11
Neo4j,33.183,2015-12
Neo4j,33.007,2016-01
Neo4j,32.286,2016-02
Neo4j,32.356,2016-03
Neo4j,31.914,2016-04
Neo4j,32.611,2016-05
Neo4j,34.028,2016-06
Neo4j,33.685,2016-07
Neo4j,35.565,2016-08
Neo4j,36.366,2016-09
Neo4j,36.45,2016-10
Neo4j,36.751,2016-11
Neo4j,36.827,2016-12
Neo4j,36.265,2017-01
Neo4j,36.266,2017-02
Neo4j,34.319,2017-03
Neo4j,34.912,2017-04
Neo4j,36.145,2017-05
Neo4j,37.871,2017-06
Neo4j,38.518,2017-07
Neo4j,37.998000000000005,2017-08
Neo4j,38.423,2017-09
Neo4j,37.945,2017-10
Neo4j,38.45,2017-11
Neo4j,38.727,2017-12
Neo4j,39.965,2018-01
Neo4j,39.821999999999996,2018-02
Neo4j,40.9,2018-03
Neo4j,40.898,2018-04
Neo4j,40.583,2018-05
Neo4j,41.973,2018-06
Neo4j,41.878,2018-07
Neo4j,40.923,2018-08
Neo4j,40.098,2018-09
Neo4j,42.653,2018-10
Neo4j,43.12,2018-11
Neo4j,45.556000000000004,2018-12
Neo4j,46.799,2019-01
Neo4j,47.858999999999995,2019-02
Neo4j,48.581,2019-03
Neo4j,49.49,2019-04
Neo4j,51.034,2019-05
Neo4j,49.556999999999995,2019-06
Neo4j,48.98,2019-07
Neo4j,48.391000000000005,2019-08
Neo4j,48.217,2019-09
Neo4j,49.461999999999996,2019-10
Neo4j,50.534,2019-11
Neo4j,50.56,2019-12
Microsoft Azure Cosmos DB,0.0,2012-11
Microsoft Azure Cosmos DB,0.0,2012-12
Microsoft Azure Cosmos DB,0.0,2013-01
Microsoft Azure Cosmos DB,0.0,2013-02
Microsoft Azure Cosmos DB,0.0,2013-03
Microsoft Azure Cosmos DB,0.0,2013-04
Microsoft Azure Cosmos DB,0.0,2013-05
Microsoft Azure Cosmos DB,0.0,2013-06
Microsoft Azure Cosmos DB,0.0,2013-07
Microsoft Azure Cosmos DB,0.0,2013-08
