name,value,date
Redis,30.76,2012-11
Redis,29.24,2012-12
Redis,25.973000000000003,2013-01
Redis,32.034,2013-02
Redis,32.431,2013-03
Redis,35.58,2013-04
Redis,36.249,2013-05
Redis,34.221,2013-06
Redis,33.094,2013-07
Redis,32.193000000000005,2013-08
Redis,32.107,2013-09
Redis,36.013000000000005,2013-10
Redis,40.569,2013-11
Redis,51.776,2013-12
Redis,52.495,2014-01
Redis,55.815,2014-02
Redis,53.456,2014-03
Redis,58.463,2014-04
Redis,62.042,2014-05
Redis,65.131,2014-06
Redis,68.732,2014-07
Redis,70.797,2014-08
Redis,74.602,2014-09
Redis,79.377,2014-10
Redis,82.345,2014-11
Redis,87.875,2014-12
Redis,94.24,2015-01
Redis,99.208,2015-02
Redis,97.04700000000001,2015-03
Redis,94.552,2015-04
Redis,94.727,2015-05
Redis,95.49,2015-06
Redis,95.075,2015-07
Redis,98.80799999999999,2015-08
Redis,100.65299999999999,2015-09
Redis,98.795,2015-10
Redis,102.40899999999999,2015-11
Redis,100.536,2015-12
Redis,101.15700000000001,2016-01
Redis,102.072,2016-02
Redis,106.21700000000001,2016-03
Redis,111.23899999999999,2016-04
Redis,108.236,2016-05
Redis,104.494,2016-06
Redis,108.03299999999999,2016-07
Redis,107.322,2016-08
Redis,107.79299999999999,2016-09
Redis,109.54299999999999,2016-10
Redis,115.541,2016-11
Redis,119.89200000000001,2016-12
Redis,118.697,2017-01
Redis,114.035,2017-02
Redis,113.005,2017-03
Redis,114.35799999999999,2017-04
Redis,117.449,2017-05
Redis,118.88600000000001,2017-06
Redis,121.512,2017-07
Redis,121.896,2017-08
Redis,120.40700000000001,2017-09
Redis,122.053,2017-10
Redis,121.181,2017-11
Redis,123.235,2017-12
Redis,123.137,2018-01
Redis,127.02,2018-02
Redis,131.225,2018-03
Redis,130.11,2018-04
Redis,135.349,2018-05
Redis,136.30100000000002,2018-06
Redis,139.912,2018-07
Redis,138.575,2018-08
Redis,140.94299999999998,2018-09
Redis,145.29,2018-10
Redis,144.173,2018-11
Redis,146.828,2018-12
Redis,149.015,2019-01
Redis,149.447,2019-02
Redis,146.125,2019-03
Redis,146.376,2019-04
Redis,148.404,2019-05
Redis,146.127,2019-06
