name,value,date
InfluxDB,0.0,2012-11
InfluxDB,0.0,2012-12
InfluxDB,0.0,2013-01
InfluxDB,0.0,2013-02
InfluxDB,0.0,2013-03
InfluxDB,0.0,2013-04
InfluxDB,0.0,2013-05
InfluxDB,0.0,2013-06
InfluxDB,0.0,2013-07
InfluxDB,0.0,2013-08
InfluxDB,0.0,2013-09
InfluxDB,0.0,2013-10
InfluxDB,0.0,2013-11
InfluxDB,0.0,2013-12
InfluxDB,0.0,2014-01
InfluxDB,0.0,2014-02
InfluxDB,0.0,2014-03
InfluxDB,0.0,2014-04
InfluxDB,0.0,2014-05
InfluxDB,0.0,2014-06
InfluxDB,0.0,2014-07
InfluxDB,0.0,2014-08
InfluxDB,0.0,2014-09
InfluxDB,0.203,2014-10
InfluxDB,0.26,2014-11
InfluxDB,0.326,2014-12
InfluxDB,0.649,2015-01
InfluxDB,0.8290000000000001,2015-02
InfluxDB,1.151,2015-03
InfluxDB,1.296,2015-04
InfluxDB,1.534,2015-05
InfluxDB,1.735,2015-06
InfluxDB,1.729,2015-07
InfluxDB,1.8519999999999999,2015-08
InfluxDB,2.032,2015-09
InfluxDB,2.3890000000000002,2015-10
InfluxDB,2.775,2015-11
InfluxDB,2.998,2015-12
InfluxDB,3.221,2016-01
InfluxDB,3.6210000000000004,2016-02
InfluxDB,3.945,2016-03
InfluxDB,3.9560000000000004,2016-04
InfluxDB,4.185,2016-05
InfluxDB,4.488,2016-06
InfluxDB,4.45,2016-07
InfluxDB,4.671,2016-08
InfluxDB,4.987,2016-09
InfluxDB,5.32,2016-10
InfluxDB,5.604,2016-11
InfluxDB,5.867999999999999,2016-12
InfluxDB,6.295,2017-01
InfluxDB,6.77,2017-02
InfluxDB,6.877000000000001,2017-03
InfluxDB,7.2410000000000005,2017-04
InfluxDB,7.945,2017-05
InfluxDB,8.2,2017-06
InfluxDB,8.106,2017-07
InfluxDB,8.096,2017-08
InfluxDB,8.485,2017-09
InfluxDB,8.705,2017-10
InfluxDB,9.339,2017-11
InfluxDB,9.873,2017-12
InfluxDB,9.911,2018-01
InfluxDB,10.584000000000001,2018-02
InfluxDB,10.645,2018-03
InfluxDB,10.76,2018-04
InfluxDB,10.997,2018-05
InfluxDB,11.33,2018-06
InfluxDB,11.696,2018-07
InfluxDB,11.568,2018-08
InfluxDB,11.794,2018-09
InfluxDB,12.982000000000001,2018-10
InfluxDB,13.640999999999998,2018-11
InfluxDB,14.704,2018-12
InfluxDB,15.359000000000002,2019-01
InfluxDB,15.767000000000001,2019-02
InfluxDB,16.174,2019-03
InfluxDB,17.218,2019-04
InfluxDB,18.075,2019-05
InfluxDB,17.984,2019-06
InfluxDB,18.002,2019-07
InfluxDB,18.340999999999998,2019-08
InfluxDB,18.646,2019-09
InfluxDB,19.623,2019-10
InfluxDB,19.933,2019-11
InfluxDB,20.326,2019-12
Kdb+,0.0,2012-11
Kdb+,0.0,2012-12
Kdb+,0.15,2013-01
Kdb+,0.065,2013-02
Kdb+,0.153,2013-03
Kdb+,0.073,2013-04
Kdb+,0.091,2013-05
Kdb+,0.16399999999999998,2013-06
Kdb+,0.305,2013-07
Kdb+,0.337,2013-08
Kdb+,0.35700000000000004,2013-09
Kdb+,0.389,2013-10
Kdb+,0.39,2013-11
Kdb+,0.451,2013-12
Kdb+,0.51,2014-01
Kdb+,0.47200000000000003,2014-02
Kdb+,0.535,2014-03
Kdb+,0.51,2014-04
Kdb+,0.505,2014-05
Kdb+,0.527,2014-06
Kdb+,0.516,2014-07
Kdb+,0.5529999999999999,2014-08
Kdb+,0.579,2014-09
Kdb+,0.6890000000000001,2014-10
Kdb+,0.736,2014-11
Kdb+,0.7709999999999999,2014-12
Kdb+,0.787,2015-01
Kdb+,0.825,2015-02
Kdb+,0.8190000000000001,2015-03
Kdb+,0.8859999999999999,2015-04
Kdb+,0.87,2015-05
Kdb+,0.971,2015-06
Kdb+,1.062,2015-07
Kdb+,1.172,2015-08
Kdb+,1.3090000000000002,2015-09
Kdb+,1.412,2015-10
Kdb+,1.365,2015-11
Kdb+,1.298,2015-12
Kdb+,1.275,2016-01
Kdb+,1.3119999999999998,2016-02
Kdb+,1.244,2016-03
Kdb+,1.207,2016-04
Kdb+,1.224,2016-05
Kdb+,1.484,2016-06
Kdb+,1.263,2016-07
Kdb+,1.252,2016-08
Kdb+,1.359,2016-09
Kdb+,1.208,2016-10
Kdb+,1.17,2016-11
Kdb+,1.214,2016-12
Kdb+,1.341,2017-01
Kdb+,1.3780000000000001,2017-02
Kdb+,1.4280000000000002,2017-03
Kdb+,1.48,2017-04
Kdb+,1.571,2017-05
Kdb+,1.575,2017-06
Kdb+,1.581,2017-07
Kdb+,1.6680000000000001,2017-08
Kdb+,1.7730000000000001,2017-09
Kdb+,1.8319999999999999,2017-10
Kdb+,1.8519999999999999,2017-11
Kdb+,3.733,2017-12
Kdb+,3.721,2018-01
Kdb+,2.904,2018-02
Kdb+,3.103,2018-03
Kdb+,3.082,2018-04
Kdb+,3.075,2018-05
Kdb+,3.0180000000000002,2018-06
Kdb+,3.225,2018-07
Kdb+,3.514,2018-08
Kdb+,3.8710000000000004,2018-09
Kdb+,4.374,2018-10
Kdb+,4.845,2018-11
Kdb+,4.913,2018-12
Kdb+,5.202999999999999,2019-01
Kdb+,5.4079999999999995,2019-02
Kdb+,5.599,2019-03
Kdb+,5.849,2019-04
Kdb+,5.596,2019-05
Kdb+,5.805,2019-06
Kdb+,5.876,2019-07
Kdb+,5.755,2019-08
Kdb+,5.497000000000001,2019-09
Kdb+,5.434,2019-10
Kdb+,5.2860000000000005,2019-11
Kdb+,5.479,2019-12
Prometheus,0.0,2012-11
Prometheus,0.0,2012-12
Prometheus,0.0,2013-01
Prometheus,0.0,2013-02
Prometheus,0.0,2013-03
Prometheus,0.0,2013-04
Prometheus,0.0,2013-05
Prometheus,0.0,2013-06
Prometheus,0.0,2013-07
Prometheus,0.0,2013-08
Prometheus,0.0,2013-09
Prometheus,0.0,2013-10
Prometheus,0.0,2013-11
Prometheus,0.0,2013-12
Prometheus,0.0,2014-01
Prometheus,0.0,2014-02
Prometheus,0.0,2014-03
Prometheus,0.0,2014-04
Prometheus,0.0,2014-05
Prometheus,0.0,2014-06
Prometheus,0.0,2014-07
Prometheus,0.0,2014-08
Prometheus,0.0,2014-09
Prometheus,0.0,2014-10
Prometheus,0.0,2014-11
Prometheus,0.0,2014-12
Prometheus,0.0,2015-01
Prometheus,0.0,2015-02
Prometheus,0.0,2015-03
Prometheus,0.0,2015-04
Prometheus,0.0,2015-05
Prometheus,0.155,2015-06
Prometheus,0.19,2015-07
Prometheus,0.212,2015-08
Prometheus,0.183,2015-09
Prometheus,0.155,2015-10
Prometheus,0.131,2015-11
Prometheus,0.11699999999999999,2015-12
Prometheus,0.122,2016-01
Prometheus,0.11900000000000001,2016-02
Prometheus,0.127,2016-03
Prometheus,0.15,2016-04
Prometheus,0.142,2016-05
Prometheus,0.162,2016-06
Prometheus,0.18899999999999997,2016-07
Prometheus,0.21,2016-08
Prometheus,0.237,2016-09
Prometheus,0.28,2016-10
Prometheus,0.311,2016-11
Prometheus,0.348,2016-12
Prometheus,0.369,2017-01
Prometheus,0.377,2017-02
Prometheus,0.401,2017-03
Prometheus,0.44799999999999995,2017-04
Prometheus,0.485,2017-05
Prometheus,0.606,2017-06
Prometheus,0.5660000000000001,2017-07
Prometheus,0.602,2017-08
Prometheus,0.6709999999999999,2017-09
Prometheus,0.7390000000000001,2017-10
Prometheus,0.81,2017-11
Prometheus,0.83,2017-12
Prometheus,0.919,2018-01
Prometheus,0.924,2018-02
Prometheus,1.046,2018-03
Prometheus,1.057,2018-04
Prometheus,1.124,2018-05
Prometheus,1.265,2018-06
Prometheus,1.3969999999999998,2018-07
Prometheus,1.5219999999999998,2018-08
Prometheus,1.594,2018-09
Prometheus,1.715,2018-10
Prometheus,1.953,2018-11
Prometheus,2.1319999999999997,2018-12
Prometheus,2.336,2019-01
Prometheus,2.502,2019-02
Prometheus,2.716,2019-03
Prometheus,2.915,2019-04
Prometheus,3.11,2019-05
Prometheus,3.321,2019-06
Prometheus,3.4619999999999997,2019-07
Prometheus,3.478,2019-08
Prometheus,3.451,2019-09
Prometheus,3.6010000000000004,2019-10
Prometheus,3.641,2019-11
Prometheus,3.94,2019-12
Graphite,0.0,2012-11
Graphite,0.0,2012-12
Graphite,0.0,2013-01
Graphite,0.0,2013-02
Graphite,0.0,2013-03
Graphite,0.0,2013-04
Graphite,0.0,2013-05
Graphite,0.0,2013-06
Graphite,0.0,2013-07
Graphite,0.0,2013-08
Graphite,0.0,2013-09
Graphite,0.0,2013-10
Graphite,0.0,2013-11
Graphite,0.0,2013-12
Graphite,0.0,2014-01
Graphite,0.0,2014-02
Graphite,0.0,2014-03
Graphite,0.0,2014-04
Graphite,0.0,2014-05
Graphite,0.0,2014-06
Graphite,0.0,2014-07
Graphite,0.0,2014-08
Graphite,0.0,2014-09
Graphite,0.0,2014-10
Graphite,0.0,2014-11
Graphite,0.0,2014-12
Graphite,0.0,2015-01
Graphite,0.0,2015-02
Graphite,0.0,2015-03
Graphite,0.0,2015-04
Graphite,0.0,2015-05
Graphite,1.501,2015-06
Graphite,1.4769999999999999,2015-07
Graphite,1.405,2015-08
Graphite,1.466,2015-09
Graphite,1.4780000000000002,2015-10
Graphite,1.49,2015-11
Graphite,1.537,2015-12
Graphite,1.561,2016-01
Graphite,1.577,2016-02
Graphite,1.568,2016-03
Graphite,1.556,2016-04
Graphite,1.636,2016-05
Graphite,1.681,2016-06
Graphite,1.736,2016-07
Graphite,1.77,2016-08
Graphite,1.8230000000000002,2016-09
Graphite,1.9,2016-10
Graphite,1.9069999999999998,2016-11
Graphite,1.899,2016-12
Graphite,1.911,2017-01
Graphite,1.742,2017-02
Graphite,1.781,2017-03
Graphite,1.821,2017-04
Graphite,2.011,2017-05
Graphite,2.0,2017-06
Graphite,2.068,2017-07
Graphite,2.2969999999999997,2017-08
Graphite,2.552,2017-09
Graphite,2.763,2017-10
Graphite,2.8560000000000003,2017-11
Graphite,2.65,2017-12
Graphite,2.411,2018-01
Graphite,2.227,2018-02
Graphite,2.074,2018-03
Graphite,2.189,2018-04
Graphite,2.263,2018-05
Graphite,2.3819999999999997,2018-06
Graphite,2.552,2018-07
Graphite,2.596,2018-08
Graphite,2.697,2018-09
Graphite,2.8089999999999997,2018-10
Graphite,2.845,2018-11
Graphite,2.783,2018-12
Graphite,2.855,2019-01
Graphite,2.9530000000000003,2019-02
Graphite,3.075,2019-03
Graphite,3.1239999999999997,2019-04
Graphite,3.228,2019-05
Graphite,3.3310000000000004,2019-06
Graphite,3.438,2019-07
Graphite,3.395,2019-08
Graphite,3.319,2019-09
Graphite,3.344,2019-10
Graphite,3.324,2019-11
Graphite,3.353,2019-12
RRDtool,0.0,2012-11
RRDtool,0.0,2012-12
RRDtool,0.0,2013-01
RRDtool,0.0,2013-02
RRDtool,0.0,2013-03
RRDtool,0.0,2013-04
RRDtool,0.0,2013-05
RRDtool,0.0,2013-06
RRDtool,0.0,2013-07
RRDtool,0.0,2013-08
RRDtool,0.0,2013-09
RRDtool,0.0,2013-10
RRDtool,0.0,2013-11
RRDtool,0.0,2013-12
RRDtool,0.0,2014-01
RRDtool,0.0,2014-02
RRDtool,0.0,2014-03
RRDtool,0.0,2014-04
RRDtool,0.0,2014-05
RRDtool,0.0,2014-06
RRDtool,0.0,2014-07
RRDtool,0.0,2014-08
RRDtool,0.0,2014-09
RRDtool,0.0,2014-10
RRDtool,0.0,2014-11
RRDtool,0.0,2014-12
RRDtool,0.0,2015-01
RRDtool,0.0,2015-02
