,0,1,2,3,4,5,6,7
3,1.,1.,1.,Oracle,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS,RDF store",1346.39,+10.33,+63.17
4,2.,2.,2.,MySQL,"Relational, Multi-model Relational DBMS,Document store",1275.67,+9.38,+114.42
5,3.,3.,3.,Microsoft SQL Server,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS",1096.20,+14.29,+55.86
6,4.,4.,4.,PostgreSQL,"Relational, Multi-model Relational DBMS,Document store",503.37,+12.30,+42.74
7,5.,5.,5.,MongoDB,"Document, Multi-model Document store,Search engine",421.12,+7.94,+42.50
8,6.,6.,6.,IBM Db2,"Relational, Multi-model Relational DBMS,Document store,RDF store",171.35,-1.25,-9.40
9,7.,7.,8.,Elasticsearch,"Search engine, Multi-model Search engine,Document store",150.25,+1.85,+5.55
10,8.,8.,7.,Redis,"Key-value, Multi-model Key-value store,Document store,Graph DBMS,Search engine,Time Series DBMS",146.23,+1.00,-0.59
11,9.,9.,9.,Microsoft Access,Relational,129.47,-0.60,-10.04
12,10.,10.,11.,Cassandra,Wide column,120.71,-2.52,-1.10
13,11.,11.,10.,SQLite,Relational,120.36,-0.66,-2.65
14,12.,12.,12.,Splunk,Search engine,90.53,+1.46,+8.34
15,13.,13.,14.,MariaDB,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS",86.79,+1.22,+9.53
16,14.,14.,15.,Hive,Relational,86.05,+1.83,+18.67
17,15.,15.,13.,Teradata,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS,Time Series DBMS",78.49,-1.86,-0.67
18,16.,16.,21.,Amazon DynamoDB,"Multi-model Document store,Key-value store",61.63,+0.26,+7.33
19,17.,17.,16.,Solr,Search engine,57.22,-0.56,-4.13
20,18.,19.,20.,SAP Adaptive Server,Relational,55.55,+0.25,-0.27
21,19.,18.,18.,FileMaker,Relational,55.14,-0.60,-1.51
22,20.,20.,19.,SAP HANA,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS",54.17,-0.94,-2.14
23,21.,21.,17.,HBase,Wide column,53.46,-0.38,-6.55
24,22.,22.,22.,Neo4j,Graph,50.56,+0.03,+5.00
25,23.,23.,23.,Couchbase,"Document, Multi-model Document store,Key-value store",31.49,-0.49,-4.10
26,24.,24.,27.,Microsoft Azure Cosmos DB,"Multi-model Document store,Graph DBMS,Key-value store,Wide column store",31.43,-0.54,+8.06
27,25.,25.,25.,Microsoft Azure SQL Database,"Relational, Multi-model Relational DBMS,Document store,Graph DBMS",27.89,+0.27,+0.86
28,26.,26.,26.,Informix,"Relational, Multi-model Relational DBMS,Document store,Time Series DBMS",25.51,-0.67,-1.42
29,27.,27.,33.,Google BigQuery,Relational,25.50,+0.06,+7.35
30,28.,28.,24.,Memcached,Key-value,24.46,-0.66,-5.15
31,29.,30.,29.,Firebird,Relational,22.44,+0.35,+2.39
32,30.,29.,28.,Vertica,"Relational, Multi-model Relational DBMS,Document store",22.17,-0.38,+0.79
33,31.,31.,30.,Amazon Redshift,Relational,21.39,-0.39,+1.39
34,32.,33.,36.,InfluxDB,Time Series,20.33,+0.39,+5.62
35,33.,32.,31.,Netezza,Relational,19.59,-0.38,+0.18
36,34.,34.,32.,CouchDB,Document,18.12,-0.27,-1.07
37,35.,35.,34.,Spark SQL,Relational,16.70,+0.56,+0.32
38,36.,36.,35.,Impala,"Relational, Multi-model Relational DBMS,Document store",15.98,+0.91,+1.17
39,37.,37.,40.,dBASE,Relational,14.38,-0.28,+3.40
40,38.,38.,37.,MarkLogic,"Multi-model Document store,Native XML DBMS,RDF store,Search engine",12.47,-0.36,-1.81
41,39.,39.,38.,Greenplum,"Relational, Multi-model Relational DBMS,Document store",12.11,+0.13,+0.09
42,40.,40.,41.,Firebase Realtime Database,Document,11.81,+0.22,+2.05
43,41.,41.,39.,Oracle Essbase,Relational,10.62,-0.20,-1.04
44,42.,42.,44.,Microsoft Azure SQL Data Warehouse,Relational,9.21,-0.23,+0.86
45,43.,43.,43.,Datastax Enterprise,"Wide column, Multi-model Wide column store,Document store,Graph DBMS",8.82,-0.52,-0.01
46,44.,44.,87.,Presto,Relational,8.77,+0.43,+6.18
47,45.,45.,50.,Realm,Document,8.27,+0.29,+2.06
48,46.,46.,42.,Hazelcast,"Key-value, Multi-model Key-value store,Document store",8.03,+0.21,-0.95
49,47.,47.,53.,Amazon Aurora,"Relational, Multi-model Relational DBMS,Document store",7.87,+0.12,+1.95
50,48.,48.,,etcd,Key-value,7.15,0.00,
51,49.,50.,54.,H2,Relational,7.08,+0.24,+1.19
52,50.,49.,45.,Sphinx,Search engine,6.63,-0.42,-1.19
53,51.,52.,48.,Interbase,Relational,6.34,-0.19,+0.02
54,52.,51.,55.,Microsoft Azure Search,Search engine,6.29,-0.32,+0.61
55,53.,53.,49.,Aerospike,Key-value,6.21,+0.02,0.00
56,54.,54.,47.,Ehcache,Key-value,6.14,-0.01,-0.56
57,55.,55.,52.,Ingres,Relational,5.80,-0.03,-0.22
58,56.,56.,73.,Google Cloud Firestore,Document,5.68,-0.12,+2.23
59,57.,57.,46.,Riak KV,Key-value,5.51,-0.16,-1.25
60,58.,60.,57.,Kdb+,"Time Series, Multi-model Time Series DBMS,Relational DBMS",5.48,+0.19,+0.57
61,59.,58.,56.,SAP SQL Anywhere,Relational,5.40,-0.04,+0.48
62,60.,63.,65.,SAP IQ,Relational,5.00,-0.03,+0.90
63,61.,62.,58.,Derby,Relational,4.99,-0.08,+0.13
64,62.,68.,61.,Ignite,"Multi-model Key-value store,Relational DBMS",4.94,+0.29,+0.22
65,63.,59.,51.,OrientDB,"Multi-model Document store,Graph DBMS,Key-value store",4.93,-0.46,-1.15
66,64.,64.,63.,ArangoDB,"Multi-model Document store,Graph DBMS,Key-value store,Search engine",4.87,-0.14,+0.60
67,65.,67.,59.,HyperSQL,Relational,4.85,-0.04,+0.01
68,66.,65.,68.,Microsoft Azure Table Storage,Wide column,4.79,-0.21,+0.81
69,67.,66.,72.,Algolia,Search engine,4.68,-0.21,+1.06
70,68.,61.,64.,Google Cloud Datastore,Document,4.64,-0.57,+0.48
71,69.,70.,62.,Jackrabbit,Content,4.46,+0.10,-0.03
72,70.,69.,69.,Adabas,Multivalue,4.34,-0.08,+0.58
73,71.,71.,71.,MemSQL,"Relational, Multi-model Relational DBMS,Document store",4.09,+0.03,+0.37
74,72.,72.,67.,Accumulo,Wide column,3.98,+0.04,-0.04
75,73.,78.,103.,Prometheus,Time Series,3.94,+0.30,+1.81
76,74.,76.,76.,MaxDB,Relational,3.73,-0.05,+0.46
77,75.,74.,75.,OpenEdge,Relational,3.66,-0.14,+0.30
78,76.,77.,60.,RethinkDB,Document,3.57,-0.18,-1.18
79,77.,73.,66.,RavenDB,Document,3.51,-0.37,-0.57
80,78.,75.,70.,Cloudant,Document,3.50,-0.30,-0.24
81,79.,84.,105.,CockroachDB,Relational,3.44,+0.17,+1.46
82,80.,79.,78.,Oracle NoSQL,"Key-value, Multi-model Key-value store,Relational DBMS",3.39,-0.18,+0.23
83,81.,82.,106.,ClickHouse,Relational,3.38,+0.05,+1.46
84,82.,83.,82.,Graphite,Time Series,3.35,+0.03,+0.57
85,83.,80.,74.,"UniData,UniVerse",Multivalue,3.32,-0.11,-0.05
86,84.,81.,79.,InterSystems Caché,"Multi-model Key-value store,Object oriented DBMS,Relational DBMS,Document store",3.29,-0.13,+0.25
87,85.,85.,86.,Amazon CloudSearch,Search engine,3.21,+0.04,+0.57
88,86.,86.,95.,SAP Advantage Database Server,Relational,3.16,+0.07,+0.79
89,87.,87.,109.,EXASOL,Relational,2.83,-0.18,+0.98
90,88.,90.,80.,Oracle Berkeley DB,"Multi-model Key-value store,Native XML DBMS",2.81,-0.10,-0.13
91,89.,88.,88.,LevelDB,Key-value,2.81,-0.14,+0.30
92,90.,94.,81.,Google Search Appliance,Search engine,2.81,+0.03,-0.12
93,91.,89.,85.,PouchDB,Document,2.79,-0.14,+0.10
94,92.,93.,98.,4D,Relational,2.75,-0.09,+0.50
95,93.,91.,84.,RRDtool,Time Series,2.74,-0.17,+0.03
