name,value,date
java,26.492,2001-6-30
java,25.028,2001-7-30
java,24.660,2001-8-30
java,24.817,2001-9-28
java,25.676,2001-10-26
java,24.369,2001-11-28
java,24.195,2001-12-31
java,24.063,2002-1-30
java,24.005,2002-2-27
java,24.409,2002-3-29
java,25.049,2002-4-29
java,25.195,2002-5-29
java,24.196,2002-6-29
java,24.534,2002-7-31
java,22.886,2002-8-29
java,24.482,2002-9-29
java,24.201,2002-10-30
java,24.116,2002-11-29
java,24.227,2002-12-31
java,24.791,2003-1-31
java,24.775,2003-2-28
java,24.596,2003-3-31
java,24.664,2003-4-30
java,23.108,2003-5-30
java,22.337,2003-6-30
java,23.209,2003-7-31
java,22.242,2003-8-31
java,21.902,2003-9-30
java,23.084,2003-10-31
java,25.008,2003-11-30
java,23.573,2003-12-31
java,22.564,2004-1-31
java,23.173,2004-2-29
java,24.240,2004-3-31
java,18.692,2004-4-30
java,17.539,2004-5-30
java,17.055,2004-6-30
java,16.997,2004-7-31
java,15.896,2004-8-30
java,17.050,2004-9-30
java,14.804,2004-10-31
java,16.332,2004-11-30
java,17.478,2004-12-31
java,18.340,2005-1-31
java,18.871,2005-2-28
java,16.981,2005-3-31
java,17.397,2005-4-30
java,18.569,2005-5-31
java,19.659,2005-6-30
java,21.206,2005-7-31
java,22.442,2005-8-31
java,21.871,2005-9-30
java,22.128,2005-12-3
java,22.255,2006-1-4
java,22.430,2006-2-2
java,21.889,2006-3-1
java,21.275,2006-4-2
java,21.316,2006-5-1
java,21.128,2006-6-1
java,21.853,2006-7-2
java,22.377,2006-8-2
java,21.532,2006-9-2
java,21.172,2006-10-1
java,20.400,2006-11-2
java,19.907,2006-12-1
java,19.160,2007-1-2
java,18.978,2007-2-3
java,18.044,2007-3-3
java,18.360,2007-4-1
java,19.140,2007-5-5
java,20.025,2007-6-2
java,21.014,2007-7-2
java,21.768,2007-8-5
java,21.701,2007-9-2
java,21.616,2007-10-4
java,20.542,2007-11-4
java,20.049,2007-12-3
java,20.849,2008-1-3
java,21.483,2008-2-7
java,20.890,2008-6-1
java,21.345,2008-7-2
java,21.571,2008-8-3
java,20.715,2008-9-3
java,20.949,2008-10-6
java,20.299,2008-11-2
java,17.917,2008-12-3
java,19.022,2009-1-2
java,19.401,2009-2-1
java,19.797,2009-3-5
java,19.341,2009-4-7
java,19.537,2009-5-1
java,20.147,2009-6-4
java,20.452,2009-7-2
java,19.527,2009-8-1
java,19.383,2009-9-5
java,18.650,2009-10-2
java,18.373,2009-11-2
java,17.061,2009-12-2
java,17.482,2010-1-5
java,17.348,2010-2-7
java,17.509,2010-3-7
java,18.051,2010-4-5
java,17.957,2010-5-15
java,18.673,2010-7-6
java,17.994,2010-7-30
java,17.915,2010-9-11
java,18.166,2010-10-2
java,18.509,2010-11-3
java,17.999,2010-12-7
java,17.773,2011-1-2
java,18.482,2011-2-8
java,19.711,2011-3-8
java,19.043,2011-4-3
java,18.160,2011-5-2
java,18.580,2011-6-5
java,18.580,2011-6-27
java,19.251,2011-7-8
java,19.409,2011-8-3
java,18.761,2011-9-10
java,17.913,2011-10-9
java,17.874,2011-11-7
java,17.561,2011-12-4
java,17.468,2012-1-8
java,17.050,2012-2-5
java,17.110,2012-3-11
java,17.026,2012-4-8
java,16.599,2012-5-9
java,16.265,2012-6-10
java,16.087,2012-7-4
java,16.352,2012-8-10
java,16.267,2012-9-2
java,17.193,2012-10-5
java,17.455,2012-11-4
java,17.567,2012-12-2
java,17.417,2013-1-5
java,18.387,2013-2-8
java,18.156,2013-3-11
java,17.681,2013-4-7
java,16.914,2013-5-8
java,16.656,2013-6-9
java,15.906,2013-7-7
java,15.906,2013-7-12
java,15.978,2013-8-4
java,16.154,2013-9-11
java,16.107,2013-10-10
java,16.521,2013-11-9
java,17.311,2013-12-6
java,16.523,2014-1-1
java,17.316,2014-2-8
java,16.406,2014-3-3
java,17.348,2014-4-10
java,16.907,2014-5-7
java,16.113,2014-6-8
java,15.688,2014-7-6
java,14.984,2014-8-11
java,14.140,2014-9-1
java,13.506,2014-10-3
java,14.391,2014-11-8
java,14.959,2014-12-7
java,15.528,2015-1-6
java,15.345,2015-2-5
java,15.580,2015-3-7
java,16.041,2015-4-13
java,16.869,2015-5-13
java,17.822,2015-6-6
java,17.728,2015-7-12
java,19.274,2015-8-6
java,19.565,2015-9-5
java,19.543,2015-10-4
java,20.403,2015-11-7
java,20.973,2015-12-4
java,21.465,2016-1-2
java,21.145,2016-2-2
java,20.528,2016-3-3
java,20.846,2016-4-7
java,20.956,2016-5-6
java,20.794,2016-6-5
java,19.804,2016-7-4
java,19.010,2016-8-6
java,18.236,2016-9-8
