rank,club_name,club_country_name,club_url,club_country_url,point
1,Esperance de Tunis,Tunisia,/clubs-ranking/esperance-de-tunis,/ranking/tunisia/1,1659
2,Al Ahly,Egypt,/clubs-ranking/al-ahly,/ranking/egypt/1,1641
3,TP Mazembe,Congo DR,/clubs-ranking/tp-mazembe,/ranking/congo-dr/1,1596
4,Etoile du Sahel,Tunisia,/clubs-ranking/etoile-du-sahel,/ranking/tunisia/1,1552
5,Al-Merreikh,Sudan,/clubs-ranking/al-merreikh,/ranking/sudan/1,1551
6,Wydad Casablanca,Morocco,/clubs-ranking/wydad-casablanca,/ranking/morocco/1,1537
7,Al Hilal Omdurman,Sudan,/clubs-ranking/al-hilal-omdurman,/ranking/sudan/1,1537
8,Mamelodi Sundowns FC,South Africa,/clubs-ranking/mamelodi-sundowns-fc,/ranking/south-africa/1,1531
9,El Zamalek,Egypt,/clubs-ranking/el-zamalek,/ranking/egypt/1,1523
10,Vita Club,Congo DR,/clubs-ranking/vita-club,/ranking/congo-dr/1,1516
11,CS Sfaxien,Tunisia,/clubs-ranking/cs-sfaxien,/ranking/tunisia/1,1513
12,1º de Agosto,Angola,/clubs-ranking/1o-de-agosto,/ranking/angola/1,1510
13,Dynamos,Zimbabwe,/clubs-ranking/dynamos-harare,/ranking/zimbabwe/1,1506
14,Coton Sport,Cameroon,/clubs-ranking/coton-sport-garoua,/ranking/cameroon/1,1494
15,RCA Raja Casablanca Athletic,Morocco,/clubs-ranking/raja-casablanca,/ranking/morocco/1,1492
16,Stade Malien Bamako,Mali,/clubs-ranking/stade-malien-bamako,/ranking/mali/1,1490
17,Kaizer Chiefs,South Africa,/clubs-ranking/kaizer-chiefs,/ranking/south-africa/1,1487
18,Club Africain,Tunisia,/clubs-ranking/club-africain,/ranking/tunisia/1,1474
19,Bidvest Wits,South Africa,/clubs-ranking/bidvest-wits,/ranking/south-africa/1,1471
20,Recreativo do Libolo,Angola,/clubs-ranking/recreativo-do-libolo,/ranking/angola/1,1466
21,Djoliba AC,Mali,/clubs-ranking/djoliba-ac,/ranking/mali/1,1463
22,Orlando Pirates (RSA),South Africa,/clubs-ranking/orlando-pirates,/ranking/south-africa/1,1459
23,Motema Pembe,Congo DR,/clubs-ranking/motema-pembe,/ranking/congo-dr/1,1448
24,Atletico Petro Luanda,Angola,/clubs-ranking/petro-atletico,/ranking/angola/1,1447
25,Al Masry,Egypt,/clubs-ranking/al-masry,/ranking/egypt/1,1441
26,ASEC Mimosas,Ivory Coast,/clubs-ranking/asec-mimosas,/ranking/ivory-coast/1,1441
27,Enyimba,Nigeria,/clubs-ranking/enyimba,/ranking/nigeria/1,1440
28,USM Alger,Algeria,/clubs-ranking/usm-alger,/ranking/algeria/1,1438
29,Highlanders,Zimbabwe,/clubs-ranking/highlanders,/ranking/zimbabwe/1,1426
30,ES Sétif,Algeria,/clubs-ranking/es-setif,/ranking/algeria/1,1425
31,RSB Berkane,Morocco,/clubs-ranking/rsb-berkane,/ranking/morocco/1,1425
32,Asante Kotoko (GHA),Ghana,/clubs-ranking/asante-kotoko-sc,/ranking/ghana/1,1425
33,Lobi Stars,Nigeria,/clubs-ranking/lobi-stars,/ranking/nigeria/1,1425
34,Saint-Eloi Lupopo,Congo DR,/clubs-ranking/saint-eloi-lupopo,/ranking/congo-dr/1,1419
35,Olympique de Bamako,Mali,/clubs-ranking/olympique-de-bamako,/ranking/mali/1,1419
36,Difaâ El Jadida,Morocco,/clubs-ranking/difaa-el-jadida,/ranking/morocco/1,1417
37,Kano Pillars,Nigeria,/clubs-ranking/kano-pillars,/ranking/nigeria/1,1417
38,AS Réal Bamako,Mali,/clubs-ranking/as-real-bamako,/ranking/mali/1,1415
39,FUS Rabat,Morocco,/clubs-ranking/fus-rabat,/ranking/morocco/1,1415
40,Kabuscorp SCP (ANG),Angola,/clubs-ranking/kabuscorp-palanca,/ranking/angola/1,1413
41,UMS de Loum,Cameroon,/clubs-ranking/union-de-loum,/ranking/cameroon/1,1413
42,Gunners,Zimbabwe,/clubs-ranking/gunners,/ranking/zimbabwe/1,1411
43,Akwa United,Nigeria,/clubs-ranking/akwa-united,/ranking/nigeria/1,1408
44,Ashanti Gold FC (GHA),Ghana,/clubs-ranking/ashanti-gold,/ranking/ghana/1,1408
45,Plateau United,Nigeria,/clubs-ranking/plateau-united,/ranking/nigeria/1,1407
46,Al Mokawloon Al Arab,Egypt,/clubs-ranking/al-mokawloon-al-arab,/ranking/egypt/1,1405
