name,rank,point,date
Esperance de Tunis,104,1562,2010-1
Esperance de Tunis,119,1556,2010-2
Esperance de Tunis,105,1565,2010-3
Esperance de Tunis,110,1561,2010-4
Esperance de Tunis,124,1553,2010-5
Esperance de Tunis,124,1553,2010-6
Esperance de Tunis,110,1563,2010-7
Esperance de Tunis,98,1572,2010-8
Esperance de Tunis,84,1582,2010-9
Esperance de Tunis,136,1550,2010-10
Esperance de Tunis,132,1553,2010-11
Esperance de Tunis,134,1552,2010-12
Esperance de Tunis,149,1544,2011-1
Esperance de Tunis,147,1544,2011-2
Esperance de Tunis,145,1544,2011-3
Esperance de Tunis,137,1545,2011-4
Esperance de Tunis,127,1556,2011-5
Esperance de Tunis,119,1564,2011-6
Esperance de Tunis,106,1575,2011-7
Esperance de Tunis,105,1571,2011-8
Esperance de Tunis,107,1578,2011-9
Esperance de Tunis,65,1610,2011-10
Esperance de Tunis,70,1610,2011-11
Esperance de Tunis,109,1568,2011-12
Esperance de Tunis,107,1568,2012-1
Esperance de Tunis,103,1574,2012-2
Esperance de Tunis,88,1591,2012-3
Esperance de Tunis,71,1604,2012-4
Esperance de Tunis,104,1580,2012-5
Esperance de Tunis,87,1592,2012-6
Esperance de Tunis,76,1604,2012-7
Esperance de Tunis,93,1592,2012-8
Esperance de Tunis,100,1582,2012-9
Esperance de Tunis,80,1599,2012-10
Esperance de Tunis,102,1581,2012-11
Esperance de Tunis,105,1577,2012-12
Esperance de Tunis,108,1577,2013-1
Esperance de Tunis,110,1575,2013-2
Esperance de Tunis,113,1574,2013-3
Esperance de Tunis,108,1572,2013-4
Esperance de Tunis,103,1578,2013-5
Esperance de Tunis,100,1578,2013-6
Esperance de Tunis,113,1571,2013-7
Esperance de Tunis,84,1588,2013-8
Esperance de Tunis,84,1602,2013-9
Esperance de Tunis,82,1595,2013-10
Esperance de Tunis,86,1592,2013-11
Esperance de Tunis,91,1591,2013-12
Esperance de Tunis,88,1593,2014-1
Esperance de Tunis,84,1601,2014-2
Esperance de Tunis,79,1602,2014-3
Esperance de Tunis,77,1605,2014-4
Esperance de Tunis,116,1573,2014-5
Esperance de Tunis,110,1576,2014-6
Esperance de Tunis,114,1569,2014-7
Esperance de Tunis,121,1563,2014-8
Esperance de Tunis,133,1558,2014-9
Esperance de Tunis,135,1555,2014-10
Esperance de Tunis,127,1561,2014-11
Esperance de Tunis,135,1556,2014-12
Esperance de Tunis,139,1556,2015-1
Esperance de Tunis,129,1563,2015-2
Esperance de Tunis,142,1557,2015-3
Esperance de Tunis,134,1561,2015-4
Esperance de Tunis,132,1565,2015-5
Esperance de Tunis,135,1565,2015-6
Esperance de Tunis,135,1565,2015-7
Esperance de Tunis,136,1565,2015-8
Esperance de Tunis,138,1561,2015-9
Esperance de Tunis,133,1570,2015-10
Esperance de Tunis,117,1579,2015-11
Esperance de Tunis,132,1567,2015-12
Esperance de Tunis,127,1572,2016-1
Esperance de Tunis,111,1577,2016-2
Esperance de Tunis,110,1579,2016-3
Esperance de Tunis,107,1585,2016-4
Esperance de Tunis,103,1589,2016-5
Esperance de Tunis,105,1588,2016-6
Esperance de Tunis,107,1588,2016-7
Esperance de Tunis,103,1588,2016-8
Esperance de Tunis,93,1596,2016-9
Esperance de Tunis,111,1586,2016-10
Esperance de Tunis,103,1593,2016-11
Esperance de Tunis,106,1588,2016-12
Esperance de Tunis,107,1588,2017-1
Esperance de Tunis,104,1590,2017-2
Esperance de Tunis,106,1594,2017-3
Esperance de Tunis,92,1604,2017-4
Esperance de Tunis,84,1618,2017-5
Esperance de Tunis,89,1622,2017-6
Esperance de Tunis,86,1623,2017-7
Esperance de Tunis,74,1631,2017-8
Esperance de Tunis,82,1620,2017-9
Esperance de Tunis,75,1621,2017-10
Esperance de Tunis,71,1630,2017-11
Esperance de Tunis,73,1629,2017-12
Esperance de Tunis,79,1624,2018-1
Esperance de Tunis,89,1621,2018-2
Esperance de Tunis,83,1625,2018-3
Esperance de Tunis,88,1622,2018-4
Esperance de Tunis,93,1622,2018-5
Esperance de Tunis,92,1622,2018-6
Esperance de Tunis,93,1626,2018-7
Esperance de Tunis,103,1613,2018-8
Esperance de Tunis,92,1626,2018-9
Esperance de Tunis,94,1617,2018-10
Esperance de Tunis,85,1630,2018-11
Esperance de Tunis,140,1578,2018-12
Esperance de Tunis,141,1581,2019-1
Esperance de Tunis,130,1585,2019-2
Esperance de Tunis,119,1598,2019-3
Esperance de Tunis,91,1626,2019-4
Esperance de Tunis,80,1640,2019-5
Esperance de Tunis,105,1618,2019-6
Esperance de Tunis,107,1618,2019-7
Esperance de Tunis,99,1620,2019-8
Esperance de Tunis,89,1622,2019-9
Esperance de Tunis,83,1631,2019-10
Esperance de Tunis,82,1640,2019-11
Esperance de Tunis,75,1647,2019-12
Esperance de Tunis,67,1659,Today
Al Ahly,101,1566,2010-1
Al Ahly,125,1552,2010-2
Al Ahly,114,1562,2010-3
Al Ahly,125,1553,2010-4
Al Ahly,127,1552,2010-5
Al Ahly,128,1552,2010-6
Al Ahly,130,1550,2010-7
Al Ahly,153,1537,2010-8
Al Ahly,165,1533,2010-9
Al Ahly,156,1540,2010-10
Al Ahly,172,1532,2010-11
Al Ahly,187,1524,2010-12
Al Ahly,186,1524,2011-1
Al Ahly,183,1524,2011-2
Al Ahly,183,1524,2011-3
Al Ahly,179,1527,2011-4
Al Ahly,163,1536,2011-5
Al Ahly,148,1546,2011-6
Al Ahly,164,1536,2011-7
Al Ahly,157,1540,2011-8
Al Ahly,159,1540,2011-9
Al Ahly,150,1541,2011-10
Al Ahly,134,1547,2011-11
Al Ahly,130,1554,2011-12
Al Ahly,122,1561,2012-1
Al Ahly,137,1552,2012-2
Al Ahly,137,1552,2012-3
Al Ahly,146,1547,2012-4
Al Ahly,137,1552,2012-5
Al Ahly,140,1552,2012-6
Al Ahly,120,1568,2012-7
Al Ahly,117,1572,2012-8
Al Ahly,128,1562,2012-9
Al Ahly,117,1567,2012-10
Al Ahly,88,1591,2012-11
Al Ahly,124,1561,2012-12
Al Ahly,128,1561,2013-1
Al Ahly,144,1550,2013-2
Al Ahly,135,1556,2013-3
Al Ahly,122,1562,2013-4
Al Ahly,100,1579,2013-5
Al Ahly,96,1581,2013-6
Al Ahly,96,1582,2013-7
Al Ahly,119,1568,2013-8
Al Ahly,111,1575,2013-9
Al Ahly,117,1572,2013-10
Al Ahly,93,1589,2013-11
Al Ahly,168,1536,2013-12
Al Ahly,157,1540,2014-1
Al Ahly,196,1521,2014-2
Al Ahly,275,1499,2014-3
Al Ahly,232,1507,2014-4
Al Ahly,227,1507,2014-5
Al Ahly,199,1516,2014-6
Al Ahly,202,1516,2014-7
Al Ahly,198,1516,2014-8
Al Ahly,206,1516,2014-9
Al Ahly,220,1510,2014-10
Al Ahly,206,1517,2014-11
Al Ahly,221,1511,2014-12
Al Ahly,203,1520,2015-1
Al Ahly,201,1523,2015-2
Al Ahly,195,1524,2015-3
Al Ahly,206,1516,2015-4
Al Ahly,198,1527,2015-5
Al Ahly,181,1535,2015-6
Al Ahly,169,1542,2015-7
Al Ahly,173,1540,2015-8
Al Ahly,182,1540,2015-9
Al Ahly,170,1544,2015-10
Al Ahly,168,1542,2015-11
Al Ahly,192,1531,2015-12
Al Ahly,172,1543,2016-1
Al Ahly,158,1551,2016-2
Al Ahly,149,1555,2016-3
Al Ahly,132,1567,2016-4
Al Ahly,119,1576,2016-5
Al Ahly,142,1560,2016-6
Al Ahly,148,1557,2016-7
Al Ahly,161,1552,2016-8
Al Ahly,149,1561,2016-9
Al Ahly,147,1562,2016-10
Al Ahly,121,1577,2016-11
Al Ahly,102,1594,2016-12
Al Ahly,101,1594,2017-1
Al Ahly,98,1598,2017-2
Al Ahly,100,1598,2017-3
Al Ahly,93,1604,2017-4
Al Ahly,89,1610,2017-5
Al Ahly,96,1605,2017-6
Al Ahly,91,1612,2017-7
Al Ahly,90,1612,2017-8
Al Ahly,84,1619,2017-9
Al Ahly,76,1621,2017-10
Al Ahly,77,1620,2017-11
Al Ahly,87,1615,2017-12
Al Ahly,67,1636,2018-1
Al Ahly,53,1653,2018-2
Al Ahly,58,1656,2018-3
Al Ahly,64,1649,2018-4
Al Ahly,83,1630,2018-5
Al Ahly,84,1630,2018-6
Al Ahly,81,1634,2018-7
Al Ahly,68,1650,2018-8
Al Ahly,74,1646,2018-9
Al Ahly,90,1624,2018-10
Al Ahly,109,1606,2018-11
Al Ahly,107,1610,2018-12
Al Ahly,96,1619,2019-1
Al Ahly,98,1619,2019-2
Al Ahly,97,1618,2019-3
Al Ahly,115,1602,2019-4
Al Ahly,112,1610,2019-5
Al Ahly,111,1610,2019-6
