rank,club_name,club_country_name,club_url,club_country_url,point
1,Al Hilal (KSA),Saudi Arabia,/clubs-ranking/al-hilal,/ranking/saudi-arabia/1,1659
2,Jeonbuk FC,South Korea,/clubs-ranking/jeonbuk-fc,/ranking/south-korea/1,1649
3,AL Duhail SC,Qatar,/clubs-ranking/lekhwiya,/ranking/qatar/1,1621
4,Shanghai SIPG FC,China PR,/clubs-ranking/shanghai-east-asia-fc,/ranking/china-pr/1,1576
5,Persepolis,Iran,/clubs-ranking/persepolis,/ranking/iran/1,1575
6,Kawasaki Frontale,Japan,/clubs-ranking/kawasaki-frontale,/ranking/japan/1,1569
7,Al Nassr,Saudi Arabia,/clubs-ranking/al-nassr-fc-riyadh,/ranking/saudi-arabia/1,1562
8,Kashima Antlers,Japan,/clubs-ranking/kashima-antlers,/ranking/japan/1,1561
9,Guangzhou Evergrande,China PR,/clubs-ranking/guangzhou-evergrande,/ranking/china-pr/1,1559
10,Al-Sadd,Qatar,/clubs-ranking/al-sadd,/ranking/qatar/1,1559
11,Ulsan Hyundai,South Korea,/clubs-ranking/ulsan-hyundai,/ranking/south-korea/1,1553
12,Esteghlal,Iran,/clubs-ranking/esteghlal,/ranking/iran/1,1546
13,Al-Ahli,Saudi Arabia,/clubs-ranking/al-ahli-sc-jeddah,/ranking/saudi-arabia/1,1540
14,Al-Ain,United Arab Emirates,/clubs-ranking/al-ain,/ranking/united-arab-emirates/1,1539
15,Pakhtakor Tashkent,Uzbekistan,/clubs-ranking/pakhtakor-tashkent,/ranking/uzbekistan/1,1528
16,Buriram United,Thailand,/clubs-ranking/buriram-united,/ranking/thailand/1,1513
17,Yokohama F. Marinos,Japan,/clubs-ranking/yokohama-fa-marinos,/ranking/japan/1,1510
18,Beijing Guoan,China PR,/clubs-ranking/beijing-guoan,/ranking/china-pr/1,1501
19,Al Ahli,United Arab Emirates,/clubs-ranking/al-ahli-club-dubai,/ranking/united-arab-emirates/1,1501
20,Sanfrecce Hiroshima,Japan,/clubs-ranking/sanfrecce-hiroshima,/ranking/japan/1,1494
21,Shandong Luneng,China PR,/clubs-ranking/shandong-luneng,/ranking/china-pr/1,1489
22,Sepahan,Iran,/clubs-ranking/sepahan,/ranking/iran/1,1481
23,Cerezo Osaka,Japan,/clubs-ranking/cerezo-osaka,/ranking/japan/1,1477
24,Urawa Red Diamonds,Japan,/clubs-ranking/urawa-red-diamonds,/ranking/japan/1,1471
25,FC Tokyo,Japan,/clubs-ranking/fc-tokyo,/ranking/japan/1,1469
26,Lokomotiv Tashkent,Uzbekistan,/clubs-ranking/lokomotiv-tashkent,/ranking/uzbekistan/1,1465
27,Pohang Steelers,South Korea,/clubs-ranking/pohang-steelers,/ranking/south-korea/1,1460
28,Muangthong United,Thailand,/clubs-ranking/muangthong-united,/ranking/thailand/1,1460
29,Sydney FC,Australia,/clubs-ranking/sydney-fc,/ranking/australia/1,1453
30,Jiangsu Suning FC,China PR,/clubs-ranking/jiangsu-sainty,/ranking/china-pr/1,1450
31,Tractor Sazi,Iran,/clubs-ranking/tractor-sazi,/ranking/iran/1,1448
32,FC Seoul,South Korea,/clubs-ranking/fc-seoul,/ranking/south-korea/1,1444
33,Al Taawon,Saudi Arabia,/clubs-ranking/al-taawon,/ranking/saudi-arabia/1,1444
34,Suwon Bluewings,South Korea,/clubs-ranking/suwon-bluewings,/ranking/south-korea/1,1441
35,Daegu FC,South Korea,/clubs-ranking/daegu-fc,/ranking/south-korea/1,1433
36,East Bengal Club,India,/clubs-ranking/east-bengal-club,/ranking/india/1,1432
37,Al-Jazira,United Arab Emirates,/clubs-ranking/al-jazira,/ranking/united-arab-emirates/1,1432
38,Gamba Osaka,Japan,/clubs-ranking/gamba-osaka,/ranking/japan/1,1431
39,Dempo SC,India,/clubs-ranking/dempo-sc,/ranking/india/1,1430
40,Bangkok United,Thailand,/clubs-ranking/bangkok-united,/ranking/thailand/1,1427
41,El Jaish (Doha),Qatar,/clubs-ranking/al-jaish,/ranking/qatar/1,1426
