rank,club_name,club_country_name,club_url,club_country_url,point
1,Flamengo,Brazil,/clubs-ranking/flamengo,/ranking/brazil/1,1853
2,Boca Juniors,Argentina,/clubs-ranking/boca-juniors,/ranking/argentina/1,1739
3,Palmeiras,Brazil,/clubs-ranking/palmeiras,/ranking/brazil/1,1730
4,Grêmio,Brazil,/clubs-ranking/gremio,/ranking/brazil/1,1711
5,River Plate,Argentina,/clubs-ranking/river-plate-buenos-aires,/ranking/argentina/1,1705
6,Santos FC,Brazil,/clubs-ranking/santos-fc-sao-paulo,/ranking/brazil/1,1693
7,Olimpia,Paraguay,/clubs-ranking/olimpia-asuncion,/ranking/paraguay/1,1687
8,Atlético PR,Brazil,/clubs-ranking/atletico-pr,/ranking/brazil/1,1684
9,Racing Club,Argentina,/clubs-ranking/racing-club-avellaneda,/ranking/argentina/1,1677
10,Vélez Sarsfield,Argentina,/clubs-ranking/velez-sarsfield,/ranking/argentina/1,1623
11,São Paulo,Brazil,/clubs-ranking/sao-paulo,/ranking/brazil/1,1616
12,Internacional,Brazil,/clubs-ranking/internacional,/ranking/brazil/1,1615
13,Defensa y Justicia,Argentina,/clubs-ranking/csd-defensa-y-justicia,/ranking/argentina/1,1614
14,Lanús,Argentina,/clubs-ranking/lanus,/ranking/argentina/1,1595
15,Nacional,Uruguay,/clubs-ranking/nacional-montevideo,/ranking/uruguay/1,1590
16,LDU de Quito,Ecuador,/clubs-ranking/ldu-de-quito,/ranking/ecuador/1,1575
17,Peñarol,Uruguay,/clubs-ranking/penarol,/ranking/uruguay/1,1575
18,Cerro Porteño,Paraguay,/clubs-ranking/cerro-porteno,/ranking/paraguay/1,1574
19,Libertad,Paraguay,/clubs-ranking/libertad,/ranking/paraguay/1,1573
20,Tolima,Colombia,/clubs-ranking/tolima,/ranking/colombia/1,1562
21,Atlético Tucumán,Argentina,/clubs-ranking/atletico-tucuman,/ranking/argentina/1,1561
22,SC Corinthians SP (BRA),Brazil,/clubs-ranking/corinthians,/ranking/brazil/1,1561
23,Bahia,Brazil,/clubs-ranking/bahia,/ranking/brazil/1,1558
24,Universidad Católica,Chile,/clubs-ranking/universidad-catolica-santiago,/ranking/chile/1,1558
25,Portuguesa,Brazil,/clubs-ranking/portuguesa-sao-paulo,/ranking/brazil/1,1554
26,Independiente,Argentina,/clubs-ranking/ca-independiente-avellaneda,/ranking/argentina/1,1553
27,Talleres de Cordoba,Argentina,/clubs-ranking/talleres-cordoba,/ranking/argentina/1,1551
28,Vasco da Gama,Brazil,/clubs-ranking/vasco-da-gama-rio-de-janeiro,/ranking/brazil/1,1551
29,Newell's Old Boys,Argentina,/clubs-ranking/newells-old-boys,/ranking/argentina/1,1548
30,San Lorenzo,Argentina,/clubs-ranking/san-lorenzo,/ranking/argentina/1,1545
31,Fortaleza EC CE (BRA),Colombia,/clubs-ranking/fortaleza-fc,/ranking/colombia/1,1544
