name,rank,point,date
Flamengo,36,1642,2010-1
Flamengo,35,1655,2010-2
Flamengo,34,1657,2010-3
Flamengo,37,1646,2010-4
Flamengo,51,1612,2010-5
Flamengo,57,1606,2010-6
Flamengo,57,1608,2010-7
Flamengo,109,1566,2010-8
Flamengo,170,1530,2010-9
Flamengo,106,1568,2010-10
Flamengo,185,1524,2010-11
Flamengo,179,1529,2010-12
Flamengo,175,1529,2011-1
Flamengo,172,1529,2011-2
Flamengo,172,1529,2011-3
Flamengo,174,1529,2011-4
Flamengo,152,1544,2011-5
Flamengo,107,1571,2011-6
Flamengo,49,1623,2011-7
Flamengo,55,1619,2011-8
Flamengo,129,1560,2011-9
Flamengo,138,1550,2011-10
Flamengo,114,1567,2011-11
Flamengo,105,1572,2011-12
Flamengo,120,1562,2012-1
Flamengo,106,1572,2012-2
Flamengo,119,1566,2012-3
Flamengo,111,1572,2012-4
Flamengo,119,1566,2012-5
Flamengo,117,1572,2012-6
Flamengo,168,1533,2012-7
Flamengo,131,1558,2012-8
Flamengo,200,1517,2012-9
Flamengo,189,1524,2012-10
Flamengo,141,1549,2012-11
Flamengo,146,1546,2012-12
Flamengo,147,1546,2013-1
Flamengo,147,1546,2013-2
Flamengo,145,1546,2013-3
Flamengo,146,1546,2013-4
Flamengo,196,1524,2013-5
Flamengo,179,1534,2013-6
Flamengo,175,1538,2013-7
Flamengo,171,1538,2013-8
Flamengo,183,1532,2013-9
Flamengo,147,1553,2013-10
Flamengo,139,1552,2013-11
Flamengo,159,1541,2013-12
Flamengo,155,1541,2014-1
Flamengo,146,1549,2014-2
Flamengo,175,1530,2014-3
Flamengo,202,1517,2014-4
Flamengo,299,1491,2014-5
Flamengo,318,1484,2014-6
Flamengo,358,1470,2014-7
Flamengo,164,1539,2014-8
Flamengo,183,1525,2014-9
Flamengo,158,1543,2014-10
Flamengo,134,1557,2014-11
Flamengo,125,1563,2014-12
Flamengo,127,1563,2015-1
Flamengo,130,1563,2015-2
Flamengo,130,1563,2015-3
Flamengo,133,1563,2015-4
Flamengo,204,1525,2015-5
Flamengo,226,1509,2015-6
Flamengo,184,1531,2015-7
Flamengo,162,1545,2015-8
Flamengo,151,1551,2015-9
Flamengo,206,1519,2015-10
Flamengo,229,1512,2015-11
Flamengo,289,1495,2015-12
Flamengo,295,1495,2016-1
Flamengo,293,1495,2016-2
Flamengo,291,1495,2016-3
Flamengo,294,1495,2016-4
Flamengo,231,1515,2016-5
Flamengo,227,1517,2016-6
Flamengo,137,1565,2016-7
Flamengo,96,1593,2016-8
Flamengo,66,1629,2016-9
Flamengo,66,1634,2016-10
Flamengo,63,1647,2016-11
Flamengo,59,1648,2016-12
Flamengo,59,1648,2017-1
Flamengo,61,1648,2017-2
Flamengo,58,1651,2017-3
Flamengo,63,1646,2017-4
Flamengo,58,1654,2017-5
Flamengo,59,1655,2017-6
Flamengo,48,1670,2017-7
Flamengo,72,1631,2017-8
Flamengo,78,1627,2017-9
Flamengo,83,1616,2017-10
Flamengo,91,1601,2017-11
Flamengo,77,1624,2017-12
Flamengo,78,1624,2018-1
Flamengo,81,1624,2018-2
Flamengo,71,1637,2018-3
Flamengo,65,1648,2018-4
Flamengo,50,1677,2018-5
Flamengo,36,1709,2018-6
Flamengo,38,1704,2018-7
Flamengo,63,1657,2018-8
Flamengo,76,1644,2018-9
Flamengo,47,1677,2018-10
Flamengo,36,1713,2018-11
Flamengo,43,1696,2018-12
Flamengo,43,1696,2019-1
Flamengo,45,1696,2019-2
Flamengo,40,1713,2019-3
Flamengo,46,1690,2019-4
Flamengo,52,1683,2019-5
Flamengo,44,1694,2019-6
Flamengo,61,1668,2019-7
Flamengo,32,1732,2019-8
Flamengo,26,1774,2019-9
Flamengo,11,1823,2019-10
Flamengo,8,1858,2019-11
Flamengo,10,1853,2019-12
Flamengo,10,1853,Today
Boca Juniors,112,1558,2010-1
Boca Juniors,126,1552,2010-2
Boca Juniors,208,1506,2010-3
Boca Juniors,286,1497,2010-4
Boca Juniors,300,1487,2010-5
Boca Juniors,304,1487,2010-6
Boca Juniors,302,1487,2010-7
Boca Juniors,338,1477,2010-8
Boca Juniors,297,1493,2010-9
Boca Juniors,217,1510,2010-10
Boca Juniors,313,1483,2010-11
Boca Juniors,297,1488,2010-12
Boca Juniors,300,1488,2011-1
Boca Juniors,323,1482,2011-2
Boca Juniors,372,1462,2011-3
Boca Juniors,307,1490,2011-4
Boca Juniors,160,1538,2011-5
Boca Juniors,169,1534,2011-6
Boca Juniors,170,1534,2011-7
Boca Juniors,130,1555,2011-8
Boca Juniors,77,1601,2011-9
Boca Juniors,52,1631,2011-10
Boca Juniors,46,1644,2011-11
Boca Juniors,38,1655,2011-12
Boca Juniors,41,1655,2012-1
Boca Juniors,38,1656,2012-2
Boca Juniors,32,1660,2012-3
Boca Juniors,20,1706,2012-4
Boca Juniors,15,1745,2012-5
Boca Juniors,26,1690,2012-6
Boca Juniors,38,1654,2012-7
Boca Juniors,41,1652,2012-8
Boca Juniors,42,1642,2012-9
Boca Juniors,67,1612,2012-10
Boca Juniors,48,1644,2012-11
Boca Juniors,51,1636,2012-12
Boca Juniors,50,1636,2013-1
Boca Juniors,69,1612,2013-2
Boca Juniors,112,1574,2013-3
Boca Juniors,186,1527,2013-4
Boca Juniors,138,1554,2013-5
Boca Juniors,150,1550,2013-6
Boca Juniors,154,1550,2013-7
Boca Juniors,158,1545,2013-8
Boca Juniors,136,1555,2013-9
Boca Juniors,111,1577,2013-10
Boca Juniors,171,1537,2013-11
Boca Juniors,162,1539,2013-12
Boca Juniors,159,1539,2014-1
Boca Juniors,180,1532,2014-2
Boca Juniors,181,1528,2014-3
Boca Juniors,123,1562,2014-4
Boca Juniors,76,1612,2014-5
Boca Juniors,76,1612,2014-6
Boca Juniors,80,1612,2014-7
Boca Juniors,107,1579,2014-8
Boca Juniors,110,1581,2014-9
Boca Juniors,78,1612,2014-10
Boca Juniors,69,1624,2014-11
Boca Juniors,88,1598,2014-12
Boca Juniors,86,1598,2015-1
Boca Juniors,51,1648,2015-2
Boca Juniors,42,1685,2015-3
Boca Juniors,25,1725,2015-4
Boca Juniors,60,1637,2015-5
Boca Juniors,64,1628,2015-6
Boca Juniors,49,1656,2015-7
Boca Juniors,48,1663,2015-8
Boca Juniors,46,1667,2015-9
Boca Juniors,54,1653,2015-10
Boca Juniors,56,1642,2015-11
Boca Juniors,57,1642,2015-12
Boca Juniors,55,1642,2016-1
Boca Juniors,70,1626,2016-2
Boca Juniors,73,1615,2016-3
Boca Juniors,44,1661,2016-4
Boca Juniors,80,1619,2016-5
Boca Juniors,79,1619,2016-6
Boca Juniors,140,1564,2016-7
Boca Juniors,136,1564,2016-8
Boca Juniors,114,1582,2016-9
Boca Juniors,94,1598,2016-10
Boca Juniors,68,1635,2016-11
Boca Juniors,43,1677,2016-12
Boca Juniors,46,1677,2017-1
Boca Juniors,49,1677,2017-2
Boca Juniors,52,1663,2017-3
Boca Juniors,52,1665,2017-4
Boca Juniors,61,1650,2017-5
Boca Juniors,42,1680,2017-6
Boca Juniors,43,1680,2017-7
Boca Juniors,43,1688,2017-8
Boca Juniors,30,1727,2017-9
Boca Juniors,27,1743,2017-10
Boca Juniors,33,1718,2017-11
Boca Juniors,26,1733,2017-12
Boca Juniors,28,1738,2018-1
Boca Juniors,20,1754,2018-2
Boca Juniors,33,1716,2018-3
Boca Juniors,50,1672,2018-4
Boca Juniors,47,1678,2018-5
Boca Juniors,48,1678,2018-6
Boca Juniors,50,1678,2018-7
Boca Juniors,36,1707,2018-8
Boca Juniors,34,1711,2018-9
Boca Juniors,29,1727,2018-10
Boca Juniors,31,1733,2018-11
Boca Juniors,39,1700,2018-12
Boca Juniors,41,1697,2019-1
Boca Juniors,37,1715,2019-2
Boca Juniors,26,1754,2019-3
Boca Juniors,35,1725,2019-4
Boca Juniors,31,1734,2019-5
Boca Juniors,31,1734,2019-6
Boca Juniors,29,1744,2019-7
Boca Juniors,18,1787,2019-8
Boca Juniors,21,1794,2019-9
Boca Juniors,21,1774,2019-10
Boca Juniors,26,1757,2019-11
Boca Juniors,30,1739,2019-12
Boca Juniors,25,1739,Today
Palmeiras,160,1534,2010-1
Palmeiras,158,1534,2010-2
Palmeiras,157,1534,2010-3
Palmeiras,158,1534,2010-4
Palmeiras,136,1548,2010-5
Palmeiras,149,1539,2010-6
Palmeiras,161,1532,2010-7
Palmeiras,176,1524,2010-8
Palmeiras,100,1573,2010-9
Palmeiras,88,1587,2010-10
Palmeiras,196,1517,2010-11
Palmeiras,208,1512,2010-12
Palmeiras,205,1512,2011-1
Palmeiras,210,1512,2011-2
