rank,club_name,club_country_name,club_url,club_country_url,point
1,Liverpool FC,England,/clubs-ranking/liverpool-fc-liverpool,/ranking/england/1,2120
2,Manchester City,England,/clubs-ranking/manchester-city,/ranking/england/1,1980
3,Barcelona,Spain,/clubs-ranking/fc-barcelona,/ranking/spain/1,1972
4,Bayern München,Germany,/clubs-ranking/bayern-munchen,/ranking/germany/1,1945
5,Juventus,Italy,/clubs-ranking/juventus-turin,/ranking/italy/1,1930
6,Paris Saint-Germain,France,/clubs-ranking/paris-saint-germain,/ranking/france/1,1913
7,Real Madrid,Spain,/clubs-ranking/real-madrid,/ranking/spain/1,1892
8,Ajax Amsterdam,Netherlands,/clubs-ranking/ajax-amsterdam,/ranking/netherlands/1,1872
9,RasenBallsport Leipzig,Germany,/clubs-ranking/rasenballsport-leipzig,/ranking/germany/1,1859
10,Flamengo,Brazil,/clubs-ranking/flamengo,/ranking/brazil/1,1853
11,Atlético Madrid,Spain,/clubs-ranking/atletico-madrid,/ranking/spain/1,1843
12,Inter Milan,Italy,/clubs-ranking/inter-milan,/ranking/italy/1,1830
13,FC Porto,Portugal,/clubs-ranking/fc-porto,/ranking/portugal/1,1819
14,Benfica,Portugal,/clubs-ranking/benfica,/ranking/portugal/1,1817
15,Borussia Dortmund,Germany,/clubs-ranking/borussia-dortmund,/ranking/germany/1,1810
16,Leicester City,England,/clubs-ranking/leicester-city,/ranking/england/1,1805
17,Valencia,Spain,/clubs-ranking/valencia,/ranking/spain/1,1798
18,Atalanta,Italy,/clubs-ranking/atalanta,/ranking/italy/1,1794
19,Shakhtar Donetsk,Ukraine,/clubs-ranking/shakhtar-donetsk,/ranking/ukraine/1,1792
20,Chelsea FC,England,/clubs-ranking/chelsea-london,/ranking/england/1,1788
21,Lazio,Italy,/clubs-ranking/lazio,/ranking/italy/1,1779
22,Sevilla,Spain,/clubs-ranking/sevilla,/ranking/spain/1,1767
23,SSC Napoli,Italy,/clubs-ranking/ssc-napoli,/ranking/italy/1,1766
24,Salzburg,Austria,/clubs-ranking/salzburg,/ranking/austria/1,1761
25,Roma,Italy,/clubs-ranking/roma,/ranking/italy/1,1754
26,Boca Juniors,Argentina,/clubs-ranking/boca-juniors,/ranking/argentina/1,1739
