name,rank,point,date
Liverpool FC,28,1666,2010-1
Liverpool FC,24,1683,2010-2
Liverpool FC,26,1682,2010-3
Liverpool FC,21,1696,2010-4
Liverpool FC,34,1666,2010-5
Liverpool FC,34,1666,2010-6
Liverpool FC,33,1666,2010-7
Liverpool FC,27,1661,2010-8
Liverpool FC,29,1651,2010-9
Liverpool FC,38,1640,2010-10
Liverpool FC,35,1647,2010-11
Liverpool FC,57,1607,2010-12
Liverpool FC,53,1616,2011-1
Liverpool FC,41,1624,2011-2
Liverpool FC,33,1667,2011-3
Liverpool FC,27,1693,2011-4
Liverpool FC,24,1685,2011-5
Liverpool FC,24,1685,2011-6
Liverpool FC,24,1685,2011-7
Liverpool FC,18,1715,2011-8
Liverpool FC,28,1682,2011-9
Liverpool FC,17,1722,2011-10
Liverpool FC,15,1734,2011-11
Liverpool FC,15,1734,2011-12
Liverpool FC,25,1699,2012-1
Liverpool FC,27,1691,2012-2
Liverpool FC,51,1631,2012-3
Liverpool FC,50,1631,2012-4
Liverpool FC,57,1628,2012-5
Liverpool FC,58,1628,2012-6
Liverpool FC,59,1628,2012-7
Liverpool FC,68,1612,2012-8
Liverpool FC,61,1624,2012-9
Liverpool FC,56,1628,2012-10
Liverpool FC,57,1631,2012-11
Liverpool FC,49,1643,2012-12
Liverpool FC,33,1673,2013-1
Liverpool FC,32,1671,2013-2
Liverpool FC,26,1696,2013-3
Liverpool FC,23,1708,2013-4
Liverpool FC,24,1724,2013-5
Liverpool FC,24,1724,2013-6
Liverpool FC,24,1724,2013-7
Liverpool FC,21,1728,2013-8
Liverpool FC,21,1729,2013-9
Liverpool FC,21,1741,2013-10
Liverpool FC,22,1743,2013-11
Liverpool FC,18,1765,2013-12
Liverpool FC,14,1792,2014-1
Liverpool FC,10,1821,2014-2
Liverpool FC,8,1889,2014-3
Liverpool FC,8,1881,2014-4
Liverpool FC,9,1876,2014-5
Liverpool FC,9,1876,2014-6
Liverpool FC,9,1876,2014-7
Liverpool FC,7,1891,2014-8
Liverpool FC,10,1823,2014-9
Liverpool FC,13,1782,2014-10
Liverpool FC,21,1721,2014-11
Liverpool FC,23,1723,2014-12
Liverpool FC,19,1749,2015-1
Liverpool FC,13,1780,2015-2
Liverpool FC,16,1789,2015-3
Liverpool FC,20,1752,2015-4
Liverpool FC,35,1696,2015-5
Liverpool FC,35,1696,2015-6
Liverpool FC,34,1696,2015-7
Liverpool FC,39,1681,2015-8
Liverpool FC,48,1665,2015-9
