name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
施罗德,德国,19.6,4.6,1.4,9.4,1.4,9.8,0.2,41.4,3.4
萨托兰斯基,捷克,15.5,5.6,0.9,8.5,1.8,1.9,0.4,45.7,2.8
坎帕佐,阿根廷,13.3,4.3,2.0,7.8,1.9,13.2,0.1,41.8,2.6
索拉诺,多米尼加,5.8,2.6,1.4,6.6,2.6,-2.6,0.0,31.6,2.8
威尔比金,土耳其,10.3,2.8,1.3,6.5,2.8,0.5,0.0,48.3,1.0
德拉维多瓦,澳大利亚,8.9,4.3,0.6,6.3,2.1,6.0,0.0,33.3,2.5
吉扬,委内瑞拉,13.0,2.0,1.0,6.2,1.4,2.2,0.0,42.6,1.6
卢比奥,西班牙,16.4,4.6,1.5,6.0,2.3,12.0,0.0,43.6,3.5
英格尔斯,澳大利亚,10.5,6.1,1.6,5.8,2.3,4.9,0.4,44.1,3.0
K-韦伯斯特,新西兰,22.8,4.6,1.0,5.6,2.0,8.0,0.0,54.2,1.6
卡尔内提斯,立陶宛,10.0,2.2,0.6,5.4,1.4,10.6,0.0,51.2,1.4
达里梅达,塞内加尔,6.6,3.2,0.6,5.4,1.6,-11.8,0.2,37.1,2.8
卡拉希斯,希腊,13.4,4.2,1.6,5.4,2.6,5.4,0.0,49.1,2.6
沃克,美国,14.4,3.0,0.9,5.4,2.3,11.3,0.3,48.6,1.7
约维奇,塞尔维亚,7.0,3.9,1.0,5.4,2.6,16.6,0.3,49.0,2.0
潘格斯,加拿大,8.2,1.8,1.2,5.2,2.2,5.0,0.0,34.8,1.0
尼达姆,黑山,9.0,0.6,1.4,5.0,2.8,-2.0,0.2,37.2,2.4
米切尔,美国,13.1,4.3,1.1,5.0,2.0,12.0,0.4,46.6,1.0
伊利,新西兰,10.4,3.0,0.6,5.0,2.6,-0.8,0.6,48.1,1.2
斯劳特尔,波兰,13.3,2.8,0.9,4.8,1.5,-3.1,0.1,39.8,2.0
约瑟夫,加拿大,15.0,3.6,1.4,4.8,2.6,5.0,0.0,46.0,1.8
约基奇,塞尔维亚,11.5,7.5,0.3,4.8,2.3,12.6,0.5,68.0,2.9
斯卢卡斯,希腊,9.8,2.4,0.4,4.6,1.8,3.0,0.0,40.5,0.8
布朗,波多黎各,9.0,3.6,1.0,4.6,1.8,-3.4,0.0,35.2,1.6
胡尔塔斯,巴西,7.6,2.0,0.4,4.6,1.4,0.2,0.0,42.1,1.0
哈达迪,伊朗,14.6,10.8,0.6,4.4,3.0,-2.0,1.2,47.5,4.4
奥科吉,尼日利亚,12.6,3.6,2.4,4.4,1.6,6.6,1.2,42.9,2.0
阿巴达,突尼斯,10.6,2.8,2.6,4.4,1.6,1.8,0.0,42.1,1.6
T-韦伯斯特,新西兰,13.4,3.8,0.4,4.4,3.6,4.8,0.0,43.6,4.0
博格达诺维奇,塞尔维亚,22.9,4.1,1.3,4.4,1.3,12.5,0.3,55.6,1.4
巴尔贝,土耳其,1.4,3.4,1.0,4.2,1.8,4.0,0.4,30.0,0.4
加索尔,西班牙,14.4,5.5,1.1,4.1,1.9,13.6,1.1,42.5,1.8
郭艾伦,中国,8.4,1.4,1.2,4.0,2.4,5.8,0.0,34.0,1.2
李政玹,韩国,10.0,4.0,0.3,4.0,3.3,-15.5,0.3,34.3,2.8
米尔斯,澳大利亚,22.5,2.4,0.8,3.9,1.6,7.1,0.3,49.6,3.5
萨博尼斯,立陶宛,10.5,6.3,0.3,3.8,3.0,8.0,0.8,48.4,1.0
伊万诺维奇,黑山,11.8,1.8,1.3,3.8,3.0,-5.2,0.3,47.2,2.3
迪亚巴特,科特迪瓦,8.4,1.8,1.0,3.8,1.0,-10.0,0.0,34.7,2.0
卢尔,西班牙,10.5,1.3,0.5,3.8,2.4,10.6,0.0,35.6,2.1
罗尔,突尼斯,14.2,2.2,1.0,3.8,2.4,3.8,0.0,46.0,1.4
金善亨,韩国,6.6,3.0,0.8,3.8,1.4,-9.4,0.0,22.0,1.4
贾姆希迪,伊朗,9.6,3.0,0.2,3.6,1.8,4.2,0.2,40.0,1.4
科尔班诺夫,俄罗斯,9.6,6.2,0.4,3.6,3.4,5.2,0.2,46.9,1.8
阿米奴,尼日利亚,8.2,6.6,1.4,3.6,1.4,7.4,1.0,45.2,2.0
本-鲁姆赞,突尼斯,13.0,7.2,1.8,3.6,3.2,6.0,0.4,51.0,1.6
朴灿熙,韩国,5.2,2.0,1.4,3.6,1.0,-5.4,0.2,61.1,2.2
拉普罗维托拉,阿根廷,10.0,2.3,1.5,3.6,2.0,7.1,0.0,31.9,1.8
伊布拉希姆,约旦,7.2,2.4,0.6,3.4,1.6,-14.8,0.2,37.1,2.8
布拉切,菲律宾,15.8,8.4,2.4,3.4,3.6,-24.4,0.6,40.0,4.4
德-科洛,法国,16.5,1.6,0.9,3.4,2.3,5.9,0.0,54.5,2.3
