name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
埃尔登,土耳其,6.8,3.8,0.8,0.8,4.2,4.0,0.6,50.0,2.8
罗伊,新西兰,11.0,5.0,0.2,3.2,4.0,9.0,0.4,50.0,2.0
I-法耶,塞内加尔,9.0,6.7,0.7,1.7,3.7,-11.0,1.7,33.3,2.0
G-阿德托昆博,希腊,14.8,8.8,2.4,2.4,3.6,6.6,0.6,52.2,2.6
布拉切,菲律宾,15.8,8.4,2.4,3.4,3.6,-24.4,0.6,40.0,4.4
T-韦伯斯特,新西兰,13.4,3.8,0.4,4.4,3.6,4.8,0.0,43.6,4.0
奥达,捷克,11.4,3.5,0.6,0.6,3.5,5.0,0.0,55.7,1.9
阿巴斯,约旦,6.2,5.0,0.2,1.6,3.4,-18.6,0.0,34.1,3.0
鲁易兹,委内瑞拉,4.2,7.6,1.4,0.8,3.4,2.4,0.0,52.6,0.8
科尔班诺夫,俄罗斯,9.6,6.2,0.4,3.6,3.4,5.2,0.2,46.9,1.8
王哲林,中国,8.0,5.0,0.6,0.2,3.4,-2.8,0.6,50.0,1.0
克莱森,加拿大,3.8,4.4,0.0,1.0,3.4,-0.4,0.2,33.3,1.0
莫雷拉,安哥拉,12.0,8.6,1.0,0.6,3.4,-8.0,0.2,54.2,1.6
李大成,韩国,10.0,2.0,1.3,1.3,3.3,-7.7,0.0,36.0,2.0
李政玹,韩国,10.0,4.0,0.3,4.0,3.3,-15.5,0.3,34.3,2.8
伊利亚索瓦,土耳其,16.0,9.3,1.7,2.0,3.3,6.7,1.0,36.4,1.7
科梅纳雷斯,委内瑞拉,9.2,5.8,1.4,2.0,3.2,-1.2,0.2,40.4,1.2
泰斯,德国,7.6,6.0,1.2,0.2,3.2,1.2,0.6,43.6,1.2
周琦,中国,9.0,7.6,0.8,1.2,3.2,0.4,1.4,52.9,1.8
本-鲁姆赞,突尼斯,13.0,7.2,1.8,3.6,3.2,6.0,0.4,51.0,1.6
博哈西克,捷克,15.3,4.0,0.3,2.4,3.1,0.6,0.1,44.6,1.5
戈贝尔,法国,10.1,9.1,0.6,1.8,3.1,9.4,1.9,62.8,1.1
巴尔加斯,多米尼加,11.0,5.4,0.2,0.6,3.0,-4.6,0.6,55.3,0.8
哈达迪,伊朗,14.6,10.8,0.6,4.4,3.0,-2.0,1.2,47.5,4.4
萨博尼斯,立陶宛,10.5,6.3,0.3,3.8,3.0,8.0,0.8,48.4,1.0
马沙耶希,伊朗,4.6,3.6,0.8,0.6,3.0,1.8,0.0,34.8,1.6
伊万诺维奇,黑山,11.8,1.8,1.3,3.8,3.0,-5.2,0.3,47.2,2.3
阿巴西,突尼斯,1.0,1.0,0.0,1.0,3.0,-8.0,0.0,0.0,0.0
斯科拉,阿根廷,17.9,8.1,0.8,1.8,3.0,12.9,0.4,43.4,1.9
博古特,澳大利亚,8.0,6.0,0.5,2.4,3.0,1.2,0.8,63.3,1.6
保罗,安哥拉,8.4,3.0,0.6,2.0,3.0,-8.4,0.4,65.2,1.0
乔奎姆,安哥拉,11.6,5.0,0.8,0.4,3.0,-8.0,0.8,52.5,1.8
J-埃尔南戈麦斯,西班牙,10.5,5.4,1.0,0.6,2.9,3.8,0.4,57.7,0.9
罗哈斯,多米尼加,5.2,3.8,1.4,0.6,2.8,-4.6,0.0,47.8,1.6
斯科洛斯基,波兰,7.5,2.8,0.6,0.8,2.8,1.9,0.5,60.0,0.6
卡雷拉,委内瑞拉,10.0,5.0,0.8,1.0,2.8,-2.8,0.6,53.6,1.4
巴尔克曼,波多黎各,9.0,5.2,1.4,2.0,2.8,-8.6,1.4,34.8,2.8
T-阿德托昆博,希腊,6.0,1.4,0.4,1.0,2.8,0.4,0.4,54.5,0.8
罗德里格斯,波多黎各,6.6,2.8,1.0,2.4,2.8,-6.8,0.0,29.0,2.6
尼达姆,黑山,9.0,0.6,1.4,5.0,2.8,-2.0,0.2,37.2,2.4
伊夫列夫,俄罗斯,4.6,2.6,0.6,0.4,2.8,6.4,0.0,60.0,0.6
杜布列维奇,黑山,10.0,7.2,1.4,2.6,2.8,-5.8,0.0,41.2,3.0
祖布科夫,俄罗斯,9.4,4.2,0.6,2.4,2.8,-2.2,1.2,42.9,2.0
文森特,尼日利亚,11.4,1.2,1.6,0.6,2.8,6.4,0.0,50.0,0.8
巴布瑞,俄罗斯,2.6,1.8,0.6,1.4,2.8,1.2,0.0,44.4,0.4
达托梅,意大利,10.5,2.8,0.8,2.0,2.8,10.8,0.8,59.3,1.3
梅杰里,突尼斯,16.2,10.2,1.0,2.4,2.8,1.0,3.2,54.4,2.2
加里诺,阿根廷,8.1,3.3,1.5,1.0,2.8,12.5,0.6,40.4,0.9
伊基,加拿大,8.4,5.2,2.0,2.0,2.8,8.6,0.4,46.7,1.4
奥斯曼,土耳其,20.4,3.2,1.4,2.6,2.8,4.4,0.4,50.0,1.4
