name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
约维奇,塞尔维亚,7.0,3.9,1.0,5.4,2.6,16.6,0.3,49.0,2.0
费尔南德斯,西班牙,7.8,3.6,1.6,3.0,1.8,13.8,0.4,40.4,0.9
加索尔,西班牙,14.4,5.5,1.1,4.1,1.9,13.6,1.1,42.5,1.8
坎帕佐,阿根廷,13.3,4.3,2.0,7.8,1.9,13.2,0.1,41.8,2.6
斯科拉,阿根廷,17.9,8.1,0.8,1.8,3.0,12.9,0.4,43.4,1.9
约基奇,塞尔维亚,11.5,7.5,0.3,4.8,2.3,12.6,0.5,68.0,2.9
加里诺,阿根廷,8.1,3.3,1.5,1.0,2.8,12.5,0.6,40.4,0.9
博格达诺维奇,塞尔维亚,22.9,4.1,1.3,4.4,1.3,12.5,0.3,55.6,1.4
瓦兰丘纳斯,立陶宛,14.0,8.8,1.0,1.0,2.6,12.0,1.6,64.3,1.0
米切尔,美国,13.1,4.3,1.1,5.0,2.0,12.0,0.4,46.6,1.0
卢比奥,西班牙,16.4,4.6,1.5,6.0,2.3,12.0,0.0,43.6,3.5
马修利斯,立陶宛,4.8,3.6,1.0,1.2,2.6,11.8,0.0,31.8,0.4
贝里内利,意大利,15.0,4.0,1.2,3.2,1.6,11.6,0.0,40.0,1.6
布鲁克斯,意大利,4.4,4.2,1.6,1.0,2.4,11.6,1.2,56.3,0.4
沃克,美国,14.4,3.0,0.9,5.4,2.3,11.3,0.3,48.6,1.7
塔图姆,美国,10.5,7.5,1.0,2.5,2.0,11.0,1.5,31.8,2.0
达托梅,意大利,10.5,2.8,0.8,2.0,2.8,10.8,0.8,59.3,1.3
加里纳利,意大利,17.2,5.6,1.0,2.8,1.6,10.8,0.4,53.1,1.0
卡尔内提斯,立陶宛,10.0,2.2,0.6,5.4,1.4,10.6,0.0,51.2,1.4
卢尔,西班牙,10.5,1.3,0.5,3.8,2.4,10.6,0.0,35.6,2.1
本金,德国,8.0,3.0,0.6,1.0,1.4,10.2,0.2,33.3,0.6
施罗德,德国,19.6,4.6,1.4,9.4,1.4,9.8,0.2,41.4,3.4
弗图,新西兰,18.4,6.0,0.2,1.6,2.4,9.8,0.0,66.7,1.6
米德尔顿,美国,9.9,4.9,0.6,2.4,2.1,9.6,0.0,43.8,1.0
克莱弗,西班牙,8.5,4.9,1.5,1.6,2.6,9.5,0.6,56.3,1.3
戈贝尔,法国,10.1,9.1,0.6,1.8,3.1,9.4,1.9,62.8,1.1
巴泽尔,德国,5.6,4.0,0.6,0.4,1.2,9.2,0.4,50.0,0.4
阿伯克龙比,新西兰,9.6,5.6,0.6,1.0,2.4,9.2,0.8,44.4,1.0
库兹明斯卡斯,立陶宛,7.0,2.8,0.6,0.2,1.6,9.0,0.2,45.2,1.8
罗伊,新西兰,11.0,5.0,0.2,3.2,4.0,9.0,0.4,50.0,2.0
沃容特斯维奇,俄罗斯,12.8,7.0,0.8,2.8,2.6,8.8,0.4,51.2,1.0
西蒙诺维奇,塞尔维亚,3.0,1.6,0.4,0.3,1.4,8.8,0.1,47.6,0.5
伊基,加拿大,8.4,5.2,2.0,2.0,2.8,8.6,0.4,46.7,1.4
特纳,美国,7.6,6.8,0.6,0.0,2.3,8.5,1.8,47.2,1.1
埃里克,尼日利亚,8.5,3.8,1.3,0.5,2.0,8.5,1.0,78.9,1.0
马扬诺维奇,塞尔维亚,6.8,2.6,0.1,0.6,1.5,8.5,0.4,75.9,1.3
莱卡维丘斯,立陶宛,13.0,1.6,1.0,1.8,1.8,8.4,0.0,64.9,1.2
卢西奇,塞尔维亚,7.1,3.0,0.8,0.9,2.8,8.2,0.3,47.1,0.3
富尼耶,法国,19.8,3.8,0.9,3.0,2.5,8.1,0.1,42.0,1.9
吉德雷提斯,立陶宛,0.7,1.3,0.0,1.0,1.0,8.0,0.7,0.0,0.7
萨博尼斯,立陶宛,10.5,6.3,0.3,3.8,3.0,8.0,0.8,48.4,1.0
巴恩斯,美国,11.6,4.6,1.3,1.5,1.6,8.0,0.1,47.6,1.1
蒂曼,德国,5.0,3.0,0.0,0.0,1.0,8.0,0.0,66.7,2.0
K-韦伯斯特,新西兰,22.8,4.6,1.0,5.6,2.0,8.0,0.0,54.2,1.6
比尔塞维奇,塞尔维亚,4.8,2.8,0.5,0.5,1.5,7.7,0.2,45.5,0.3
格里戈尼斯,立陶宛,10.2,1.8,1.2,1.2,2.2,7.6,0.0,45.2,1.6
姆巴耶,法国,5.8,1.9,0.0,0.3,1.9,7.6,0.3,56.7,0.8
阿米奴,尼日利亚,8.2,6.6,1.4,3.6,1.4,7.4,1.0,45.2,2.0
拉普罗维托拉,阿根廷,10.0,2.3,1.5,3.6,2.0,7.1,0.0,31.9,1.8
米尔斯,澳大利亚,22.5,2.4,0.8,3.9,1.6,7.1,0.3,49.6,3.5
