name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
罗建儿,韩国,23.0,12.8,1.4,1.8,1.8,-14.2,1.2,49.5,2.4
博格达诺维奇,塞尔维亚,22.9,4.1,1.3,4.4,1.3,12.5,0.3,55.6,1.4
K-韦伯斯特,新西兰,22.8,4.6,1.0,5.6,2.0,8.0,0.0,54.2,1.6
米尔斯,澳大利亚,22.5,2.4,0.8,3.9,1.6,7.1,0.3,49.6,3.5
塔克,约旦,21.0,4.8,1.2,1.2,1.4,-20.2,0.2,42.1,3.0
奥斯曼,土耳其,20.4,3.2,1.4,2.6,2.8,4.4,0.4,50.0,1.4
富尼耶,法国,19.8,3.8,0.9,3.0,2.5,8.1,0.1,42.0,1.9
施罗德,德国,19.6,4.6,1.4,9.4,1.4,9.8,0.2,41.4,3.4
马穆托格鲁,土耳其,18.6,1.6,0.8,1.0,0.8,4.8,0.0,57.8,0.8
弗图,新西兰,18.4,6.0,0.2,1.6,2.4,9.8,0.0,66.7,1.6
斯科拉,阿根廷,17.9,8.1,0.8,1.8,3.0,12.9,0.4,43.4,1.9
易建联,中国,17.8,7.8,1.0,1.2,2.4,0.4,0.6,51.7,2.6
加里纳利,意大利,17.2,5.6,1.0,2.8,1.6,10.8,0.4,53.1,1.0
德-科洛,法国,16.5,1.6,0.9,3.4,2.3,5.9,0.0,54.5,2.3
卢比奥,西班牙,16.4,4.6,1.5,6.0,2.3,12.0,0.0,43.6,3.5
威尔彻,加拿大,16.4,3.0,0.6,1.0,1.2,4.0,0.0,48.3,1.0
阿尔迪瓦里,约旦,16.3,7.5,0.5,1.5,2.0,-25.2,0.0,60.5,2.0
梅杰里,突尼斯,16.2,10.2,1.0,2.4,2.8,1.0,3.2,54.4,2.2
伊利亚索瓦,土耳其,16.0,9.3,1.7,2.0,3.3,6.7,1.0,36.4,1.7
布拉切,菲律宾,15.8,8.4,2.4,3.4,3.6,-24.4,0.6,40.0,4.4
渡边雄太,日本,15.6,5.6,0.8,1.6,1.8,-22.8,0.4,44.6,1.2
萨托兰斯基,捷克,15.5,5.6,0.9,8.5,1.8,1.9,0.4,45.7,2.8
博哈西克,捷克,15.3,4.0,0.3,2.4,3.1,0.6,0.1,44.6,1.5
贝里内利,意大利,15.0,4.0,1.2,3.2,1.6,11.6,0.0,40.0,1.6
约瑟夫,加拿大,15.0,3.6,1.4,4.8,2.6,5.0,0.0,46.0,1.8
G-阿德托昆博,希腊,14.8,8.8,2.4,2.4,3.6,6.6,0.6,52.2,2.6
哈达迪,伊朗,14.6,10.8,0.6,4.4,3.0,-2.0,1.2,47.5,4.4
武切维奇,黑山,14.6,6.4,0.8,1.2,1.2,-2.4,0.6,47.6,1.6
沃克,美国,14.4,3.0,0.9,5.4,2.3,11.3,0.3,48.6,1.7
加索尔,西班牙,14.4,5.5,1.1,4.1,1.9,13.6,1.1,42.5,1.8
费泽卡斯,日本,14.4,7.4,1.0,1.2,1.6,-18.8,0.2,48.3,1.8
胡尔塔斯,波多黎各,14.2,1.8,0.2,2.0,2.0,-5.6,0.2,47.4,1.6
罗尔,突尼斯,14.2,2.2,1.0,3.8,2.4,3.8,0.0,46.0,1.4
瓦兰丘纳斯,立陶宛,14.0,8.8,1.0,1.0,2.6,12.0,1.6,64.3,1.0
瓦奇斯基,波兰,13.9,2.6,0.6,2.8,1.8,-2.4,0.1,42.5,1.8
戴克,阿根廷,13.9,3.1,1.1,0.9,1.8,5.2,0.1,56.0,0.9
巴博萨,巴西,13.6,1.6,0.6,2.2,2.0,-2.0,0.2,43.6,1.6
波尼卡,波兰,13.5,6.8,1.4,1.6,2.4,-2.5,0.9,50.0,2.4
卡拉希斯,希腊,13.4,4.2,1.6,5.4,2.6,5.4,0.0,49.1,2.6
阿布沃,科特迪瓦,13.4,3.0,1.0,1.6,1.4,-8.2,0.0,44.6,1.6
T-韦伯斯特,新西兰,13.4,3.8,0.4,4.4,3.6,4.8,0.0,43.6,4.0
斯劳特尔,波兰,13.3,2.8,0.9,4.8,1.5,-3.1,0.1,39.8,2.0
坎帕佐,阿根廷,13.3,4.3,2.0,7.8,1.9,13.2,0.1,41.8,2.6
八村垒,日本,13.3,5.7,1.7,2.3,2.7,-23.7,0.0,43.3,1.3
汤普森,科特迪瓦,13.2,6.4,1.0,1.6,1.6,-14.4,0.6,47.2,2.2
米切尔,美国,13.1,4.3,1.1,5.0,2.0,12.0,0.4,46.6,1.0
利兹,多米尼加,13.0,2.8,1.4,2.0,1.4,-8.0,0.2,37.7,3.4
莱卡维丘斯,立陶宛,13.0,1.6,1.0,1.8,1.8,8.4,0.0,64.9,1.2
吉扬,委内瑞拉,13.0,2.0,1.0,6.2,1.4,2.2,0.0,42.6,1.6
本-鲁姆赞,突尼斯,13.0,7.2,1.8,3.6,3.2,6.0,0.4,51.0,1.6
