name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
沃拉,尼日利亚,11.0,3.5,3.0,2.0,2.0,-7.0,0.0,33.3,2.0
阿巴达,突尼斯,10.6,2.8,2.6,4.4,1.6,1.8,0.0,42.1,1.6
G-阿德托昆博,希腊,14.8,8.8,2.4,2.4,3.6,6.6,0.6,52.2,2.6
奥科吉,尼日利亚,12.6,3.6,2.4,4.4,1.6,6.6,1.2,42.9,2.0
布拉切,菲律宾,15.8,8.4,2.4,3.4,3.6,-24.4,0.6,40.0,4.4
恩多尔,塞内加尔,10.2,4.2,2.0,1.4,2.6,-19.6,0.6,37.7,2.6
坎帕佐,阿根廷,13.3,4.3,2.0,7.8,1.9,13.2,0.1,41.8,2.6
伊基,加拿大,8.4,5.2,2.0,2.0,2.8,8.6,0.4,46.7,1.4
伯奇,加拿大,11.6,7.0,2.0,1.6,1.8,5.2,1.4,57.9,1.4
雅克查理,伊朗,12.0,2.8,1.8,3.0,0.8,-1.0,0.2,51.2,1.4
本-鲁姆赞,突尼斯,13.0,7.2,1.8,3.6,3.2,6.0,0.4,51.0,1.6
伊利亚索瓦,土耳其,16.0,9.3,1.7,2.0,3.3,6.7,1.0,36.4,1.7
八村垒,日本,13.3,5.7,1.7,2.3,2.7,-23.7,0.0,43.3,1.3
卡拉希斯,希腊,13.4,4.2,1.6,5.4,2.6,5.4,0.0,49.1,2.6
弗利宗,俄罗斯,6.6,2.4,1.6,1.8,2.2,1.6,0.0,39.4,1.2
文森特,尼日利亚,11.4,1.2,1.6,0.6,2.8,6.4,0.0,50.0,0.8
布鲁克斯,意大利,4.4,4.2,1.6,1.0,2.4,11.6,1.2,56.3,0.4
费尔南德斯,西班牙,7.8,3.6,1.6,3.0,1.8,13.8,0.4,40.4,0.9
英格尔斯,澳大利亚,10.5,6.1,1.6,5.8,2.3,4.9,0.4,44.1,3.0
加西亚,巴西,10.0,3.0,1.6,2.4,2.2,1.2,0.0,41.5,1.6
科尔克马兹,土耳其,11.8,3.5,1.5,1.8,1.5,-7.8,0.3,45.0,1.5
卢比奥,西班牙,16.4,4.6,1.5,6.0,2.3,12.0,0.0,43.6,3.5
克莱弗,西班牙,8.5,4.9,1.5,1.6,2.6,9.5,0.6,56.3,1.3
拉普罗维托拉,阿根廷,10.0,2.3,1.5,3.6,2.0,7.1,0.0,31.9,1.8
加里诺,阿根廷,8.1,3.3,1.5,1.0,2.8,12.5,0.6,40.4,0.9
维尔多萨,阿根廷,5.8,1.5,1.5,2.1,2.1,0.1,0.1,38.2,1.4
利兹,多米尼加,13.0,2.8,1.4,2.0,1.4,-8.0,0.2,37.7,3.4
索拉诺,多米尼加,5.8,2.6,1.4,6.6,2.6,-2.6,0.0,31.6,2.8
L-蒙特罗,多米尼加,5.6,3.0,1.4,0.6,2.4,-4.4,0.6,34.5,0.8
罗哈斯,多米尼加,5.2,3.8,1.4,0.6,2.8,-4.6,0.0,47.8,1.6
波尼卡,波兰,13.5,6.8,1.4,1.6,2.4,-2.5,0.9,50.0,2.4
鲁易兹,委内瑞拉,4.2,7.6,1.4,0.8,3.4,2.4,0.0,52.6,0.8
M-法耶,塞内加尔,9.8,3.4,1.4,2.0,2.2,-14.0,0.8,32.7,1.6
科梅纳雷斯,委内瑞拉,9.2,5.8,1.4,2.0,3.2,-1.2,0.2,40.4,1.2
巴尔克曼,波多黎各,9.0,5.2,1.4,2.0,2.8,-8.6,1.4,34.8,2.8
尼达姆,黑山,9.0,0.6,1.4,5.0,2.8,-2.0,0.2,37.2,2.4
杜布列维奇,黑山,10.0,7.2,1.4,2.6,2.8,-5.8,0.0,41.2,3.0
阿米奴,尼日利亚,8.2,6.6,1.4,3.6,1.4,7.4,1.0,45.2,2.0
施罗德,德国,19.6,4.6,1.4,9.4,1.4,9.8,0.2,41.4,3.4
赵继伟,中国,4.6,1.6,1.4,2.8,1.6,2.0,0.0,30.0,0.8
朴灿熙,韩国,5.2,2.0,1.4,3.6,1.0,-5.4,0.2,61.1,2.2
罗建儿,韩国,23.0,12.8,1.4,1.8,1.8,-14.2,1.2,49.5,2.4
约瑟夫,加拿大,15.0,3.6,1.4,4.8,2.6,5.0,0.0,46.0,1.8
奥斯曼,土耳其,20.4,3.2,1.4,2.6,2.8,4.4,0.4,50.0,1.4
马场雄大,日本,9.2,2.6,1.4,3.0,2.2,-16.0,0.0,37.8,1.6
伊万诺维奇,黑山,11.8,1.8,1.3,3.8,3.0,-5.2,0.3,47.2,2.3
巴恩斯,美国,11.6,4.6,1.3,1.5,1.6,8.0,0.1,47.6,1.1
埃里克,尼日利亚,8.5,3.8,1.3,0.5,2.0,8.5,1.0,78.9,1.0
怀特,美国,5.9,1.3,1.3,2.5,1.8,1.2,0.0,46.3,1.4
阿尔比西,法国,4.8,1.3,1.3,2.6,2.1,6.2,0.0,43.3,1.0
