name,country,points,rebounds,steals,assists,fouls,plus_minus,blocked,goals_percentage,turnovers
哈达迪,伊朗,14.6,10.8,0.6,4.4,3.0,-2.0,1.2,47.5,4.4
布拉切,菲律宾,15.8,8.4,2.4,3.4,3.6,-24.4,0.6,40.0,4.4
T-韦伯斯特,新西兰,13.4,3.8,0.4,4.4,3.6,4.8,0.0,43.6,4.0
福法纳,科特迪瓦,3.2,2.6,1.2,2.2,2.4,-4.6,0.6,17.4,3.6
卢比奥,西班牙,16.4,4.6,1.5,6.0,2.3,12.0,0.0,43.6,3.5
米尔斯,澳大利亚,22.5,2.4,0.8,3.9,1.6,7.1,0.3,49.6,3.5
利兹,多米尼加,13.0,2.8,1.4,2.0,1.4,-8.0,0.2,37.7,3.4
施罗德,德国,19.6,4.6,1.4,9.4,1.4,9.8,0.2,41.4,3.4
多明戈斯,安哥拉,8.8,2.5,0.3,2.5,1.5,-13.0,0.0,32.4,3.3
阿巴斯,约旦,6.2,5.0,0.2,1.6,3.4,-18.6,0.0,34.1,3.0
塔克,约旦,21.0,4.8,1.2,1.2,1.4,-20.2,0.2,42.1,3.0
杜布列维奇,黑山,10.0,7.2,1.4,2.6,2.8,-5.8,0.0,41.2,3.0
英格尔斯,澳大利亚,10.5,6.1,1.6,5.8,2.3,4.9,0.4,44.1,3.0
约基奇,塞尔维亚,11.5,7.5,0.3,4.8,2.3,12.6,0.5,68.0,2.9
索拉诺,多米尼加,5.8,2.6,1.4,6.6,2.6,-2.6,0.0,31.6,2.8
伊布拉希姆,约旦,7.2,2.4,0.6,3.4,1.6,-14.8,0.2,37.1,2.8
达里梅达,塞内加尔,6.6,3.2,0.6,5.4,1.6,-11.8,0.2,37.1,2.8
巴尔克曼,波多黎各,9.0,5.2,1.4,2.0,2.8,-8.6,1.4,34.8,2.8
萨托兰斯基,捷克,15.5,5.6,0.9,8.5,1.8,1.9,0.4,45.7,2.8
佩雷兹,菲律宾,12.6,3.2,0.8,2.6,2.0,-8.6,0.0,54.3,2.8
李政玹,韩国,10.0,4.0,0.3,4.0,3.3,-15.5,0.3,34.3,2.8
埃尔登,土耳其,6.8,3.8,0.8,0.8,4.2,4.0,0.6,50.0,2.8
筱山龙青,日本,3.3,2.0,0.3,1.7,2.0,-13.7,0.0,50.0,2.7
G-巴尔加斯,委内瑞拉,6.2,2.6,0.6,2.4,2.4,-4.2,0.0,30.3,2.6
恩多尔,塞内加尔,10.2,4.2,2.0,1.4,2.6,-19.6,0.6,37.7,2.6
卡拉希斯,希腊,13.4,4.2,1.6,5.4,2.6,5.4,0.0,49.1,2.6
G-阿德托昆博,希腊,14.8,8.8,2.4,2.4,3.6,6.6,0.6,52.2,2.6
罗德里格斯,波多黎各,6.6,2.8,1.0,2.4,2.8,-6.8,0.0,29.0,2.6
哈克特,意大利,7.8,4.8,1.2,2.8,2.2,4.8,0.0,31.3,2.6
易建联,中国,17.8,7.8,1.0,1.2,2.4,0.4,0.6,51.7,2.6
坎帕佐,阿根廷,13.3,4.3,2.0,7.8,1.9,13.2,0.1,41.8,2.6
莫莱斯,安哥拉,12.6,2.4,0.8,2.4,1.8,-13.8,0.2,42.4,2.6
蒂亚姆,塞内加尔,3.5,2.5,0.0,1.0,1.0,-6.0,0.0,23.1,2.5
德拉维多瓦,澳大利亚,8.9,4.3,0.6,6.3,2.1,6.0,0.0,33.3,2.5
波尼卡,波兰,13.5,6.8,1.4,1.6,2.4,-2.5,0.9,50.0,2.4
尼达姆,黑山,9.0,0.6,1.4,5.0,2.8,-2.0,0.2,37.2,2.4
罗建儿,韩国,23.0,12.8,1.4,1.8,1.8,-14.2,1.2,49.5,2.4
伊万诺维奇,黑山,11.8,1.8,1.3,3.8,3.0,-5.2,0.3,47.2,2.3
德-科洛,法国,16.5,1.6,0.9,3.4,2.3,5.9,0.0,54.5,2.3
沃格特曼,德国,11.4,5.4,0.8,2.8,2.6,5.4,0.6,63.6,2.2
汤普森,科特迪瓦,13.2,6.4,1.0,1.6,1.6,-14.4,0.6,47.2,2.2
梅杰里,突尼斯,16.2,10.2,1.0,2.4,2.8,1.0,3.2,54.4,2.2
朴灿熙,韩国,5.2,2.0,1.4,3.6,1.0,-5.4,0.2,61.1,2.2
比江岛慎,日本,4.4,1.2,0.6,1.2,2.2,-11.6,0.0,32.1,2.2
卢尔,西班牙,10.5,1.3,0.5,3.8,2.4,10.6,0.0,35.6,2.1
阿尔迪瓦里,约旦,16.3,7.5,0.5,1.5,2.0,-25.2,0.0,60.5,2.0
斯劳特尔,波兰,13.3,2.8,0.9,4.8,1.5,-3.1,0.1,39.8,2.0
I-法耶,塞内加尔,9.0,6.7,0.7,1.7,3.7,-11.0,1.7,33.3,2.0
M-库拉金,俄罗斯,10.6,1.4,0.6,1.6,2.2,3.8,0.0,31.9,2.0
莫托维洛夫,俄罗斯,4.6,1.0,0.4,1.2,1.6,0.6,0.0,36.0,2.0
