"Country Name","Country Code","Region","Income_Group",
"阿鲁巴","ABW","","高收入国家",
"阿富汗","AFG","南亚","低收入国家",
"安哥拉","AGO","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"阿尔巴尼亚","ALB","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"安道尔共和国","AND","","高收入国家",
"阿拉伯联盟国家","ARB","","",
"阿拉伯联合酋长国","ARE","","高收入国家",
"阿根廷","ARG","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"亚美尼亚","ARM","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"美属萨摩亚","ASM","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"安提瓜和巴布达","ATG","","高收入国家",
"澳大利亚","AUS","","高收入国家",
"奥地利","AUT","","高收入国家",
"阿塞拜疆","AZE","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"布隆迪","BDI","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"比利时","BEL","","高收入国家",
"贝宁","BEN","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"布基纳法索","BFA","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"孟加拉国","BGD","南亚","中低等收入国家",
"保加利亚","BGR","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"巴林","BHR","","高收入国家",
"巴哈马","BHS","","高收入国家",
"波斯尼亚和黑塞哥维那","BIH","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"白俄罗斯","BLR","欧洲与中亚地区（不包括高收入）","中高等收入国家",
"伯利兹","BLZ","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"百慕大","BMU","","高收入国家",
"玻利维亚","BOL","拉丁美洲与加勒比海地区（不包括高收入）","中低等收入国家",
"巴西","BRA","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"巴巴多斯","BRB","","高收入国家",
"文莱达鲁萨兰国","BRN","","高收入国家",
"不丹","BTN","南亚","中低等收入国家",
"博茨瓦纳","BWA","撒哈拉以南非洲地区（不包括高收入）","中高等收入国家",
"中非共和国","CAF","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"加拿大","CAN","","高收入国家",
"中歐和波羅的海
","CEB","","",
"瑞士","CHE","","高收入国家",
"海峡群岛","CHI","","高收入国家",
"智利","CHL","","高收入国家",
"中国","CHN","东亚与太平洋地区（不包括高收入）","中高等收入国家",
"科特迪瓦","CIV","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"喀麦隆","CMR","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"刚果（金）","COD","撒哈拉以南非洲地区（不包括高收入）","低收入国家",
"刚果（布）","COG","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"哥伦比亚","COL","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"科摩罗","COM","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"佛得角","CPV","撒哈拉以南非洲地区（不包括高收入）","中低等收入国家",
"哥斯达黎加","CRI","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"加勒比小国","CSS","","",
"古巴","CUB","拉丁美洲与加勒比海地区（不包括高收入）","中高等收入国家",
"库拉索","CUW","","高收入国家",
"开曼群岛","CYM","","高收入国家",
"塞浦路斯","CYP","","高收入国家",
"捷克共和国","CZE","","高收入国家",
"德国","DEU","","高收入国家",
"吉布提","DJI","中东与北非地区（不包括高收入）","中低等收入国家",
