英雄名字,生存能力,攻击伤害,技能效果,上手难度,最大生命,最大法力,物理攻击,法术攻击,物理防御,物理减伤率,法术防御,法术减伤率,移速,物理护甲穿透,法术护甲穿透,攻速加成,暴击几率,暴击效果,物理吸血,法术吸血,冷却缩减,攻击范围,韧性,生命回复,法力回复
盘古,10,8,8,6,3067,0,154,0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
猪八戒,10,8,10,6,3067,0,154,0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
嫦娥,10,10,10,5,1600,440,152,,79,12.6%,50,7.6%,395,,,,,0%,,,0%,远程,,46,15
瑶,10,7,8,5,3010,440,162,0,87,12.6%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,43,16
上官婉儿,5,7,8,6,3215,440,152,0,79,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
沈梦溪,6,8,10,6,3238,440,171,0,87,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
伽罗,4,10,8,5,3173,490,205,0,84,12.2%,50,7.6%,350,0,0,0,0,0%,0,0,0%,远程,0,39,18
盾山,10,5,10,5,3041,125,171,0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
司马懿,4,3,8,7,3166,490,165,0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
孙策,8,5,8,4,3237,420,151,0,97,13.9%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,80,15
米莱狄,3,2,8,4,3166,490,165,0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
狂铁,6,6,6,5,3263,90,1066,0,95,13.6%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,50,0
裴擒虎,5,8,6,9,3483,450,159,0,99,14.1%,50,7.6%,380,0,0,0%,0%,200%,0%,0%,0%,近程,0%,53,16
杨玉环,7,5,8,5,3238,470,159,0,96,13.7%,50,7.6%,360,0,0,0,0,0%,0,0,0%,远程,0,38,17
公孙离,3,5,8,8,3041,200,175,0,91,13.1 %,50,7.6 %,350,,,,,200%,,,0%,远程,,46,50
弈星,3,5,8,7,2958,470,159,159,93,13.4%,50,7.6%,360,,,,,200%,,,0%,远程,,42,17
明世隐,3,4,8,5,3182,420,161,0,86,17.2%,50,7.6%,340,0,0,0,0,200%,0,0,0%,近程,0,41,16
梦奇,9,5,6,6,3041,125,171,0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
百里玄策,5,8,8,10,3359,450,178,0,88,12.7%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,16
