分组,英雄名字,生存能力,攻击伤害,技能效果,上手难度,最大生命,最大法力,物理攻击,法术攻击,物理防御,物理减伤率,法术防御,法术减伤率,移速,物理护甲穿透,法术护甲穿透,攻速加成,暴击几率,暴击效果,物理吸血,法术吸血,冷却缩减,攻击范围,韧性,生命回复,法力回复
14,盘古,10,8,8,6,3067,0,154,0.0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
14,猪八戒,10,8,10,6,3067,0,154,0.0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
6,嫦娥,10,10,10,5,1600,440,152,,79,12.6%,50,7.6%,395,,,,,0%,,,0%,远程,,46,15
0,瑶,10,7,8,5,3010,440,162,0.0,87,12.6%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,43,16
0,上官婉儿,5,7,8,6,3215,440,152,0.0,79,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
0,沈梦溪,6,8,10,6,3238,440,171,0.0,87,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
0,伽罗,4,10,8,5,3173,490,205,0.0,84,12.2%,50,7.6%,350,0,0,0,0,0%,0,0,0%,远程,0,39,18
10,盾山,10,5,10,5,3041,125,171,0.0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
8,司马懿,4,3,8,7,3166,490,165,0.0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
14,孙策,8,5,8,4,3237,420,151,0.0,97,13.9%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,80,15
13,米莱狄,3,2,8,4,3166,490,165,0.0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
5,狂铁,6,6,6,5,3263,90,1066,0.0,95,13.6%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,50,0
4,裴擒虎,5,8,6,9,3483,450,159,0.0,99,14.1%,50,7.6%,380,0,0,0%,0%,200%,0%,0%,0%,近程,0%,53,16
0,杨玉环,7,5,8,5,3238,470,159,0.0,96,13.7%,50,7.6%,360,0,0,0,0,0%,0,0,0%,远程,0,38,17
17,公孙离,3,5,8,8,3041,200,175,0.0,91,13.1 %,50,7.6 %,350,,,,,200%,,,0%,远程,,46,50
7,弈星,3,5,8,7,2958,470,159,159.0,93,13.4%,50,7.6%,360,,,,,200%,,,0%,远程,,42,17
16,明世隐,3,4,8,5,3182,420,161,0.0,86,17.2%,50,7.6%,340,0,0,0,0,200%,0,0,0%,近程,0,41,16
10,梦奇,9,5,6,6,3041,125,171,0.0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
4,百里玄策,5,8,8,10,3359,450,178,0.0,88,12.7%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,16
1,苏烈,9,5,5,5,3369,0,171,0.0,93,13.4%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,56,0
0,百里守约,3,6,8,6,3182,440,161,0.0,86,12.5%,50,7.6%,350,,,,200,0%,,,0%,远程,,41,16
15,元歌,4,6,4,4,3269,0,177,0.0,89,12.9%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,0
12,女娲,3,7,3,6,2958,470,159,0.0,93,13.4%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,42,17
12,鬼谷子,4,7,3,4,3200,490,168,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,45,18
11,铠,6,4,5,6,3267,430,173,0.0,84,12.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,15
8,干将莫邪,3,6,8,9,3189,490,159,0.0,92,13.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,远程,0,45,17
0,东皇太一,9,5,6,6,3201,470,163,0.0,90,14.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,53,17
0,艾琳,3,6,8,6,3182,440,161,0.0,86,12.5%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,41,16
8,大乔,3,3,6,8,2958,470,159,0.0,93,13.4%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,42,17
12,黄忠,2,8,4,3,3173,440,172,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,39,16
8,诸葛亮,3,6,8,8,3135,490,156,0.0,87,12.6%,50,7.6%,350,0,0,0,0,0%,0,0,0%,远程,0,44,18
4,哪吒,9,7,7,9,3483,450,159,0.0,99,14.1%,50,7.6%,380,0,0,0%,0%,200%,0%,0%,0%,近程,0%,53,16
3,太乙真人,8,4,5,5,3443,420,154,0.0,94,13.5%,50,0%,360,0,0,0,0,0%,0,0,0%,近程,0,49,15
4,杨戬,8,7,6,6,3339,420,166,0.0,98,14%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
12,成吉思汗,4,8,4,7,3027,440,184,0.0,94,13.5%,50,7.6%,370,0,0,0,0,200%,0,0,0%,远程,0,37,15
15,橘右京,6,6,5,2,3150,0,165,0.0,96,13.7%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,48,0
17,马可波罗,7,5,6,6,3041,200,175,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,46,50
16,雅典娜,3,6,8,6,2862,430,162,0.0,106,15%,50,7.6%,410,0,0,0,0,200%,0,0,0%,近程,0,44,15
11,夏侯惇,4,6,5,4,3307,430,159,0.0,101,14.4%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
