名称,1级物理攻击,15级物理攻击,每级成长,1级生命,15级生命,生命成长值,1级物理防御,15级物理防御,每级物理防御成长,攻速成长,1级每5秒回血,15级每5秒回血,1级最大法力,15级最大法力,最大法力成长,1级每五秒回蓝,15级每5秒回蓝,近/远程？,移速,定位,个人建议分路,
女娲,155,295,10,3157,5626,176.35,89,322,16.64,1,45,72,500,2180,120,19,46,远程,350,法师,中,
妲己,170,293,8.8,3229,5824,185.4,86,326,17.14,1,46,74,490,2016,109,18,44,远程,350,法师,中,
诸葛亮,156,287,9.357,3135,5655,180,87,330,17.36,1,44,72,490,1988,107,18,43,远程,350,法师,中/野,
嬴政,157,309,10.86,3125,5471,167.6,91,295,14.6,0,44,70,490,1946,104,17,41,远程,350,法师,中,
小乔,153,263,7.857,3088,5916,202,95,309,15.3,1,44,75,490,1988,107,18,43,远程,350,法师,中,
扁鹊,168,303,10.1,3036,6256,230,87,374,20.5,1,45,83,490,2016,109,18,44,远程,350,法师,中,
张良,170,293,8.786,3027,5799,198,81,320,16.64,1,43,73,490,1988,107,18,43,远程,350,法师,中,
貂蝉,167,287,8.571,3019,5611,185.1,87,330,17.36,1,43,71,490,1960,105,17,41,远程,350,法师/刺客,中,
武则天,173,297,8.857,3019,5317,164.1,95,348,18.07,1,40,64,490,1988,107,18,43,远程,350,法师,中,
姜子牙,168,317,10.64,2958,5399,174.4,106,342,16.86,1,42,69,490,2002,108,18,44,远程,350,法师/辅助,中/辅,
元歌,152,352,14.28,2637,4843,156.14,86,340,18.14,1,40,65,490,1974,106,17,42,远程,350,刺客,野/中/辅/边,
蔡文姬,159,292,9.5,3238,5910,191,96,350,18.14,1,38,66,470,1898,102,17,41,远程,350,辅助,辅,
孙膑,176,328,10.86,3208,6811,257.4,98,413,22.5,1,45,85,470,1926,104,17,42,远程,350,辅助/法师,中/辅,
东皇太一,163,286,8.8,3201,7669,319.1,99,360,18.64,1,80,191,470,936,104,17,42,远程,350,坦克,辅/边,
孙尚香,172,411,17.07,3235,6014,198.5,89,346,18.36,3,40,69,440,1750,94,15,36,远程,350,射手/刺客,边/野,
黄忠,172,403,16.5,3174,5898,194.6,91,319,16.3,3,39,68,440,1784,96,16,38,远程,350,射手,边,
