name|rating|price|rating_count|publisher_country|rank|date
拼多多 - 多多买菜，百亿补贴|3.47232|0.0|1615277|China|1|2020-12-09
微信|4.36461|0.0|5694634|China|2|2020-12-09
抖音|4.9135|0.0|29903739|China|3|2020-12-09
支付宝 - 生活好 支付宝|4.26844|0.0|835978|China|4|2020-12-09
手机淘宝 - 淘到你说好|4.33646|0.0|945088|China|5|2020-12-09
小红书 – 标记我的生活|4.94723|0.0|7272741|China|6|2020-12-09
QQ|4.04361|0.0|1397934|China|7|2020-12-09
得物(毒)-有毒的运动×潮流×好物|4.75136|0.0|553251|China|8|2020-12-09
交管12123|4.92895|0.0|170100|China|9|2020-12-09
剪映 - 轻而易剪|4.91714|0.0|4794652|China|10|2020-12-09
百度|4.37357|0.0|862205|China|11|2020-12-09
京东-不负每一份热爱|4.4074|0.0|419047|China|12|2020-12-09
农行掌上银行|3.02202|0.0|71104|China|13|2020-12-09
美团-干啥都省钱|4.72311|0.0|985962|China|14|2020-12-09
腾讯视频-创造营2021独播|4.72506|0.0|17678979|China|15|2020-12-09
淘宝特价版 - 好货便宜不用拼|4.91245|0.0|4794081|China|16|2020-12-09
爱奇艺-赘婿独播|4.76711|0.0|18176050|China|17|2020-12-09
快手-领红包 看超级直播|4.83713|0.0|6743311|China|18|2020-12-09
高德地图-精准导航,打车公交地铁出行必备|4.87772|0.0|17018376|China|19|2020-12-09
QQ音乐 - 让生活充满音乐|4.63758|0.0|1068832|China|20|2020-12-09
网易云音乐-音乐的力量|4.64841|0.0|1102573|China|21|2020-12-09
酷狗音乐-6000万正版曲库|4.85637|0.0|10859342|China|22|2020-12-09
钉钉|2.44261|0.0|2300369|China|23|2020-12-09
个人所得税|2.84803|0.0|118325|China|24|2020-12-09
王者荣耀|4.13757|0.0|8863337|China|25|2020-12-09
战机：代号666|4.21662|0.0|2299|None|26|2020-12-09
快手极速版-领红包 看超级直播|4.48173|0.0|401386|None|27|2020-12-09
喜马拉雅「听书社区」电台有声小说相声评书|4.85609|0.0|2777184|China|28|2020-12-09
奇怪的连连看|3.84399|0.0|1455|Hong Kong|29|2020-12-09
云闪付-银行业统一移动支付App|3.71723|0.0|58157|China|30|2020-12-09
阿里巴巴(1688)-货源批发采购进货市场|4.74158|0.0|149618|China|31|2020-12-09
唯品会 - 品牌特卖|4.88466|0.0|3331888|China|32|2020-12-09
中国建设银行|3.28499|0.0|75314|China|33|2020-12-09
闲鱼 - 闲不住？上闲鱼！|4.51307|0.0|509608|China|34|2020-12-09
哔哩哔哩-弹幕番剧直播高清视频|4.78031|0.0|2219120|China|35|2020-12-09
中国工商银行|3.21685|0.0|81992|China|36|2020-12-09
企业微信|3.13185|0.0|63749|China|37|2020-12-09
抖音极速版 - 集音符兑好礼|4.89014|0.0|429286|China|38|2020-12-09
京东金融|4.60933|0.0|222061|China|39|2020-12-09
美图秀秀|4.85628|0.0|2580838|Hong Kong|40|2020-12-09
百度网盘|4.43522|0.0|711534|None|41|2020-12-09
QQ浏览器-热点新闻头条短视频抢先看|4.61849|0.0|736935|China|42|2020-12-09
优酷-乡村爱情13独播|4.81992|0.0|19084206|China|43|2020-12-09
QQ邮箱|4.21346|0.0|1560|China|44|2020-12-09
微博|2.70764|0.0|684123|China|45|2020-12-09
