name,site,title,type,belong,nature,website
北京大学,北京,211985,综合,教育部,本科,www.pku.edu.cn
中国人民大学,北京,211985,综合,教育部,本科,www.ruc.edu.cn
清华大学,北京,211985,工科,教育部,本科,www.tsinghua.edu.cn
北京航空航天大学,北京,211985,工科,工业与信息化部,本科,www.buaa.edu.cn
北京理工大学,北京,211985,工科,工业与信息化部,本科,www.bit.edu.cn
中国农业大学,北京,211985,农业,教育部,本科,http://www.cau.edu.cn
北京师范大学,北京,211985,师范,教育部,本科,www.bnu.edu.cn
中央民族大学,北京,211985,民族,国家民族事务委员会,本科,www.muc.edu.cn
南开大学,天津,211985,综合,教育部,本科,www.nankai.edu.cn
天津大学,天津,211985,工科,教育部,本科,——
大连理工大学,辽宁,211985,工科,教育部,本科,——
东北大学,辽宁,211985,工科,教育部,本科,www.neu.edu.cn
吉林大学,吉林,211985,综合,教育部,本科,www.jlu.edu.cn
哈尔滨工业大学,黑龙江,211985,工科,工业与信息化部,本科,http://www.hit.edu.cn/
复旦大学,上海,211985,综合,教育部,本科,http://www.fudan.edu.cn/
同济大学,上海,211985,工科,教育部,本科,www.tongji.edu.cn
上海交通大学,上海,211985,综合,教育部,本科,www.sjtu.edu.cn
华东师范大学,上海,211985,师范,教育部,本科,www.ecnu.edu.cn
南京大学,江苏,211985,综合,教育部,本科,www.nju.edu.cn
东南大学,江苏,211985,综合,教育部,本科,www.seu.edu.cn
中国矿业大学(徐州),江苏,211,工科,教育部,本科,http://www.cumt.edu.cn/
浙江大学,浙江,211985,综合,教育部,本科,www.zju.edu.cn
中国科学技术大学,安徽,211985,工科,中国科学院,本科,www.ustc.edu.cn
厦门大学,福建,211985,综合,教育部,本科,http://www.xmu.edu.cn
山东大学,山东,211985,综合,教育部,本科,www.bkzs.sdu.edu.cn
中国海洋大学,山东,211985,综合,教育部,本科,http://www.ouc.edu.cn
武汉大学,湖北,211985,综合,教育部,本科,www.whu.edu.cn
湖南大学,湖南,211985,综合,教育部,本科,http://www.hnu.edu.cn
中山大学,广东,211985,综合,教育部,本科,www.sysu.edu.cn
华南理工大学,广东,211985,工科,教育部,本科,www.scut.edu.cn
