score,username,time,title,content
5（满分 5 分）,升级换代很脆是电池过度反应 v 国际上,2020年2月18日,钉钉真的很好辛苦了,钉钉确实是个不错的软件，但可能在办公方面的优势远远超于学校使用。设计这个软件的团队很用心，非常用心，可是摄像头问题真的让人有点看不下去，至少应该让被监控的人知道，自己正在被监控，个人隐私权没有到位，希望后期改进，然后各位工作人员你们辛苦了！谢谢你们的努力付出。
5（满分 5 分）,看了评论过来的,2020年2月18日,来刷分的路人 小学生颤抖吧！,这是我这辈子用过最赞的软件！里面功能超级全面，真是好期待到时候使用！本来以为假期延长可以让老师省心的，真是辛苦老师了！听说老师可以看到我，一定给老师增加了很多压力，我一定不会辜负老师的！这个神仙软件从来就没有人逼着我去下载，完全是我看介绍觉得很有趣才下载的，谁能想得到老师也在用，同学也在用呢！还是听说里边会有什么打卡，这不是给我们体验的机会嘛，一定要好好珍惜！不过想想用软件可以让老师放松很多，同时也能提高我们的学习成绩，为什么不喜欢它呢？尽管我们的假期很短，但我们作业多呀！而且接下来每天在这上面都会有很多作业，每天过的一定都非常充实。而且这个软件有自己独特的提示音，绝对不会让我们忽视掉，每一条重要消息都可以轻松收到，哦真是太棒了！一想到再过几天就可以听到老师亲切的话语，跟同学们在轻松的范围中学习，我就特别开心！我还想感谢企业，感谢国家，是他们给了我这次以一种十分轻松的方法接受教育的机会！想想在假期里就可以为着梦想努力拼搏，心情一下就激动了起来！太振奋人心了！尽管这次病毒十分严重，但我还是很感谢那只蝙蝠，不然这样好的机会我怎么可能遇得到！
5（满分 5 分）,以梦为马&笑笑,2020年2月18日,愿每个人善待钉钉，钉钉加油！！！,我是一名六年级的学生，在此，我希望下面的话可以让钉钉后台和（包括所有伤害过钉钉的人们）看到，学生们的网课生活到来了，在疫情严峻的时刻，老师们为我们付出了多少？有些学生真的是身在福中不知福，家长们提供给我们这么好的学习环境，有些孩子真的是做的过分，唉，怎么说呢？评论里面给一颗星着实没有什么意思，反而让你不成熟的思想展现的淋漓尽致，她们怎么都不可能认为自己做得过分。我实话实说，钉钉这个软件，真的很好用。我在学习、以及上网课的时候一点也不会卡，用这个软件学习真的很不错，而且，我真的是看不下我附近的一些学生（包括好朋友们）都给了一星“好评”这种做法，真的觉得她们做的太过分了，这虽然是一个软件，但也是一群人努力付出的心血你们这样糟蹋别人的心血真的好吗？你们不喜欢学习不代表别人不喜欢，如果钉钉下架了，你们就达成自已的心愿不用上网课了，又不只是钉钉一个软件能上网课，还有各大软件可以直播，你们难道要一一举报让软件消失吗？不觉得幼稚荒谬么？你们永远永远都不会知道你们做的有多么的过分，你们的良心真的不会痛吗？你们不喜欢、不愿意学习的怨气都撒在软件上，它又不是你们的专门发泄的机器，真的劝告这些以幼稚方式抵制网课的人们收手，人生只有这一次，你们来到这世界上就是为了虚度光阴吗？九年义务教育是让你成为一个自私没有远见刻薄天理的人吗？希望我们每个人读的书都能在你们的行为举止中体现出来，也希望每个人都能珍惜别人给你的每一次善意，来之不易，别不在乎！！！钉钉加油！！
5（满分 5 分）,12783。,2020年2月15日,中国加油！武汉加油💪,钉钉下架了也还会有别的软件顶上来，玩梗可以但是真的要适度。钉钉本来就不是为了学生控制开发的软件，是企业职员用来打卡的，我们刻意拉低评分给钉钉搞下架了让人家企业怎么办？这个软件是多少个人日日夜夜努力奋斗的结果，是多少个技术人员的心血。所以啊拜托了别因为自己的一时冲动就让人家辛辛苦苦开发的软件付之东流。抛开这些私人情感钉钉真的是一个很好的软件，在家学习在几年前还是一个只存在人们脑中的幻想，但在几年后的今天我们却实现了！这不正是国家进步的体现吗？生活在这样一个强大的国家里我们不应该感到幸福吗？作为一个中国人不应该感到自豪和骄傲吗？国难当头，我们虽不能出力但是也绝不能添乱！只有努力学习才能在未来为国家作出贡献！✨
5（满分 5 分）,看到我请让我去学习,2020年2月12日,谢谢！,首先我真的超级谢谢这个软件！一开始出现停课的时候我很慌 因为马上就要面临中考，真的很害怕会因为疫情导致中考的失利，但是感谢你实现了“停课不停学”忽然心里就很安心啦！很容易上手而且感觉超级好！真的是一个非常好的软件！节省了我的很多时间，再也不用担心把很多时间花在写日程表上面了。它真的是一个很好的软件，感谢你们不然真的不知道四个月以后要怎么办了 现在每天都很期待上课啊！再次谢谢你们！真的非常非常感谢！🙆🏻‍♀️
5（满分 5 分）,我信有重名,2020年2月18日,明明是一個很有用很強大的軟件，為什麼要惡意對待,先说，第一次用钉钉是在2019的12月8号，我们是学校内打卡，我们美术生，不仅可以直接刷脸，而且老师也可以在钉钉里面直接加内容，有很多功能也可以自己加，什么审核也可以和微信什么的联系起来
5（满分 5 分）,Hgfgnghhghjgfry,2020年2月15日,五星仅表明软件不错,钉钉这个软件确实很不错 能够照顾很多因疫情停课停职的学生和工作者。我是一名初二学生 每天都在此软件看视频学习 老师们领着工资 可他们就仅仅是发个视频 留个作业 完全属于偷懒行为 ！老师们表面打着副停课不停学的旗号 可他们却用视频和作业来敷衍我们 他们当学生都是傻子吗？自己省事不说 还摆出自己很敬业的姿态 给谁看呢？正常学习的时候老师一天工作八个小时 确实令我们感动 可当疫情发生时不但将一天八小时的工作时间改成一周二小时 而且教学质量变得更差。不说视频有多差 光留的作业量 就可以干趴一个闪电侠 学生不是神仙 也没有超能力 但如此多的作业却活脱脱的将学生培养成了神仙 本身休息的时间就不多 这下更是把周末变成了工作日。评论区很多评论者装清高 工作者们批评学生不顾大局 可谁又能理解学生的难处？还有些学生表现出自己有多么热爱学习 但实际上他们只是想在人前显露自己罢了。这个软件并没有错 老师也没有错 错的只是中国式的教育理念 。以上仅是个人观点
5（满分 5 分）,爱萝卜丝的白菜,2020年2月13日,希望大家理性一点，望周知,首先，这次是特殊时期，疫情爆发之后不得不禁足，但是学习终究不能耽误，总会面临考验，在考验面前我们应该好好的珍惜这次特殊的机会。我是一名河南辉县市高级中学高二的学生，或许很多人看评分感觉很可笑，像一场闹剧一样。但是那些言语极其不当的学生，你们反映的是我国素质教育的程度，并不是不让你们发泄情绪，但是语音为什么要过激呢？老师在家给我们上课监督，布置任务，他们更辛苦。他们是在尽自己的责任，而我们是真真正正的获利人，能力提升的是我们啊。不仅学了知识，还可以培养自律意识。一举两得。希望所有人可以好好学习，别再执迷不悟。另外，不要再为祖国增添不必要的烦恼，在家呆着好好提升自己就行。
5（满分 5 分）,leshhapsjqiahgp,2020年2月16日,麻烦大家站对立场,这次延迟开学我个人是很不满的，作业量多了很多，每天要上网课，暑假天数还被减少。可能我做不到感谢网课让我丰富学识，但至少有点判断是非的能力。这样恶意差评跟网络上那些无脑开喷的键盘侠有什么区别？差评是提出软件问题的，如果是网课这样的问题能修改？钉钉本身是为职场网络会议这一用途打造的，老师能用钉钉上网课，也能用其它软件上。说句老实话，只要有这个语音功能，就算王者荣耀开个自定义房间老师照样能讲。如果真的有给差评时的那种硬气早就跟老师杠上了。这样发泄情绪有多大用处？说白了错根本就不在软件，这件事偏要纠个对错没什么意思，学校的便宜我们一分都占不了，占了对自己也没多大益处
5（满分 5 分）,贺馨一811,2020年2月14日,致亲爱的宝贝,每天早晨六点你准时的起床、洗簌完毕就开启了早读的模式、看到你每天这样的生活习惯妈妈感到很欣慰、但是同时也有点心疼你、看到了你努力的付出、看到了你平时在学校里的生活、虽然有点辛苦、但是亲爱的宝贝、在这个年纪你不付出怎么可能有将来呢！现在所有的付出都是为了将来能成为一个对社会有用的人、这次疫情发生、国家很需要有能力的人才来对抗这些问题、妈妈非常希望你将来能真正的为国家做出一定的贡献、有点苦、有点累、但是宝贝你一定要坚持不懈的努力做好自己、妈妈相信你是最棒的宝贝、因为你有一颗善良、感恩的心、你将来成就了自己的梦想时、你一定会去帮助更多的人、妈妈相信你一定会做到的、妈妈爱你亲爱的宝贝！在这里更应该感谢的是辛勤耕耘的老师们、感谢你们对孩子的关心和帮助、辛苦你们了！
