score|username|time|title|content
5（满分 5 分）|椅花笑看花满楼|2020年2月19日|越来越搞不懂现在的小学生|就为了不上课就给人家差评，还分期付款一期一分？搞笑呢吧？！这么强的生产力工具，又不是只有你们小学生上课，也不知道让你们爹妈一天天工作上省点心，这样回来也好少打你们这帮小兔崽子两顿！娃儿们没有一点远见，真的是。算了，凑点字吧：自己心情最后一热一股热血去去看电影我的手机没有电了一个人一开始都会是这样一种花都买点不出东西是地一天啊把钱买下来送给自己吧？这种现象点地存在一些东西付邮费问题吗嘿嘿咦呀！不知道怎么回事：是啊。我也要好好休息哦？这个问题很简单吗？孺子牛后花园的房子装修好的时候我也不知道怎么了。你的人生轨迹就是说不清楚为什么会这样做的就是我自己的事情了，哼哼哈哈哈哈哈哈哈好喜欢这个节目真的好期待呢。你是怎么回事、在我心里还是那个样子。？我想你的时候我会很喜欢的就是一段美好的回忆！不过这不是我们想说你要什么颜色衣服嘛？我的手机号码没有收到吗。一切的一切美好，点儿都在我身上发生一见钟情很有意义吗？不是说我喜欢这个样子等吗。一。我的手机号码没有收到你短信的短信？一次就这样被别人打扰你了……在#是我自己太好的时候我也没有办法改变。算了，凑不动了。
5（满分 5 分）|幸福如此奢侈|2020年2月19日|为了祖国的花朵特意下载给个五星好评|为了祖国的花朵特意下载给个五星好评，钉钉挺住！不要下架！！！五星好评一次性到位！为了我们祖国的花朵，请坚持住！！！以下凑字：@男男女女的剧本不到回家的脚步啦咔咔咔浪荡不羁颠簸红斑狼疮几句话雷电交加的你会比较辛苦看看我了雷电交加的你的宝贝超级超级大奖就到家了丁腈橡胶森林狼队交叉口附近酒店不回家的宝贝弗鲁什卡山看看都不方便不想健康环保建材超级慢都不肯红斑狼疮就是看你和那些可是看看你的就是看你的了不信我六点半了新卡罗拉朗朗乾坤的机会你还记得你的了的就觉得劳动保险克拉克森几句话就是卡客气了你的可是看看我不让你跑去加拿大保持距离就能打开空间瞬间老了雷电交加回来第比利斯卡客气看看巧克力色你说了焐脚可圈可点内部参考我肯定能不回家的快去看看都叫我老了就好了超级多看看对不对北京谁叫我七五日均线辣妈我什么借口期刊发表了大量农村建设看看我去看
5（满分 5 分）|生活不止是眼前的苟且|2020年2月18日|给予了我们一个很好的寒假〈此评论可能有点长，但如果有时间的话请耐心看完）|我从未觉得生活如此充实过，真是感谢您（这里的“您”并不是讽刺或者什么，只是对钉钉的一种敬语），哦！我们的钉钉，您真是太为学生们考虑了，您不仅实现了我一边拉💩一边听课的白日梦，您还给我的同学制造了装网卡就🉑️以躲避老师的方式。
5（满分 5 分）|好享买生活馆|2020年2月19日|我来援助呐|很早就在使用订订，也看着软件慢慢的优化改进想要做的更好，平时没有评论习惯的我为什么突然来评论，因为我看好的软件因为网课事件“被玩坏了”，订订本来就不是为学生上网课而打造的软件，因为这次疫情耽搁了很多人的日常生活和工作，不仅社会受到了影响，国家也是付出了很多代价，企业为了减轻社会上的压力，也是考虑到了学生如果不能正常学习被耽搁将会给社会带来更大的负担，可能刚刚涉及这方面的功能确实有些地方需要改进，等到疫情过去学生在重返校园的时候你们也不在会需要订订的帮助了，如果在用到可能就是和我们现在刚入社会的老叔叔阿姨一样在工作中用到了，好好珍惜这段时光吧，你们还感受不到工作的辛苦。订订确实不错，开发这个软件花费了多少心血可想而知，看了视频让我慕名而来，吃瓜又好笑😂，也算欠着一直使用的软件一个好评，五颗星星一次还清，玩笑乐乐就好，开大了就不是玩笑了……
5（满分 5 分）|12138dai|2020年2月19日|关于一星|本来都是一直打一星的 后来想了想 错不在你 教育部已经反复强调不允许开设网课 别人用这软件也不是你能决定的 算了算了给你个五星吧 你也只是被利用了 甚至和我们一样成了受害者 我们过的太充实 你得到了这辈子都没想到能得到的一星 你只是大家有气撒不出来的替罪羊 下面是补字汉皇重色思倾国 御宇多年求不得杨家有女初长成 养在深闺人未识天生丽质难自弃 一朝选在君王侧 回眸一笑百媚生 六宫粉黛无颜色春寒赐浴华清池 温泉水滑洗凝脂 侍儿扶起娇无力 始是新承恩泽时 云鬓花颜金步摇 芙蓉帐暖度春宵 春宵苦短日高起 从此君王不早朝 金屋妆成娇侍夜 玉楼宴罢醉和春 姊妹兄弟皆列土 可怜门户生光彩 遂令天下父母心 不重生男重生女 骊宫高处入青云 仙乐风飘处处闻 缓舞慢歌凝丝竹 尽日君王看不足
5（满分 5 分）|贺馨一811|2020年2月14日|致亲爱的宝贝|每天早晨六点你准时的起床、洗簌完毕就开启了早读的模式、看到你每天这样的生活习惯妈妈感到很欣慰、但是同时也有点心疼你、看到了你努力的付出、看到了你平时在学校里的生活、虽然有点辛苦、但是亲爱的宝贝、在这个年纪你不付出怎么可能有将来呢！现在所有的付出都是为了将来能成为一个对社会有用的人、这次疫情发生、国家很需要有能力的人才来对抗这些问题、妈妈非常希望你将来能真正的为国家做出一定的贡献、有点苦、有点累、但是宝贝你一定要坚持不懈的努力做好自己、妈妈相信你是最棒的宝贝、因为你有一颗善良、感恩的心、你将来成就了自己的梦想时、你一定会去帮助更多的人、妈妈相信你一定会做到的、妈妈爱你亲爱的宝贝！在这里更应该感谢的是辛勤耕耘的老师们、感谢你们对孩子的关心和帮助、辛苦你们了！
5（满分 5 分）|一名贵阳的初中生|2020年2月9日|关于钉钉的看法|因为疫情原因，也不得不使用了这款软件。作为一名即将面临中考的初三学生，本以为会因为疫情而耽误了课程。却在关键时刻出现了这个软件为我们直播上课。虽然内心还是有点不爽，但还是接受了现实，毕竟学业重要。网上有说这个软件直播的时候老师可以在你不知情的情况下打开前置摄像头。当我看到这个的时候还是被吓了一跳。但后来也看到了官方出来辟谣，钉钉会注重用户的隐私，老师不能打开我们的前置摄像头。只有申请与老师连麦的时候同学和老师才能看到自己。所以大家可以放心学习啦！最后祝愿大家好好学习天天向上。
5（满分 5 分）|正在看着的人|2020年2月18日|我也是学生，我希望所有人一如既往|我看到有老师给了一星，有学生给了一星，也有线上搬砖工给了一星。他们有些人恼怒于期望中的长假没有到来，有些人烦闷于不适应新的工作学习方式。作为今年即将高考的高三学生，我想说这次疫情是对国家机器的考验，是对紧张的医患关系的考验，是对所有专业相关人士的考验，也更是对所有我们普通人的考验。我们能做的也许不多，能维持原本的学习工作生活节奏就是对社会最大的贡献。适应新环境的过程也许苦些累些，但为了我们共同的目标，我们应该和钉钉共同努力，在网络上找回我们的生活节奏，过好每一天。大部分人打了一星是因为不知道自己想要什么，但是请钉钉注意有些一星评价是有建设性意义的，是中肯的。也希望钉钉也能在这次疫情大劫中经历发挥自己的价值，帮助所有人顺利完成疫情阶段的复工复学。加油！
5（满分 5 分）|奇异果子小V|2020年2月12日|用不一样的方式去成为自己想成为的人|疫情特殊时期，只能上网课，这是不可避免的事情，即使所有人都给钉钉评一星让钉钉下架学校也会用其他直播软件上课，其他的软件会不会必须露脸不好说哦，钉钉是不会一定要露脸的，我是一个初一学生党，个人非常佩服初三和高三的学哥学姐们，毕竟要面临中考和高考，网课现在对于他们是非常重要哒，或许这种方式学习确实稍微简陋了些，但知识不会随着环境的变化而变化，学的东西永远是不变的，考试考的知识也是不变的，只要认真听，在网课上学的效率是可以与课堂的学习效率齐平的，只要认真对待这种学习的方式，学到的东西也可以让我们受益匪浅，钉钉确实是一个很好的直播网课软件，希望越来越好，初一学妹也在这里给初三高三的学哥学姐们加油打气呀！考试一定要加油哦！
5（满分 5 分）|阳光明媚爱学习|2020年2月16日|仅仅觉得软件很好，别无其他|评论里那些义正严辞的人，你不过也就是站在自己角度上来评定他人的行为，和学生站在自己的角度上用自己仅仅可以做到的方式来反抗有什么区别？？？有人说应该向老师反映，然后老师就会说你不想上就不上好了，我又不会逼你，然后全校通报批评，处分，记过，然后家长又来逼你？
5（满分 5 分）|风坠|2020年2月14日|很好|好！（单单指一个字还有这个感叹号就蕴含了无数的对这个软件的赞美，首先是在这个特殊时期，钉钉愿意把自己变成众多学生的学习软件我只想说：你很厉害！其次是我很不理解大多的学生的评价，我不知道软件是哪里做得不够好从而导致同学你们是这样子评价的，然后就是网上前段时间一直在说老师在自己不知情的情况打开自己的摄像头，钉钉的工作人员也有解释说明这并非是自己的产品，最后我希望同学们能理解老师及其所有的工作人员，他们是在帮我们在这段特殊时期让我们做好停课不停学的事实。）
5（满分 5 分）|好ྉ好ྉ先ྉ生ྉ (・ω< )★|2020年2月14日|希望你们理智对待好吗？？|疫情爆发开学延期假期延长这些都是意想不到的事情，人家作为一个软件只是安安份份的运营，总体来说没有什么太大毛病，我们班的同学都挺喜欢的，第一次一个班上网课也都很新奇，并且很多平时在课堂上不敢回答提问的人，在网络上反而能发表意见。人家软件搞得好好的，你们非要因为什么假期要听网课，不想上课这种理由来给人家一星？？把自己的负面情绪撒在没有意识的软件上未免太不公平了吧？它软件本身强迫你上课了吗？你们有本事去差评要求你们上课的领导啊？本来这个寒假已经放够了以往的量，这个时间段早就在学校老老实实呆着了，相比之下你们居然还嫌不够？贪得无厌也不是你们这样搞的吧？
5（满分 5 分）|暮sy|2020年2月13日|一个知道学习重要性的学生|现在是真不知道很多学生是怎么想的，疫情当前，我们没办法去学校学习，而中会考高考什么的都没表明是否要延迟，一个人在家学习效率，除非是一些自控力非常好的，不然是终究不如在学校的。而且自学也不是每个人都能做到的，一不小心还可能走进误区，理解能力不那么好的自学也会有点困难，现在有了钉钉，有了老师教学授课，自然是和自己一个人在家要好很多。对于那些不学的人，钉钉直播自然是没用的，但对于会学的想学的，却能帮助他们事半功倍。而且钉钉只是一个平台，它不止有学生和老师要用，评论区里那些打一星的，要是真的下架了能负起责任吗？我每天上网课一连就是几节，也觉得很累，但我知道这总比我自己一个人去自学好。毕竟就算理科的知识都在书上我可以自学，但文科这一种却是真的不知道怎么办，有了钉钉就好很多。
5（满分 5 分）|武汉加油，湖北加油，中国加油🇨🇳|2020年2月12日|各位同志客观评分好吗|你们学习是为了谁啊，就因为一个网课的原因，感情用事就随便给一个软件打一分？什么心态。对于软件的开发商来说，客户的评分是很重要的好吗，可不可以不要老是瞎胡闹？这次疫情不是你们放假的理由，课还是要照常上，如果因为这次疫情落下了课程，真正影响到未来的是你们自己好吗？现在疫情这么严重，每个人都在为疫情作贡献，医生去武汉，专家研制药物，慈善家捐献器材，每个人都这么努力，你们却盼着放假好玩？你跟我说你是在开玩笑，那么多个人都在开玩笑？给一个原本很好的软件差评，还不是因为设备原因，仅仅只是因为你的心情，你们不会惭愧吗？我真的是无语，拜托你们理智一点好吗？真的无语，还整天武汉加油，都只是口头上说说罢了，其实什么行动也没有，至少要好好学习吧，连好好学习都做不到，还支持武汉？反正我觉得这个软件各方面都挺好的，我觉得给五星不过分，对于那些给一星的我是真的无语😓
5（满分 5 分）|斯基sama|2020年2月17日|客观来说是很好用的一款软件|实在是觉得钉钉被恶意刷一星实在太惨，我作为一名学生虽然一开始也并不愿意接受网络授课😅，但是钉钉作为一款办公用的软件确实好用啊！比如说，我要把文件单独转出来方便找的时候，钉钉很贴心地给我提供了转给我自己的按键，细节挺好👌。单独传一张照片的时候为了图快还可以直接上滑上传，我觉得挺酷的😝。我知道大家都还不适应网上的课程教学，下载钉钉也基本上是学校要求，但是请不要因为自己主观上的错误认识而影响对这个软件的评价。跟软件有什么好生气呢？愿意学的，不会因为方式改变而改变态度。
5（满分 5 分）|一八六的恰|2020年2月17日|我永远喜欢钉钉😢|连续下跌的评分是真的超级无敌惨的呀 说到底钉钉根本就不是网课罪恶的源头啊 虽然自己也是个学生 但还是要为钉钉正名一下 敢问 是钉钉宣传的网课吗？？是钉钉让我们不得不在家上网课吗？？是钉钉让我们的假期变得这么充实的吗？？？？从源头考虑 一切都要怪吃蝙蝠的人 钉钉不过是这个时期被发现的适合上网课的软件而已 况且钉钉是为了在这个时候上网课才被开发出来的软件吗 应该在这之前就有了吧 实打实的讲 真的挺方便的 老师检查作业可以看到交作业的人和不交作业的人 学生提交作业也方便 还有什么今日待办班级通知的 这无疑是一个好软件 看到过评论里有说刷水军回暖真的low 在这里我真的是很想抨击一下那个恬不知耻的兄台了 开发出这个软件不就是为了平时的工作等等吗 是钉钉想刷水军回暖的吗？？？？？还不是因为一系列的恶意评价？？？否则自刷真的有必要吗？？？还有说帮学弟学妹们一把的 我真的是吐掉 国家栋梁如何来？？不是通过学习吗？？不是通过教育吗？？？？讲道理 如果不想学习的心态一直持续下去直至每一个中国人 拜托 这样国家就废啦 不是经常说少年强则国强吗？？？？你们说的都是些p话 那些持续刷恶评说一分以下就会下架的 在我看来真的好笑 你真以为如果下架了教育部门就不会有别的办法了吗？？如果真要让你强制性的上网课 一个命令下来什么办法不会有？？这个钉钉没了还会有下一个 那些想要逃避网课的说法简直就是愚蠢至极 本人也是使用钉钉上课的学生 但抵触感完全没有那么强烈 归根结底还是因为你们懒罢了 一切想法还是源于钉钉官方微博发的视频了 真的是年度最惨 最后 我永远支持钉钉 加油 (ง •̀o•́)ง (ง •̀o•́)ง 武汉加油╮(‵▽′)╭遭受疫情迫害的人民加油 中国加油！！！！！
