rank,name,yuanchuanghefawen,toutiao_read,citiao_read,seeing,appreciate,index
1,差评,4/35,10w+,82788,12568,--,978.5
2,罗辑思维,14/28,10w+,99375,4613,--,909.7
3,半佛仙人,1/1,10w+,--,1893,--,848.8
4,浪潮工作室,4/45,98384,48099,9826,20,788.4
5,科技每日推送,2/26,92536,17345,905,--,784.1
6,小白测评,1/37,88007,43694,944,--,780.7
7,公关界的007,2/5,68056,--,1741,--,763.3
8,大米评测,2/23,53015,33461,1447,28,745.9
9,钛媒体,6/21,52456,12621,778,--,745.2
10,刘润,7/8,50633,17576,5571,387,743
11,ZEALER,10/26,48781,18595,655,--,740.2
12,量子位,7/25,48204,16707,3056,19,739.5
13,互联网评论,0/1,48079,--,200,--,739.3
14,爱否科技,1/24,45777,34072,2324,--,736
15,爱范儿,16/25,39352,12732,1641,--,725.5
16,华为,0/7,38067,8352,1946,--,723.3
17,知识分子,5/10,34990,14826,1775,--,717.6
18,DeepTech深科技,12/26,34806,11904,1251,--,717.1
19,花果科技,5/20,34597,13996,295,--,716.6
20,学术志,0/31,30896,4182,1784,--,708.9
21,创业邦,7/65,30093,11270,1687,--,707.1
22,一本黑,0/2,28781,--,327,--,704.2
23,互联网营销官,1/2,27144,2361,168,--,700.2
24,最黑科技,0/18,26434,6455,467,--,698.2
25,白问,5/35,26261,11272,1012,--,697.8
26,生物学霸,2/14,24429,15863,1024,--,692.8
27,腾讯,0/1,23917,--,367,--,691.6
28,BAT,1/3,22896,--,358,--,688.5
29,笔记侠,4/21,22471,12132,1405,15,687.1
30,caoz的梦呓,0/2,22133,--,651,--,686.2
31,IT之家,2/35,20927,12359,1439,--,682.2
32,科技早发车,4/45,20877,7344,489,--,682
33,机器之心,1/23,20639,10527,1335,--,681.3
34,吴阳出品,0/36,20175,8707,341,--,679.6
35,雷科技,16/31,20150,7711,518,--,679.5
36,路人甲TM,1/1,19902,--,222,--,678.9
37,腾讯科技,1/8,19487,5797,169,--,677.3
38,正解局,3/4,19299,4549,524,--,676.8
39,奇点网,6/8,17122,6258,619,--,668.5
40,JaBi扎比,4/11,16859,9255,81,--,667.3
41,混沌大学,2/7,15511,1717,620,--,661.8
42,创业最前线,0/5,14331,1462,112,--,656.3
43,锋潮评测室,7/7,12775,2620,122,--,648.3
44,人人都是产品经理,0/15,12573,3935,474,--,647.3
45,运营研究社,3/5,12311,2630,197,--,645.8
46,科学解码,0/42,12046,6186,752,--,644.3
47,学术那些事儿,1/7,11795,2971,386,1,642.9
48,科技日报,12/43,11578,14183,4763,--,641.7
49,校招薪水,0/15,11019,3745,107,--,638.1
50,科技最前线,0/4,10849,--,220,--,637.2
1,程序人生,3/30,35992,7144,876,--,719.4
2,猿大侠,15/30,34736,16941,349,--,716.9
3,InfoQ,8/21,23779,7229,1668,--,691
4,大数据文摘,2/10,20498,2558,643,1,680.8
5,程序员的那些事,0/2,15904,6454,32,--,663.3
6,阿里技术,2/2,15346,--,114,--,661
7,黑客技术与网络安全,0/1,12440,--,109,--,646.7
8,脚本之家,5/35,11616,4009,259,--,641.8
9,程序员小灰,2/10,11286,3870,330,--,639.9
10,Java技术栈,2/9,10572,3558,134,3,635.3
11,码农翻身,0/1,9087,--,13,--,624.9
12,程序猿,0/18,9066,5891,265,--,624.8
13,纯洁的微笑,2/7,8685,2255,302,--,621.9
14,一锅汤软件,1/6,8284,3749,714,--,618.8
15,前端之巅,3/4,8265,--,108,--,618.5
16,大数据,0/15,7967,3552,221,--,615.9
17,Java后端技术,0/2,7911,946,14,--,615.4
18,IT大佬,0/2,7858,2149,22,--,615
19,芋道源码,0/10,7225,2769,165,--,609.2
20,HeyDrones,1/1,6869,--,20,--,605.8
21,CVer,0/21,6737,7594,553,--,604.5
22,Python爱好者社区,0/28,6637,3909,364,--,603.4
23,前端大全,0/3,6611,--,96,--,603.2
24,JavaScript,0/1,6502,--,37,--,602.1
25,鸿洋,1/1,6435,--,81,37,601.5
26,ImportNew,1/7,6413,--,204,--,601.1
27,机器学习算法与Python学习,0/8,6257,1518,49,--,599.3
28,菜鸟学Python,0/17,6209,2825,169,--,598.8
29,青少年数学之旅,0/31,6156,3609,333,--,598.2
30,架构师之路,1/1,6070,--,31,--,597.4
31,五分钟学算法,4/12,5966,1483,148,--,596.1
32,Linux学习,0/1,5944,--,27,--,595.9
33,架构师社区,2/25,5737,2154,239,--,593.4
34,开发者技术前线,2/20,5543,3535,332,--,591
35,TensorFlow,3/3,5391,--,224,--,589.2
36,九章算法,0/12,5117,2476,6,--,585.5
37,程序员大咖,0/37,5033,2456,109,--,584.3
38,Java编程,0/1,4904,--,16,--,582.6
39,石杉的架构笔记,0/6,4813,--,172,--,581.5
40,机器学习算法与自然语言处理,0/3,4731,595,9,--,580.1
41,Java知音,0/12,4520,1258,204,--,577.1
42,java版web项目,0/18,4495,1358,128,--,576.7
43,PaperWeekly,1/1,4418,--,20,--,575.6
44,java那些事,0/8,4427,1320,32,--,575.5
45,飞总聊IT,4/24,4369,1048,169,35,574.7
46,软件定义世界（SDX）,0/7,4356,--,124,--,574.5
47,趣说软件,5/5,4250,--,875,--,573
48,AI有道,1/21,4080,2192,175,--,570
49,算法爱好者,0/2,4002,3002,14,--,568.7
50,前端大学,1/14,3870,2076,152,--,566.4
