时间,国家1,国家2,赛事,比分,对手排名
2017.1.10,中国,冰岛,第一届中国杯国际锦标赛半决赛,0-2,41
2017.1.14,中国,克罗地亚,第一届中国杯国际锦标赛三四名,1-1,8
2017.3.23,中国,韩国,2018年世界杯预选赛12强赛,1-0,37
2017.3.28,中国,伊朗,2018年世界杯预选赛12强赛,0-1,23
2017.6.7,中国,菲律宾,热身赛,8-1,127
2017.6.13,中国,叙利亚,2018年世界杯预选赛12强赛,2-2,85
2017.8.31,中国,乌兹别克斯坦,2018年世界杯预选赛12强赛,1-0,88
2017.9.5,中国,卡塔尔,2018年世界杯预选赛12强赛,2-1,62
2017.11.10,中国,塞尔维亚,热身赛,0-2,35
2017.11.14,中国,哥伦比亚,热身赛,0-4,9
2017.12.9,中国,韩国,东亚杯,2-2,37
2017.12.12,中国,日本,东亚杯,1-2,31
2017.12.16,中国,朝鲜,东亚杯,1-1,113
2018.3.22,中国,威尔士,中国杯,0-6,23
2018.3.26,中国,捷克,中国杯,1-6,44
2018.5.26,中国,缅甸,热身赛,1-0,145
2018.6.2,中国,泰国,热身赛,2-0,114
2018.9.7,中国,卡塔尔,热身赛,0-1,62
2018.9.10,中国,巴林,热身赛,0-0,105
2018.10.13,中国,印度,热身赛,0-0,104
2018.10.16,中国,叙利亚,热身赛,2-0,85
2018.11.20,中国,巴勒斯坦,热身赛,1-1,101
2018.12.24,中国,伊拉克,热身赛,1-2,79
2018.12.28,中国,约旦,热身赛,1-1,98
2019.1.7,中国,吉尔吉斯坦,亚洲杯,2-1,NaN
2019.1.11,中国,菲律宾,亚洲杯,3-0,127
2019.1.16,中国,韩国,亚洲杯,0-2,37
2019.1.20,中国,泰国,亚洲杯,2-1,114
2019.1.25,中国,伊朗,亚洲杯,0-3,23
2019.3.21,中国,泰国,中国杯,0-1,114
2019.3.25,中国,乌兹别克斯坦,中国杯,0-1,88
2019.6.7,中国,菲律宾,热身赛,2-0,127
2019.6.11,中国,塔吉克斯坦,热身赛,1-0,115
2019.8.30,中国,缅甸,热身赛,4-1,145
2019.9.10,中国,马尔代夫,2022年世界杯预选赛40强赛,5-0,153
2019.10.10,中国,关岛,2022年世界杯预选赛40强赛,7-0,195
2019.10.15,中国,菲律宾,2022年世界杯预选赛40强赛,0-0,127
2019.11.14,中国,叙利亚,2022年世界杯预选赛40强赛,1-2,85
