,年份,考生所在地,文理分科,批次名称,最低控制分数线
0,2020,北京,综合改革,本科批,436
1,2020,北京,综合改革,特殊类型招生控制线,526
2,2020,北京,综合改革,艺术类（本科）,316
3,2020,北京,综合改革,艺术类（高职专科）,84
4,2020,北京,综合改革,体育类（本科）体育成绩60分,300
5,2020,北京,综合改革,专科批,120
6,2020,天津,综合改革,本科批,476
7,2020,天津,综合改革,艺术类（本科）,333
8,2020,天津,综合改革,体育类（本科）,447
9,2020,天津,综合改革,专科批,120
10,2020,天津,综合改革,特殊类型招生控制线,587
11,2020,辽宁,理科,本科批,359
12,2020,辽宁,理科,专科批,150
13,2020,辽宁,文科,本科批,472
14,2020,辽宁,文科,专科批,150
15,2020,吉林,理科,本科一批,517
16,2020,吉林,理科,本科二批,336
17,2020,吉林,理科,专科批,130
18,2020,吉林,文科,本科一批,543
19,2020,吉林,文科,本科二批,371
20,2020,吉林,文科,专科批,130
21,2020,黑龙江,理科,本科一批,455
22,2020,黑龙江,理科,本科二批,301
23,2020,黑龙江,理科,专科批,160
24,2020,黑龙江,文科,本科一批,483
25,2020,黑龙江,文科,本科二批,356
26,2020,黑龙江,文科,专科批,160
27,2020,上海,综合改革,本科批,400
28,2020,上海,综合改革,专科批,100
29,2020,江苏,理科,本科一批,347
30,2020,江苏,理科,本科二批,313
31,2020,江苏,理科,专科批,260
32,2020,江苏,文科,本科一批,343
33,2020,江苏,文科,本科二批,284
34,2020,江苏,文科,专科批,230
35,2020,浙江,综合改革,平行录取一段,594
36,2020,浙江,综合改革,平行录取二段,495
37,2020,浙江,综合改革,平行录取三段,279
38,2020,安徽,理科,本科一批,515
39,2020,安徽,理科,本科二批,435
40,2020,安徽,理科,专科批,200
41,2020,安徽,文科,本科一批,541
42,2020,安徽,文科,本科二批,499
43,2020,安徽,文科,专科批,200
44,2020,福建,理科,本科批,402
45,2020,福建,理科,专科批,220
46,2020,福建,文科,本科批,465
47,2020,福建,文科,专科批,220
48,2020,山东,综合改革,普通类一段,449
49,2020,山东,综合改革,普通类二段,150
50,2020,湖北,理科,本科一批,521
51,2020,湖北,理科,本科二批,395
52,2020,湖北,理科,专科批,200
53,2020,湖北,文科,本科一批,531
54,2020,湖北,文科,本科二批,426
55,2020,湖北,文科,专科批,200
56,2020,湖南,理科,本科一批,507
57,2020,湖南,理科,本科二批,464
58,2020,湖南,理科,本科三批,433
59,2020,湖南,理科,专科批,200
60,2020,湖南,文科,本科一批,550
61,2020,湖南,文科,本科二批,526
62,2020,湖南,文科,本科三批,501
63,2020,湖南,文科,专科批,200
64,2020,广东,理科,本科批,410
65,2020,广东,理科,地方专项计划批,494
66,2020,广东,理科,专科批,160
67,2020,广东,理科,高分优先投档批,524
68,2020,广东,文科,本科批,430
69,2020,广东,文科,地方专项计划批,506
70,2020,广东,文科,专科批,160
