positionName%companyFullName%companySize%industryField%financeStage%companyLabelList%firstType%secondType%thirdType%skillLables%positionLables%industryLables%city%salary%salaryMonth%workYear%jobNature%education%positionAdvantage
.net开发工程师%英捷创软科技（北京）有限公司%15-50人%企业服务,软件开发%未融资%[]%开发|测试|运维类%后端开发%Python%['.NET', 'C#', 'Golang', '后端']%['.NET', 'C#', 'Golang', '后端']%[]%北京%15k-20k%0%5-10年%全职%本科%广阔职业发展全景，公司提供全面的专业培训。
python高级开发工程师%北京庖丁科技有限公司%50-150人%金融,数据服务%A轮%['五险一金', '定期体检', '带薪年假', '弹性工作']%开发|测试|运维类%后端开发%Python%['Python']%['Python']%[]%西安%13k-20k%13%不限%全职%本科%周末双休 五险一金
Python开发工程师-北京-01870%嘉实基金管理有限公司%500-2000人%科技金融%不需要融资%['员工食堂', '健身房', '弹性工作时间', '可定制福利']%开发|测试|运维类%后端开发%Python%['Python']%['Python']%[]%北京%20k-40k%0%3-5年%全职%本科%具有竞争力的薪酬， TOP基金公司
后端开发工程师（Python、Go方向）9788%OPPO广东移动通信有限公司%2000人以上%智能硬件%不需要融资%['丰厚年终', '扁平管理', '追求极致', '本分']%开发|测试|运维类%后端开发%Python%['PHP', 'Python']%['移动互联网', 'PHP', 'Python']%['移动互联网', 'PHP', 'Python']%深圳%20k-40k%0%3-5年%全职%本科%大平台、带薪年假、班车接送、发展空间大
python(odoo开发工程师)%北京人和易行科技有限公司%500-2000人%生活服务,消费生活%A轮%['员工旅游', '提供食宿', '培训', '绩效奖金']%开发|测试|运维类%后端开发%Python%['后端', '服务器端']%['消费生活', '生活服务', '后端', '服务器端']%['消费生活', '生活服务', '后端', '服务器端']%北京%13k-25k%0%3-5年%全职%大专%发展空间大,领导好
高级python开发工程师%OPPO广东移动通信有限公司%2000人以上%智能硬件%不需要融资%['丰厚年终', '扁平管理', '追求极致', '本分']%开发|测试|运维类%后端开发%Python%['Python']%['Python']%[]%深圳%25k-50k%0%5-10年%全职%本科%公司平台大 核心团队
python开发工程师%上海众言网络科技有限公司%150-500人%工具类产品%C轮%['技能培训', '节日礼物', '年底双薪', '绩效奖金']%开发|测试|运维类%后端开发%Python%['Python', 'Redis', 'MongoDB', 'tornado']%['软件服务｜咨询', 'Python', 'Redis', 'MongoDB', 'tornado']%['软件服务｜咨询', 'Python', 'Redis', 'MongoDB', 'tornado']%苏州%8k-15k%13%1-3年%全职%大专%发展前景好，福利待遇优
高级python工程师%OPPO广东移动通信有限公司%2000人以上%智能硬件%不需要融资%['丰厚年终', '扁平管理', '追求极致', '本分']%开发|测试|运维类%后端开发%Python%['Python', 'MySQL']%['Python', 'MySQL']%[]%深圳%25k-50k%0%不限%全职%本科%目前数据技术团队均由BAT成员组成，
python后端资深研发工程师（语音）%小船出海教育科技（北京）有限公司%2000人以上%在线教育%D轮及以上%['免费三餐', '技术氛围浓厚', '定期体检', '新鲜水果']%开发|测试|运维类%后端开发%Python%['Python']%['Python']%[]%北京%22k-44k%14%1-3年%全职%本科%技术氛围浓厚 扁平化管理
python开发工程师%北京国双科技有限公司%500-2000人%人工智能服务,IT技术服务｜咨询%上市公司%['节日礼物', '年底双薪', '带薪年假', '午餐补助']%开发|测试|运维类%后端开发%Python%['Python', '机器学习']%['大数据', '云计算', 'Python', '机器学习']%['大数据', '云计算', 'Python', '机器学习']%北京%10k-20k%0%1-3年%全职%本科%上市大数据人工智能公司、与技术大牛共事
Python后端高级开发工程师-抖音/火山%北京字节跳动科技有限公司%2000人以上%内容资讯,短视频%D轮及以上%['扁平管理', '弹性工作', '就近租房补贴', '六险一金']%开发|测试|运维类%后端开发%其他后端开发%[]%[]%[]%北京%20k-40k%0%1-3年%全职%本科%六险一金
Python开发工程师%深信服科技股份有限公司%2000人以上%人工智能服务,信息安全%上市公司%['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']%开发|测试|运维类%后端开发%Python%['Python', '后端', '服务器端']%['人工智能服务', '信息安全', 'Python', '后端', '服务器端']%['人工智能服务', '信息安全', 'Python', '后端', '服务器端']%深圳%18k-35k%14%3-5年%全职%本科%大牛多、福利好、晋升快
Python开发工程师%上海快仓智能科技有限公司%150-500人%智能硬件%C轮%['股票期权', '五险一金', '弹性工作', '午餐补助']%开发|测试|运维类%后端开发%Python%['Python']%['Python']%[]%上海%10k-20k%13%1-3年%全职%本科%行业前景好 发展空间大
