content,gender,userlevel,score,ticket
中国人 龙的传人 我爱你中国,2,3,10,0
都说是烂片，我们这里没有上映，想看都看不了,1,2,8,0
就是看明星而已,2,5,6,1
陪孩子们去看的！没有想到还挺好看的！非常好,0,2,10,0
非常满意，很棒哦,2,2,10,0
故事情节一般,0,3,8,0
成龙的电影就是票房的保障；但是电影评分太低了只有6.6分；我要评分就给评8.0分。        单从剧情上看，结构推进合理;但剧情到达中国情节可以讲要影迷看不懂，这是中国的哪个朝代。老百姓是清朝人，官兵像是春秋战国时期。        这根本就是联系不上的朝代，这可能是6.6分的原因了。,1,5,8,0
真的不错，用心推荐,2,2,10,0
龙的精神不灭,1,3,10,0
非常好的电影！,0,3,9,0
烂片之王。故事情节烂到没边了。,1,5,1,0
呀无聊的一批 还没有龙叔几个镜头,1,4,3,0
还好，打发时间可以看看，成龙的戏份不多，属于客串演出。,0,3,7,1
还可以吧。但是好像跟速度没什么关系。。。,2,3,8,0
施瓦辛格好少,2,3,8,0
真的太一般了，剧情也很无脑，三把伞就飞到房顶上好了？,2,4,2,0
龙象征着正义，正义无处不在！,1,3,10,0
成龙的打戏太少了，就是个客串！,1,2,7,1
虽然看不是。。。,1,3,7,1
感觉还不错！,2,2,10,0
成龙，你去拍你的游戏广告吧！永远不看你的电影了！,1,4,1,0
不看后悔，看了更后悔，催眠的一部电影,2,3,1,0
一般吧，但也有看点,0,4,8,0
特效满分，龙叔和州长的特别出演还不错，就是情节有点拖沓,1,5,7,1
成龙还是那么年轻，老资格的演员就是不一样。,2,1,10,0
孩子去的，评价不错,2,1,10,0
拍的可以，不错。,1,2,10,0
龙叔跟阿诺的戏份太少了 不过瘾,0,4,6,1
一般，一般。,0,3,8,0
成龙的好多片子，好象没有清朝男人的辫子和老外就出不了情节，除了特效还行外，情节缺乏新意。,1,2,7,1
一般般。马丽就出现一会,0,4,4,0
非常满意的是什么情情况,1,2,10,0
很好，希望做的更好。,1,3,10,0
哎。看不懂了。为我智商堪忧,2,1,4,0
【四川仁寿特产张金辉张三黑芝麻糕点500g休闲零食面包早餐糕点美食】，椱ァ製这段描述₴vML3Yk0YkVU₴后到◇綯℡寳,0,2,10,0
一般般吧  成龙真的是老了  不太喜欢他的科幻片,2,3,6,1
成龙大哥就是棒,1,2,10,0
什么玩意儿.,2,1,4,0
不错，好看！,0,3,10,0
一般般，期望太高了,0,2,8,0
0K，0K0K,2,2,10,0
颇有些童话色彩。,0,3,10,0
还行吧，带婆婆去看的。故事的强行拼接有点无力吐槽,2,2,7,1
不好看！！！,1,2,6,1
我只看主演就知道这絕不一般,1,2,10,0
画像不清，好像pS的，没有3D影视，,2,4,1,0
特效不错的 剧本就有点摩擦智商了,0,3,10,0
还可以，就是看到玛丽有点出戏,0,2,8,0
,1,3,10,0
大哥的电影，捧场,0,3,10,0
好看好看好看,2,4,10,0
很好看哈哈哈,1,3,10,0
一版版吧唧，吧唧,1,1,8,0
我没看哈哈哈哈哈哈,0,3,10,0
故事情节挺不错的，演员也挺好的。,0,3,9,0
一般般圈而已,1,2,5,1
好看好看好看,1,3,10,0
好，不错，好看,1,1,10,0
相当不错值得一看,1,2,10,0
1 6分是我能给的最高分了！2 这片子如果是给外国人看得我就能理解各种硬伤和逻辑混乱3 成龙本来就什么本子都接，这个我理解，施瓦辛格你也这样了？4 处处充斥这一块钱的特效5 女主真漂亮！不是锥子网红脸这个我喜欢！6 中国舞术配上大红裙子真的很好看！这个赞？7 最后那句话太***了，人家大老远从英国来了，结果你告诉人家龙其实是我们的风景…这要是我很可能当场就打起来！当然菜好的话另说,0,4,6,1
挺好看的^_^,1,3,10,0
太垃圾了。。,1,2,1,0
我还能说什么,0,3,10,0
真的是烂片一部,1,4,5,1
烂片****,0,2,1,0
还可以吧，虽然说都是法师，没有看到他们有什么法术呢？,1,2,8,0
一般吧…因为成龙去看的…,2,2,8,0
成龙大哥不容易，年纪大了想给新人机会新人也不珍惜，希望有实力派的新人出现吧,1,3,9,0
emmmm就这样吧,1,3,1,0
挺好看的 emmmm,2,2,8,0
电影虽然不是成龙主演。但是成龙电影必看。在烂也要看。在说挺好看的,1,3,10,0
还不错哦哦，,0,2,10,0
