content,gender,userlevel,score,ticket
太棒了，好康,2,1,10,0
中国科幻片的崛起，值得一看,2,2,10,0
刷了两遍，剧情紧凑，演技完美！,0,2,10,0
呜哇T﹏TT﹏T,1,2,10,0
科幻片还不错,2,1,10,0
很好看的科幻，孩子喜欢,2,1,10,0
特别好看，期待续集,1,2,10,0
好看！值得一看！,1,2,10,0
作为国产科幻片来说，实在非常好。但男主妹妹与吴京演技发挥不好。吴京说服联合国的片段也太理想化。,0,2,9,0
还不错！！！,0,2,10,0
感觉可以，支持国片，。。。。。。,1,2,7,1
为国人点赞，让地球稳稳的,0,2,10,0
挺好看的，喜欢,2,2,10,0
中国的个人英雄主义片吴京拍了很成功，这部片给个鼓励,1,3,10,0
非常好看的电影,2,3,10,0
不错！就是看特效,1,2,10,0
很好看。。。。,1,2,10,0
好看。。。。,0,2,10,0
非常精彩，值得一看,1,1,10,0
还行还行还行,1,3,8,0
很棒，我很喜欢这部电影，很喜欢吴京,0,2,10,0
它非要我多打几个字,1,2,10,0
还可以吧   特效做的还行,0,3,7,1
好          。,0,3,10,0
地球人危机！！！,0,2,10,0
真的不错，很喜欢，以后会经常去！美团真是好帮手，我们家里人都喜欢，使用非常方便！赞 真的不错，很喜欢，以后会经常去！美团真是好帮手，我们家里人都喜欢，使用非常方便！赞 真的不错，很喜欢，以后会经常去！美团真是好帮手，我们家里人都喜欢，使用非常方便！赞 真的不错，很喜欢，以后会经常去！美团真是好帮手，我们家里人都喜欢，使用非常方便！赞 真的不错，很喜欢，以后会经常去！美团真是好帮手，我们家里人都喜欢，使用非常方便！赞,1,2,10,0
不错，挺好看的,0,2,9,0
还行吧。8分吧,2,2,8,0
不错还可以。,1,4,8,0
震撼人心，值得一看，国产科幻迈出的坚实一步,0,3,10,0
额额额额额呃,1,2,5,1
挺好看的。。。,0,2,10,0
值的推荐，性价比比较高,1,1,10,0
真的很不错，让人感觉很震撼,0,2,8,0
很棒!超级赞!/:strong,2,2,10,0
好，好，好。,1,3,10,0
很棒，吹爆。,0,2,10,0
感觉还是挺好看的,1,1,10,0
不错....,0,3,10,0
不做评价，时间太长。,0,2,8,0
非常好看的点Win7,1,3,10,0
好看！还挺好看,2,3,9,0
特效还是很不错的,0,2,8,0
特效还可以，剧情一般。,0,2,7,1
特效还是不错滴,2,1,7,1
国产科幻电影棒,0,2,10,0
还可以吧，支持一下,0,2,7,1
好看好看好看,1,1,10,0
除了观影后排人太吵了 其他都好,0,2,10,0
