content,gender,userlevel,score,ticket
啊啊啊啊啊好看,2,3,9,0
还算可以的哦,1,2,9,0
强推！！！！！,0,2,10,0
很好看 环境很好,0,1,10,0
超级好看发货举个,0,3,10,0
很好看 超级好看,2,1,10,0
支持国漫！赞,1,3,10,0
一朵莲花一世仙。我命由我不由天。国漫崛起,1,2,10,0
好看！后面也特别感人,0,2,8,0
很燃很炸裂，有泪也有笑,2,4,8,0
不好看，睡着了,0,1,1,0
挺好的ʚ{ ︎︎◌ˊㅿˋ ︎︎◌ }ɞ~❥,0,2,9,0
剧情很有趣。,0,3,10,0
特效制作不错,0,2,9,0
1岁8个月儿子喜欢看,0,1,10,0
很不错的……,1,2,10,0
值票钱吧。。。。,1,1,10,0
很好看的电影,1,2,10,0
值得观看，精彩,2,2,10,0
不错，国漫动画崛起！,0,2,10,0
这部电影是国产动漫3d电影，整体来说画面还是比较震撼的，毕竟国产在3d上面做的比较少，然后这部动漫不管是主题还是观影效果都是比较不错的，为国产动漫点赞。虽然国产3d电影才刚刚开始，但我相信它会越来越好，以后肯定会超过外国的。所以说国产电影加油冲啊！,2,2,10,0
很不错.....,0,2,10,0
哈可以吧，一个人去的，人不多，就是看完有点眼花,0,1,10,0
国产动漫之光！,1,2,10,0
很好看！好感动！,2,2,10,0
相当好看，看完我想起以前好多往事,2,3,10,0
特效真的很棒，国漫已在崛起,0,4,10,0
看了两次 挺好看的 有情感 励志,1,2,10,0
国产动漫正在崛起！！很令人意外的一部动漫！不俗套，哪吒很有个性，敖炳好帅好温柔，我喜！！,0,3,10,0
好看，二刷！,2,2,10,0
好看好看好看,0,2,10,0
好看观影体验很佳,0,2,9,0
一般般吧，，,0,3,6,1
很开心的一天,0,2,10,0
好看喜欢，人物塑造的很可爱,2,2,10,0
不错，，，，,0,2,10,0
我命由我不由天,0,3,10,0
好看…………,0,2,10,0
好看，被哪吒和敖丙这对圈粉了,0,2,10,0
这部电影真的还可以,0,1,10,0
痞痞贱贱！可以！,1,4,9,0
特别好看，值得推荐！！！,2,2,10,0
很好看，小孩特别喜欢,0,2,10,0
超级超级好看,0,2,10,0
惊天地泣鬼神国漫崛起,0,2,10,0
也是带孩子看，我要做那样的妈,0,2,10,0
非常好，值得看！！！！,1,1,10,0
还行吧，看一半睡着了,0,1,9,0
吒儿的命！！,1,3,9,0
又好笑又好看哈哈哈哈,2,2,10,0
不错不错不错,0,2,10,0
还行。。。。,2,2,10,0
好好好好方向赞,1,1,10,0
还好吧，反正看还是能看,2,2,7,1
非常完美团的时候,1,1,10,0
很震撼 期待下一部,2,2,10,0
国产高品质❤,0,2,9,0
这部电影很好看,2,2,10,0
国漫崛起  加油,2,1,10,0
很好看很好看,0,2,10,0
非常好看值得一看,0,1,10,0
相当精彩，完美,1,3,10,0
好！！！！！,0,4,10,0
对于这部电影技术方面不做评价，圈外人士表示非常棒[抱拳]我更多的是剧情带给我的感受，善恶有时候没办法那么分明是真的，这世界不是非黑即白还有很多东西是不能掺杂在里面的，哪吒的父母对吒儿的爱那么深切，李靖愿意一命换一命的救吒儿让我想到，现实的许多父母一样，看起来是好嫌弃你，然而你病了他们也是不假思索的愿意用命去为你搏一个不确定的未来。对于敖丙，家族的重担压在身上，他最后还是选择了跟哪吒一起抗，也许他想毁了陈塘关杀了李靖夫妇的时候也不是心甘情愿可是哪吒那一刻没有刺下去，他们是彼此唯一的朋友，他们都我命由我不由天是魔是仙要自己说了算，对我们来说，不也是么？我好我坏只有我自己说了算，别人如何评价与我何干,2,2,10,0
非常好看！非常喜欢！,0,2,10,0
还算对得起票钱,1,1,5,1
挺好的，赞一个,1,1,9,0
还不错，可惜就是没怎么看懂。到底写的哪吒还是敖丙,0,2,10,0
不错哈！！！！！！！！！！,2,2,10,0
我们的国产动画片崛起了,2,4,10,0
全程超激动的，好看,1,2,10,0
很好看的电影，感动,2,1,10,0
很好看！！！！,0,2,10,0
国产中算是很屌的,1,1,10,0
说实话我都不记得什么时候去看的了，还可以吧,1,1,10,0
从大圣归来后第二次遇到这么惊艳的电影,1,2,10,0
很不错的电影,1,1,10,0
在国漫中算很好的了,0,2,9,0
人呀。路还是自己走的，你羡慕如何，你没有如何，你不走了吗,0,1,8,0
我命由我不由天！,0,2,10,0
好看，特别喜欢,0,2,10,0
国产动漫电影崛起之作,1,2,10,0
好看，有笑点和泪点,2,2,10,0
贪图，我现在回去了撒泼妇女主任科员村庄心妍宝塔这边看边聊了一会拍照了两个都,2,1,10,0
支持国漫！！！,2,2,10,0
有些地方就是觉得有点尬 。,1,3,7,1
非常好看，国产巅峰，老少皆宜,1,2,10,0
挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。,0,2,9,0
很好看，国漫精品,1,2,10,0
不错的国漫，值得看，国漫崛起！！！,0,1,10,0
好看(○｀ε´○),0,1,10,0
还不错，挺好的国产动漫,0,2,10,0
还可以。。。。,1,2,10,0
不错的，好看，值得再看,0,3,10,0
好看国漫好看,0,2,10,0
好看。。。。,2,2,10,0
别问，问就是超级好看！！！,2,2,10,0
非常棒，挺好看,2,1,10,0
好看，看了两边，真的是太好看啦,0,2,10,0
好看哈哈哈哈,0,1,10,0
看完很感动，我命由我不由天，BGM好评,0,2,10,0
满分！好看！喜欢！,0,3,10,0
不错的(･(ｪ)･),0,1,10,0
国产优秀动画电影之凤毛麟角3D好片!,1,1,10,0
很好，值得观看,2,2,10,0
好          。,0,3,10,0
好看哈哈哈哈哈,0,1,10,0
nice喜欢,2,2,10,0
好看不需要理由,0,4,10,0
我的吒儿冲鸭,0,3,10,0
挺不错的，很好,2,2,10,0
不错，值得一看,1,3,10,0
吼吼看啊啊啊,0,2,10,0
好看虽然有点暴力，但是后面很精彩，孩子挺喜欢看，过后回到家电脑上能看了，自己又看了一边，而且这个哪吒星光大赏还获奖了,2,2,8,0
不怎么样，不喜欢,0,3,10,0
还行行行的了了,0,1,8,0
特别好看，哪吒很可爱,0,2,10,0
敖丙好帅，我爱辽。哪吒性格豪爽，虽然历经苦难，但是有父爱母爱朋友的多方支持我觉得他是幸福的。希望我的敖丙型朋友出现～,0,3,7,1
好看非常好看,1,2,10,0
不错不错不错,1,2,9,0
