name,value,date
来电狂响,368000000.0,2019-01-01
海王,1903000000.0,2019-01-01
蜘蛛侠：平行宇宙,387000000.0,2019-01-01
云南虫谷,135000000.0,2019-01-01
地球最后的夜晚,277000000.0,2019-01-01
印度暴徒,49105000.0,2019-01-01
龙猫,165000000.0,2019-01-01
叶问外传：张天志,120000000.0,2019-01-01
断片之险途夺宝,47841000.0,2019-01-01
大黄蜂,2424000.0,2019-01-01
阿里巴巴三根金发,5630000.0,2019-01-01
警车联盟,4740000.0,2019-01-01
两只小猪之勇闯神秘岛,3905000.0,2019-01-01
神探狗笨吉,3265000.0,2019-01-01
龟兔大作战,3865000.0,2019-01-01
敦煌不了情,6108000.0,2019-01-01
绿毛怪格林奇,26188000.0,2019-01-01
“大”人物,1285000.0,2019-01-01
天气预爆,123000000.0,2019-01-01
中国合伙人2,13367000.0,2019-01-01
毒液：致命守护者,1870000000.0,2019-01-01
武林怪兽,79325000.0,2019-01-01
大路朝天,1231000.0,2019-01-01
印度合伙人,67142000.0,2019-01-01
无名之辈,794000000.0,2019-01-01
四个春天,700000.0,2019-01-01
热土,469000.0,2019-01-01
网络谜踪,30252000.0,2019-01-01
狗十三,51003000.0,2019-01-01
照相师,2444000.0,2019-01-01
最后一公里,8265000.0,2019-01-01
流浪地球,31000.0,2019-01-01
午夜整容室,2956000.0,2019-01-01
午夜废墟,191000.0,2019-01-01
盛世秧歌,12681000.0,2019-01-01
天渠,9310000.0,2019-01-01
恐龙王,28588000.0,2019-01-01
生活万岁,4799000.0,2019-01-01
初恋浅规则,1461000.0,2019-01-01
飞驰人生,10000.0,2019-01-01
疯狂的外星人,10000.0,2019-01-01
来电狂响,401000000.0,2019-01-02
海王,1914000000.0,2019-01-02
蜘蛛侠：平行宇宙,392000000.0,2019-01-02
云南虫谷,140000000.0,2019-01-02
印度暴徒,52668000.0,2019-01-02
叶问外传：张天志,123000000.0,2019-01-02
地球最后的夜晚,278000000.0,2019-01-02
断片之险途夺宝,48668000.0,2019-01-02
龙猫,166000000.0,2019-01-02
大路朝天,1636000.0,2019-01-02
中国合伙人2,13740000.0,2019-01-02
天渠,9524000.0,2019-01-02
四个春天,864000.0,2019-01-02
心灵的阳光,2360000.0,2019-01-02
盛世秧歌,12803000.0,2019-01-02
天气预爆,123000000.0,2019-01-02
热土,572000.0,2019-01-02
武林怪兽,79407000.0,2019-01-02
照相师,2522000.0,2019-01-02
印度合伙人,67219000.0,2019-01-02
神探狗笨吉,3339000.0,2019-01-02
毕业那年：分手季,510000.0,2019-01-02
为爱重生,59000.0,2019-01-02
毒液：致命守护者,1870000000.0,2019-01-02
无名之辈,794000000.0,2019-01-02
狗十三,51052000.0,2019-01-02
最后一公里,8308000.0,2019-01-02
网络谜踪,30290000.0,2019-01-02
远去的牧歌,5777000.0,2019-01-02
警车联盟,4774000.0,2019-01-02
两只小猪之勇闯神秘岛,3937000.0,2019-01-02
流浪地球,63000.0,2019-01-02
奎迪：英雄再起,284000.0,2019-01-02
阿里巴巴三根金发,5655000.0,2019-01-02
红旗漫卷西风,26000.0,2019-01-02
午夜整容室,2976000.0,2019-01-02
勇敢往事,1684000.0,2019-01-02
爱不可及,222000.0,2019-01-02
午夜废墟,210000.0,2019-01-02
龟兔大作战,3881000.0,2019-01-02
闽宁镇,1672000.0,2019-01-02
绿毛怪格林奇,26200000.0,2019-01-02
黄大年,1060000.0,2019-01-02
动物出击,18000.0,2019-01-02
飞驰人生,21000.0,2019-01-02
疯狂的外星人,21000.0,2019-01-02
春天的马拉松,6948000.0,2019-01-02
来电狂响,429000000.0,2019-01-03
海王,1924000000.0,2019-01-03
大黄蜂,8290000.0,2019-01-03
蜘蛛侠：平行宇宙,397000000.0,2019-01-03
云南虫谷,143000000.0,2019-01-03
印度暴徒,55867000.0,2019-01-03
叶问外传：张天志,125000000.0,2019-01-03
大路朝天,2996000.0,2019-01-03
地球最后的夜晚,280000000.0,2019-01-03
断片之险途夺宝,49362000.0,2019-01-03
龙猫,166000000.0,2019-01-03
中国合伙人2,14166000.0,2019-01-03
天渠,9873000.0,2019-01-03
