content,gender,userlevel,score,ticket
非常好，棒极了,0,2,9,0
还可以。。。。。,1,2,7,1
打个8分吧。,0,2,8,0
和宝宝看的很不错,1,2,8,0
视觉效果很震撼,0,2,10,0
吧墨迹陌陌币,2,2,10,0
无话可说！！,1,4,1,0
超级好看！！！,0,1,10,0
嗯ヽ(○^㉨^)ﾉ♪好看,1,2,10,0
还好，可以一看,0,2,9,0
只能说还行是那样,0,2,10,0
可以可以可以,1,3,10,0
不错的一部电影，值得推荐,0,2,9,0
老套路，还是不错,0,3,8,0
好看，不错，赞赞,0,1,10,0
我寡姐！！！！,0,2,10,0
过瘾！！！！！,2,2,10,0
好看。。。。。,0,2,10,0
KKK路兔兔图图,2,2,10,0
没看 给小朋友买的,0,3,10,0
一般般吧还没有海王好看,1,1,7,1
好看的不行！我已经刷了很多遍！,0,3,8,0
美国大片还是内味,1,3,8,0
很好，强烈推荐,0,1,10,0
一直在追，没失望,2,2,10,0
哇，太帅了，好看,1,3,10,0
为我最爱的美队打call，我的青春，我太爱了其实我个人光是美国队长这一部我就看了二十多遍我太喜欢美队了,0,4,10,0
追追追追追！！！！,2,2,10,0
现在没得等了,1,4,10,0
有些地方有点拖,1,2,9,0
还可以，下次还会去看复联的,2,2,10,0
好看。。。。。,2,2,10,0
很好看，就是可惜没一部,1,3,8,0
一般般，大同小异。,1,2,7,1
美国大片没的说,1,1,9,0
iron man is still.,0,3,10,0
震撼人心？？,1,2,9,0
还不错，达到期望值,1,2,10,0
好看好看好看,0,3,10,0
这也太好看了吧,0,3,10,0
超级好看，漫威十年，超爱钢铁侠,0,2,10,0
挺好看的，过的太久给忘了,0,1,10,0
复仇者联盟一直很不错，好看,2,3,9,0
好看，爱你3000遍,0,2,10,0
和儿子一起看的，没看过前几部，看得睡瞌睡，儿子看的很兴奋,2,2,10,0
想看大结局的，还把我最喜欢的钢铁侠弄没了结局不完美，我后悔看这个了，心里难受,2,1,10,0
我11225,0,2,10,0
好行吧，就那样,1,1,8,0
蛮好看的 ！,1,3,8,0
bucuo.,0,1,9,0
总会出现一个温柔的人让你变得温暖,2,2,10,0
让开始有点看不明白，因为我没看过之前的，不过后来越来越看得懂，感官不错,2,1,7,1
好看好看好看,2,1,10,0
全程看特效了。,0,2,10,0
马马虎虎，情怀打分,2,1,10,0
喜欢喜欢喜欢,0,2,10,0
永远记得钢铁侠，但是，能不能别莫名其妙的削弱角色和强行降智啊。,0,2,10,0
好的，可以的,1,1,9,0
特效还不错，值得推荐,1,3,10,0
真的很不错哦，,2,2,10,0
很好很好很好,0,3,10,0
一部很值得看第二遍的电影,2,4,10,0
考虑不靠谱楼哦苦力怕太热啊,0,2,10,0
特好看，只是可惜,0,3,10,0
强，就一个字,0,1,10,0
一直在等的漫威宇宙，一直在的斯坦李,1,2,10,0
刺激，爽，带劲,1,2,10,0
哎呦不错哦 很有感觉看着 剧情精彩,0,1,9,0
爱你三千遍！,0,3,10,0
很长很长，节奏比较慢,0,2,5,1
没看懂，还可以,0,2,9,0
最后结尾很震撼,2,3,8,0
还可以，漫威,0,2,9,0
好看，结局太伤感,1,1,10,0
还行，六个字。,0,2,8,0
一个响指，全军覆没？,1,1,10,0
漫迷的福音！给力,0,3,10,0
还不错值得推荐,2,3,8,0
可以，值得推荐,0,2,10,0
已经好久之前了，就这样吧，记得还不错,2,2,10,0
不错的片子，值得推荐！,1,1,10,0
nicenice超级赞推荐大家去,2,2,10,0
还不错吧，就是略拖沓了点，没有很大惊喜,2,2,10,0
