content,gender,userlevel,score,ticket
为了我的爱国情结，和其中的故事,2,3,10,0
很好，值得推荐,0,3,10,0
你弟弟很吊记得记得就,1,3,10,0
很好看，强烈推荐,2,1,10,0
哈哈哈哈哈哈哈哈哈哈哈(ಡωಡ)hiahiahia,2,2,10,0
刚哈狗和高后给哈狗和高后给哈狗和高给哈狗和高,0,4,7,1
我爱我的祖国，,0,2,10,0
不错不错不错,0,2,10,0
祖国一天天变得伟大,1,4,10,0
几代人的记忆吧,2,2,8,0
一群为国家发展可爱的人,1,3,10,0
好看呀，刘涛美,2,2,10,0
好看，确实是好看,1,2,10,0
感觉很不错哦,0,2,10,0
非常好看，内心骄傲,0,2,10,0
很感人的剧情,2,2,8,0
好，好，好看,0,2,10,0
测试评价结果,1,2,10,0
电影超棒！超喜欢朱一龙的小表情！,2,2,10,0
好看的呢赞赞赞,0,2,10,0
值得观看，精彩,2,2,10,0
好看(｡･ω･｡)ﾉ♡,0,2,10,0
很荣幸做一名中国人。,0,2,10,0
不错，有个别公司很感人,0,2,9,0
好看好看好看,0,2,10,0
很激动人心的电影,0,3,10,0
不好看，后两个片段垃圾,0,3,4,0
要是平民参与就更好了,0,1,8,0
好看，第一幕就流泪了,0,4,10,0
很有当时的年代感，而且很爱国,2,3,10,0
好看！！！！！,1,2,10,0
很感动。超棒的电影 影院的话也蛮不错的,2,1,10,0
我为我的祖国而骄傲，我为我是中国人而骄傲,2,3,10,0
好，感动哭了,1,1,10,0
和孩子一起看的，不错！,2,2,10,0
我和我的祖国一刻也不能分割,0,3,9,0
不错，不错，不错,0,3,10,0
我爱我得祖国,2,1,10,0
最终！我还是踏上了去伊朗的征程，相比于生活的压力，我还是选择相信AK47的后坐力！,1,2,10,0
强烈推荐，看了不后悔,2,1,10,0
非常震撼 非常难忘,0,2,10,0
很好的一部电影，牛逼,0,3,10,0
真的好棒啊三个小时全程没有无聊打瞌睡一直在集中注意力在看很值的一看,0,2,10,0
超级超级好看的,0,2,10,0
挑选的祖国成长镜头都很有代表性,1,3,8,0
很好看，挺不错的,0,1,10,0
每个故事各有感动，尤其印象深刻的是夺冠和葛大爷的北京北京两个故事,0,3,10,0
朱一龙！！！！,1,3,10,0
挺好的，接受爱国主义教育,0,2,10,0
非常好看！喜欢！,0,3,10,0
如果奇迹有颜色，那一定是中国红！,2,2,10,0
不错挺好看的,1,2,10,0
有点类似于回忆录，还可以吧，为了纪念祖国才去看的，感觉演的有点赶时间，不知道是不是被剪辑过，有些细节的地方直接带过了,2,3,10,0
小蓉瑟尔阿Q**就是矫情计算机三级色额热热热婆婆婆婆说,1,3,7,1
非常好 我爱我的祖国,1,2,10,0
一般般吧，期望值太高，没有多大惊喜。,2,3,6,1
很不错，深受感动,0,1,10,0
感受祖国成长,1,1,8,0
好看啊……………,2,1,10,0
一般般，没什么太激动人心的时刻，还是摔跤吧爸爸更有意义！,2,2,6,1
纪念祖国的一切,2,4,9,0
挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。挺好的，好看，不错。,0,2,8,0
非常nice,2,3,10,0
太好了，太感人了,0,2,10,0
强烈推荐!好看,0,2,10,0
中国成长，剧情偏平淡，不乏感动。值得一看,2,3,9,0
满分.  祖国繁荣昌盛,2,3,10,0
我说不好看有人打我没？,0,2,7,1
很有教育意义，孩子看的很认真！,0,2,10,0
