movieId,movieName,boxInfo,sumBoxInfo,avgShowView,boxRate,showInfo,avgSeatView,date
1240159,来电狂响,9464.33,3.68亿,28,39.6%,95801,21.2%,2019-01-01
249342,海王,5096.93,19.03亿,26,21.3%,54653,17.2%,2019-01-01
1212512,蜘蛛侠：平行宇宙,3356.14,3.87亿,23,14.0%,42379,17.7%,2019-01-01
345655,云南虫谷,1422.54,1.35亿,12,5.9%,32934,11.2%,2019-01-01
345036,地球最后的夜晚,1123.09,2.77亿,7,4.7%,47421,5.4%,2019-01-01
1204476,印度暴徒,846.94,4910.5万,18,3.5%,15461,18.5%,2019-01-01
123,龙猫,593.52,1.65亿,23,2.4%,7976,23.2%,2019-01-01
1200265,叶问外传：张天志,497.74,1.20亿,18,2.0%,7929,17.9%,2019-01-01
1189514,断片之险途夺宝,353.88,4784.1万,7,1.4%,15506,7.2%,2019-01-01
1206875,大黄蜂,240.11,242.4万,288,1.0%,125,90.4%,2019-01-01
1218253,阿里巴巴三根金发,165.04,563.0万,8,0.6%,6534,7.5%,2019-01-01
1229963,警车联盟,139.82,474.0万,16,0.5%,2438,15.7%,2019-01-01
1229768,两只小猪之勇闯神秘岛,90.57,390.5万,9,0.3%,3826,9.0%,2019-01-01
1196131,神探狗笨吉,67.53,326.5万,14,0.2%,1673,15.9%,2019-01-01
1244914,龟兔大作战,57.48,386.5万,7,0.2%,3103,6.7%,2019-01-01
1211086,敦煌不了情,51.78,610.8万,79,0.2%,222,100%,2019-01-01
346465,绿毛怪格林奇,31.06,2618.8万,14,0.1%,636,16.3%,2019-01-01
1174518,“大”人物,30.09,128.5万,27,0.1%,309,23.3%,2019-01-01
344649,天气预爆,27.24,1.23亿,7,0.1%,1105,9.2%,2019-01-01
1229915,中国合伙人2,26.15,1336.7万,25,0.1%,232,37.2%,2019-01-01
42964,毒液：致命守护者,22.02,18.70亿,14,<0.1%,488,16.9%,2019-01-01
342165,武林怪兽,21.09,7932.5万,6,<0.1%,1186,6.9%,2019-01-01
1249315,大路朝天,20.62,123.1万,29,<0.1%,144,36.2%,2019-01-01
1215919,印度合伙人,16.64,6714.2万,15,<0.1%,380,16.6%,2019-01-01
1208282,无名之辈,13.32,7.94亿,12,<0.1%,390,15.4%,2019-01-01
1229697,四个春天,12.34,70.0万,14,<0.1%,241,15.7%,2019-01-01
1249531,热土,10.13,46.9万,53,<0.1%,49,40.5%,2019-01-01
1219776,网络谜踪,9.51,3025.2万,15,<0.1%,158,19.0%,2019-01-01
78480,狗十三,9.30,5100.3万,13,<0.1%,236,17.1%,2019-01-01
1228750,照相师,4.09,244.4万,7,<0.1%,174,7.0%,2019-01-01
1238946,最后一公里,3.43,826.5万,66,<0.1%,21,96.2%,2019-01-01
248906,流浪地球,3.15,3.1万,450,<0.1%,2,--,2019-01-01
1229950,午夜整容室,3.03,295.6万,7,<0.1%,191,6.7%,2019-01-01
1233852,午夜废墟,2.98,19.1万,5,<0.1%,249,5.9%,2019-01-01
319904,盛世秧歌,2.43,1268.1万,88,<0.1%,4,--,2019-01-01
1246221,天渠,2.39,931.0万,33,<0.1%,20,34.0%,2019-01-01
