totalBox,splitTotalBox,queryDate
23854.5,21898.7,2019-01-01
6737.7,6204.0,2019-01-02
6331.8,5852.6,2019-01-03
15214.5,14153.3,2019-01-04
23276.4,21468.0,2019-01-05
19023.5,17504.8,2019-01-06
7348.5,6748.8,2019-01-07
6977.9,6432.4,2019-01-08
6667.3,6153.4,2019-01-09
7425.0,6915.0,2019-01-10
11751.0,10883.3,2019-01-11
17506.5,16153.6,2019-01-12
14708.4,13557.6,2019-01-13
6926.9,6372.9,2019-01-14
6960.9,6418.2,2019-01-15
7339.2,6766.3,2019-01-16
7479.9,6894.2,2019-01-17
11266.3,10395.4,2019-01-18
16550.2,15226.1,2019-01-19
15204.5,13985.8,2019-01-20
7704.9,7079.6,2019-01-21
7519.3,6923.4,2019-01-22
7500.5,6911.5,2019-01-23
7516.5,6928.0,2019-01-24
11447.2,10502.2,2019-01-25
14408.2,13243.2,2019-01-26
13197.3,12114.0,2019-01-27
7602.0,6963.5,2019-01-28
7537.5,6911.3,2019-01-29
7342.0,6732.7,2019-01-30
7549.3,6930.9,2019-01-31
7752.6,6880.3,2019-02-01
7466.4,6833.1,2019-02-02
6837.7,6263.0,2019-02-03
4175.3,3832.7,2019-02-04
145806.4,136806.0,2019-02-05
100604.2,93613.7,2019-02-06
93515.7,87151.6,2019-02-07
85532.9,79551.7,2019-02-08
83226.0,77409.2,2019-02-09
77484.2,72095.0,2019-02-10
61011.6,56560.6,2019-02-11
45049.8,41798.1,2019-02-12
38008.9,35289.3,2019-02-13
67212.8,62222.8,2019-02-14
33222.7,30869.0,2019-02-15
41373.8,38471.2,2019-02-16
35171.1,32679.0,2019-02-17
19225.5,17853.2,2019-02-18
21817.0,20264.5,2019-02-19
13339.9,12393.2,2019-02-20
11846.9,10981.1,2019-02-21
22936.0,21103.7,2019-02-22
33480.4,30873.8,2019-02-23
26845.9,24734.1,2019-02-24
9729.0,8932.4,2019-02-25
8514.2,7834.2,2019-02-26
7825.1,7199.0,2019-02-27
7276.7,6702.0,2019-02-28
15222.2,13773.7,2019-03-01
27041.7,24719.9,2019-03-02
20945.5,19121.0,2019-03-03
6670.6,6089.3,2019-03-04
6077.2,5561.3,2019-03-05
5666.7,5188.2,2019-03-06
8443.2,7690.9,2019-03-07
30618.3,28201.9,2019-03-08
34889.6,31993.9,2019-03-09
23940.6,21943.1,2019-03-10
7344.1,6696.6,2019-03-11
6247.1,5733.7,2019-03-12
5482.1,5036.3,2019-03-13
6725.0,6149.8,2019-03-14
13508.8,12245.9,2019-03-15
26756.5,24213.2,2019-03-16
24617.3,22226.9,2019-03-17
13435.6,12052.4,2019-03-18
10838.5,9764.5,2019-03-19
9129.0,8244.2,2019-03-20
