content,gender,userlevel,score,ticket
IMAX观看真爽,0,3,10,1
传奇永不落幕,1,3,10,1
指环王已经上映20年啦！当年的热血少年们已经是每天沉浸在柴米油盐的日子里的大叔大妈了,2,2,10,0
剧情完整，试听震撼！后面毁灭戒指时稍显拖沓，友情渲染过多，不过可以忽略,0,2,10,1
《王者无敌》，不同其他的催泪片，这部电影带给我的感动是，主角弗雷多是弱小的平民，其他的友方、敌方势力都比他强大。弗雷多选择接受使命，靠着勇气、朋友的帮助、毅力、主角光环，最终完成了任务。同时，山姆也让我感动，他跟主角一样地伟大，他也有七情六欲，但是他一直很好地辅助主角，真的被山姆打动了。最后，国王登基，国王携王后一起向四个霍比特人致敬，同样令我动容。,1,3,10,1
史诗级，不必多说,1,2,10,1
史诗级魔幻,1,3,10,1
完结撒花，感谢陪伴,0,2,10,1
个人觉得Sam应该封神，小胖砸扛下了所有~,1,3,9,1
朝圣之旅完结，goodbye中土世界，hail Aragon，and long may he reign!,1,3,10,1
被剪的七零八落，逻辑不通。甘道夫的手杖莫名其妙就不见了；钢铎联军还没有到达黑门，索伦就知道了敌人是谁；诸如此类遍地都是。 笑点,1,2,8,1
这电影既然有人睡着？？什么鬼,1,2,2,1
片中之经典，每个细节都是最佳的。,0,3,10,1
太暴力了，不适合女孩子看,2,2,6,1
槽点比较多的,0,4,8,1
20年前的票终于都补上了，稍微遗憾的就是没能赶上双塔奇兵的IMAX版。虽然在电脑和电视已经看过无数次，但再次重温这三部曲，却依然无比震撼，中土世界的壮阔，搭配气势恢弘的配乐，依然能让我汗毛竖起。20年过去了，也代表着我青春的逝去，真的很感谢这次的重映，再次带给我的这份震撼。就算是现在看来，无论是演员的演技，场景，配乐，特效，剧情，依然是影史标杆。很高兴又回到了美丽的夏尔和壮阔的中土世界，魔戒三部曲已然前无古人，唯愿后有来者！,1,2,10,1
王者归来，好电影永远不会过时，中土世界的传说永远也不会结束。,1,2,10,1
没看过前几部，看的好懵,0,2,7,0
非常好看，精彩！,2,3,9,1
山姆挺好的，我觉得多亏了他,2,2,7,1
好看，壮观！,1,2,10,1
怎么说呢，本集是跟前两部画上完美句号的一部，电影前半段和细节铺垫较多，个人觉得没有前两部精彩一些，弗罗多的好几场戏，我都忍不住看了想让蜘蛛把他吃了，山姆替他完成任务……这条线有些拖沓，山姆才是整个故事里最勇敢最真诚的人，但是随着高潮部分的到来，中土大军在新都与索隆大军的几波较量，看的人热血沸腾！伊奥文公主力搓戒灵救父亲、大战猛犸象大军，阿拉甘三人率亡灵大军归来，片尾阿拉甘拥吻阿尔汶，山姆迎娶罗斯，都看的人意犹未尽，又满满的感动！,1,4,9,0
弥补了20年遗憾,0,2,10,1
还是喜欢那个英文直译：王者归来。有生之年，应该很难再看到又能够超越指环王的了吧！,1,4,10,0
剧情很好，画面很好，演技很好。人生必看之电影。出门居家旅行必备电影。,0,3,10,1
史无前例的史诗级巨著，,1,2,10,1
重温魔戒（指环王），上次看是高中假期在姐姐家用dvd看了三部曲，剧情都忘的差不多了。这次在大屏幕前感觉体味着主人公的人生，评判着各个人物的性格，像品着中土时期的麦芽啤酒。人类的真实历史没有这么精彩，但一定也有懦弱，逃避，固执；同时也有勇气，牺牲，信念，荣誉和爱。十七年前的特效依然很能打。精灵王子永远的神,0,3,9,1
三部曲完结撒花，弥补了一个心愿！期待托尔金后续的作品！,1,2,10,1
完美结局，哈哈,1,3,10,1
算得上史诗级的巨作了，真希望有机会123部一口气看下来,1,4,9,1
时隔二十年终于在大银幕上见证了魔界故事的落幕，喜欢整个故事从绝望中带来的勇气和希望，人们撕破阴霾迎接黎明，迎接王者归来！在CGS中国巨幕影厅的加持下把最终大决战展现得更加的宏伟，让人不禁全身起鸡皮疙瘩！但最不喜欢它是一个系列的结束，会觉得有些失落，会怀念故事之初的夏尔，他们的旅行之始，这是一个了不起的系列，这是一个伟大的故事 ！关于它的传奇还在继续！真希望能继续在大银幕上看到霍比特人，魔界六部曲一口气安排！,1,4,10,0
很精彩，画面很美，憧憬着美好生活,2,2,10,1
问剧情，画风，演技是在开玩笑么？！,2,2,10,0
删减版，情节衔接得有一些问题。但总体感觉非常不错，尤其是守卫白城，让我一个不是魔戒迷的那么一个人热血沸腾，真的燃起来了！但是问题还是那个问题，情节剪的太让人迷惑了（对一个以前只看过重映版一二部魔戒的人来说，但我相信魔戒迷的内心会更无语），好多情节前后衔接不上，如萨茹曼的球、甘道夫的魔杖以及海盗哪里去了，这些问题真的让一个非魔戒迷看得一头雾水，幸亏我和我的一位电影迷朋友一同去看然后后来他为我讲解不然我真的理解不了。唯一给各位观众的建议就是：如果吹毛求疵的就不要看了，如果没看过的推荐看加长版，如果想补电影票那大可坐上三个小时。,0,2,8,1
指环王yyds,2,2,10,0
超级震撼！超级经典！难得好看的三部曲,2,3,10,1
精灵的时代已结束，人类的时代已来临。,2,2,10,1
一部空前绝后的魔幻史诗,1,3,10,1
依然是我的最爱！！吾皇阿拉贡王者归来！！想再去看一次，北京路飞扬的IMAX比较一般，不够大啊。,2,2,10,1
天下无不散之筵席，终于迎来了这场惊心动魄冒险旅程的终曲，这部终章一如既往地保持了前两部的水准，宏大壮阔的场面，大气磅礴的配乐，天马行空的想象，紧紧牵动着观众的心。可惜美中不足的是为了控制时长减掉了不少内容，皮平点燃狼烟等情节衔接不够顺畅，但时隔20年又能在影院看到指环王，还有什么好苛求的呢。,1,3,10,1
激动人心，无可挑剔,0,2,10,1
说实话挺难看的，特效做的可以但是剧情真的垃圾整个电影给我的感觉跟乱看了这么多年的电影第一次希望快点结束中途还看睡着了,2,2,1,0
看的IMAX班，看洛汗军冲阵的时候莫名其妙有点激动的流眼泪了。绝对的史诗大片,0,3,10,1
呜呜呜，我要去重温霍比特人了！,1,3,9,1
感觉很不错，场面很震撼，也很感人！,0,2,9,1
史诗级电影，二十年后还是那么引人入胜。九个小时三部电影，一点都不觉得难过。,2,3,9,1
非常好看！太经典了！点个赞。,0,2,10,1
永远的奥斯卡 经典就是经典,2,2,10,1
已经震撼到无法用语言形容,1,3,10,0
经典大场面赞。,2,2,10,1
无敌 世界第一,1,2,10,1
我不能背起你身上的重担，但我可以背起你,0,4,10,1
看多好多次了，法拉米尔出城应敌的时候还是泪流满面，佛罗多被救回白城后还是想站起来鼓掌，好看的电影，不仅仅是剧情，更多的是鼓舞人向上的精神，不畏黑暗的勇气，愿我们时刻向阳，过好每一天,0,2,10,1
经典重现确实好看，唯一的遗憾是感觉有些内容被剪辑掉了。,0,3,10,1
又从心底慢慢燃起励精图治的决心，每次看魔戒都有不同的收获，永恒的经典！,1,2,10,1
不愧经典之作，震撼！,0,2,10,1
画面不行，音质不行，,0,2,3,1
没办法，我是魔戒迷，只能给10分了。,1,3,10,1
牛逼神作，电影之光,1,2,10,1
很好很好很好 画面,1,4,9,0
很好很好很好 画面,1,4,9,0
可以和好看的,0,2,10,0
指环王永远是我心头挚爱莱戈拉斯永远是我男神阿拉贡王者归来真硬汉,2,2,10,1
永恒的经典  弥补了二十年的遗憾,1,2,10,1
最打动我的是，他们明明经历了那么多黑暗和邪恶，最后记着的依然还是美好的事物，我爆哭，魔戒yyds,0,2,10,1
永恒的经典，值得回顾！,2,3,10,1
那以前的给我们看是什么意思？,1,3,2,1
the end of an EPIC!!!,1,3,10,1
旷世奇幻，终成经典,1,2,10,1
在金亿影院看的第三部，是影院删减还是片源删减，有些遗憾。喜欢金亿的音响效果，不屑遥远跑过来看电影。电影还没有结束就开灯，什么意思啊，赶客吗？电影是真的喜欢,0,2,10,1
指环王nb！,1,2,10,1
不错很值三个小时完全值得,2,2,10,1
爷青回。希望童话永远都在，希望勇气和远方永远都在。,2,2,10,1
前进，不要惧怕黑暗，直到黎明出现！一一甘道夫,0,3,10,1
不得不说，，巨作，非常喜欢,0,2,10,1
超级无敌好看,2,1,10,0
还能说什么呢，夸张点，在越来越快餐化的现在，往后估计50年都难得出这种电影。,0,2,10,1
很震撼，值得,2,2,10,1
史诗巨作，无可超越,0,3,10,1
最棒的魔幻没有之一，完整的世界架构，饱满的人物形象，精彩的冒险历程，真挚的感情，令人向往的世界！,1,2,10,1
终于弥补了当初没有去影院看的遗憾，场面很震撼，剧情很感动，勇气，正义，友情，信念的力量。面对再多的困难也无惧。真心不错！ 推荐,2,3,10,1
J.R.R.托尔金  牛逼,1,2,10,1
好看，是我想要的结局，还好男主最后没有让我们失望，精灵公主真是太美了，,0,3,9,1
人类史诗级电影！哭崩了！FAREWELL SHIRE！,2,3,10,1
无论看多少遍 经典就是经典  然后就是佩服咕噜的演技完全可以秒杀现在所有小鲜肉,1,4,10,1
中土世界，yyds,1,3,10,1
电脑上刷过完整版几遍了，但是一直遗憾没有在影院看过，这次终于把三部曲都imax补上了，尽管都是求删减版的，依然给10分，尽管少了很多细节，特效现在看来也有点落后。烽火传递时磅礴的音乐与画面，刚铎骑士自杀式冲锋与皮聘清唱时的哀伤，即将城破时的绝望，洛汗骑兵冲锋时的大气，山姆背起佛鲁多时感动，只有在影院才能更加真切的感受到。十一项提名，十一项大奖，魔幻电影的巅峰之作。,0,2,10,0
太好看了！！！！经典真的永远都是经典！！！ 画面震撼！！！,0,3,10,0
圆了一个18年的梦！,1,2,10,1
太好看了，经典就是爽。,0,2,10,1
