city,time,wea,tem,wind,wind_level
兰州,周一（30日）,阴转多云,25℃/14℃,东风转南风,<3级
兰州,周二（1日）,阴转雨,25℃/10℃,东南风转北风,<3级
兰州,周三（2日）,雨转阴,15℃/9℃,东风,<3级
兰州,周四（3日）,阴转雨,17℃/7℃,东风转东南风,<3级
兰州,周五（4日）,雨转阴,15℃/7℃,北风,<3级
兰州,周六（5日）,雨,9℃/6℃,东北风,<3级
兰州,周日（6日）,阴,12℃/6℃,东北风,<3级
兰州,周一（7日）,雨转阴,13℃/7℃,东风转东南风,<3级
海口,周一（30日）,多云转雨,29℃/24℃,东北风,<3级
海口,周二（1日）,雨转多云,29℃/24℃,东北风转东南风,<3级
海口,周三（2日）,雨转多云,29℃/24℃,东北风转东南风,<3级
海口,周四（3日）,雨转晴,30℃/24℃,东风转东南风,<3级
海口,周五（4日）,多云转晴,30℃/24℃,东南风转南风,<3级
海口,周六（5日）,阴转雨,30℃/24℃,东风转南风,<3级
海口,周日（6日）,雨,30℃/24℃,东风,<3级
海口,周一（7日）,晴转多云,29℃/23℃,东风,<3级
台北,周一（30日）,雨转多云,28℃/25℃,东北风,3-4级转<3级
台北,周二（1日）,雨,28℃/25℃,东北风,3-4级转<3级
台北,周三（2日）,雨转多云,27℃/25℃,东北风,3-4级
台北,周四（3日）,多云转雨,27℃/25℃,东北风转北风,3-4级
台北,周五（4日）,雨转多云,26℃/25℃,东北风,3-4级转4-5级
台北,周六（5日）,多云转雨,26℃/24℃,北风,4-5级
台北,周日（6日）,阴,24℃/23℃,北风,4-5级转3-4级
台北,周一（7日）,阴转多云,24℃/23℃,北风,4-5级
澳门,周一（30日）,阴转多云,29℃/26℃,东风,3-4级转<3级
澳门,周二（1日）,多云,29℃/26℃,东南风转东北风,3-4级转<3级
澳门,周三（2日）,多云,29℃/26℃,东南风转东北风,<3级
澳门,周四（3日）,多云,29℃/26℃,东风转东南风,<3级
澳门,周五（4日）,雨,30℃/26℃,东南风,<3级
澳门,周六（5日）,雨,29℃/25℃,东南风转北风,<3级
澳门,周日（6日）,晴转多云,29℃/25℃,东北风,<3级
澳门,周一（7日）,多云,28℃/25℃,东北风,<3级
