city,time,wea,tem,wind,wind_level
兰州,周四（12日）,多云转雨,25℃/14℃,北风转东南风,3-4级转<3级
兰州,周五（13日）,雨,18℃/12℃,东北风,<3级
兰州,周六（14日）,雨,17℃/12℃,东北风转北风,<3级
兰州,周日（15日）,雨转晴,21℃/13℃,东南风,<3级
兰州,周一（16日）,雨,24℃/15℃,东南风,<3级
兰州,周二（17日）,雨,25℃/15℃,东北风,<3级
兰州,周三（18日）,雨,17℃/10℃,东北风,<3级
兰州,周四（19日）,雨转阴,17℃/10℃,北风转东北风,<3级
海口,周四（12日）,小雨转雨,31℃/25℃,无持续风向转东南风,<3级
海口,周五（13日）,雨转阴,30℃/26℃,东风转西南风,<3级
海口,周六（14日）,雨转多云,30℃/26℃,西北风转西风,<3级
海口,周日（15日）,雨,31℃/27℃,西风转西南风,3-4级
海口,周一（16日）,雨,30℃/26℃,东南风,<3级
海口,周二（17日）,雨,28℃/25℃,东风转东南风,<3级
海口,周三（18日）,雨,30℃/26℃,东风转东南风,<3级
海口,周四（19日）,雨,30℃/27℃,西北风转西风,3-4级
台北,周四（12日）,阴转多云,30℃/25℃,东风转东北风,3-4级转4-5级
台北,周五（13日）,雨,29℃/26℃,东北风转东风,4-5级
台北,周六（14日）,雨转多云,29℃/25℃,东南风,5-6级转4-5级
台北,周日（15日）,雨,29℃/26℃,东风,4-5级转<3级
台北,周一（16日）,雨,29℃/25℃,东北风,3-4级
台北,周二（17日）,雨,28℃/25℃,北风,4-5级转5-6级
台北,周三（18日）,雨,28℃/25℃,东北风转东风,6-7级
台北,周四（19日）,雨,28℃/25℃,东南风,6-7级转4-5级
澳门,周四（12日）,阵雨转雨,31℃/27℃,无持续风向转北风,<3级
澳门,周五（13日）,雨,31℃/28℃,北风转西北风,<3级
澳门,周六（14日）,雨,31℃/28℃,西北风转西南风,<3级
澳门,周日（15日）,雨,32℃/29℃,西北风转南风,<3级转4-5级
澳门,周一（16日）,雨,30℃/26℃,东风,3-4级转<3级
澳门,周二（17日）,雨,29℃/27℃,东风,<3级
澳门,周三（18日）,雨,31℃/28℃,东风,<3级转3-4级
澳门,周四（19日）,雨,30℃/28℃,北风转西北风,3-4级
