和风天气海外热门城市列表 v1.2
城市ID	大洲	国家中文	国家英文	城市中文	城市英文	纬度	经度
AF1133616	亚洲	阿富汗	Afghanistan	马扎里沙里夫	Mazar-i-Sharif	36.70904	67.11087
AF1138336	亚洲	阿富汗	Afghanistan	坎大哈	Kandahar	31.61332	65.71013
AF1138958	亚洲	阿富汗	Afghanistan	喀布尔	Kabul	34.52813	69.17233
AF1944001	亚洲	阿富汗	Afghanistan	安德胡伊	Andkhoi	36.9	65.1
AF1944003	亚洲	阿富汗	Afghanistan	巴米扬	Bamiyan	34.8	67.8
AF1944004	亚洲	阿富汗	Afghanistan	恰赫恰兰	Chakhcharan	33.5	65.3
AF1944005	亚洲	阿富汗	Afghanistan	法扎巴德	Faizabad	37.1	70.5
AF1142264	亚洲	阿富汗	Afghanistan	法拉赫	Farah	32.37451	62.11638
AF1944006	亚洲	阿富汗	Afghanistan	加德兹	Gardiz	33.6	69.2
AF1944007	亚洲	阿富汗	Afghanistan	加兹阿巴德	Ghaziabad	34.3	70.8
AF1141269	亚洲	阿富汗	Afghanistan	加慈尼	Ghazni	33.55356	68.42689
AF1944008	亚洲	阿富汗	Afghanistan	海拉顿	Hairatan	37.2	67.4
AF1140026	亚洲	阿富汗	Afghanistan	赫拉特	Herat	34.34817	62.19967
AF1139715	亚洲	阿富汗	Afghanistan	贾拉拉巴德	Jalalabad	34.42647	70.45153
AF1136469	亚洲	阿富汗	Afghanistan	霍斯特	Khost	33.33951	69.92041
AF1135689	亚洲	阿富汗	Afghanistan	昆都士	Kunduz	36.72896	68.857
AF1944009	亚洲	阿富汗	Afghanistan	拉格曼	Laghman	34.7	70.2
AF1944010	亚洲	阿富汗	Afghanistan	洛加尔省	Logar	34.1	69.1
AF1944011	亚洲	阿富汗	Afghanistan	北沙浪	North Salang	35.3	69
AF1944012	亚洲	阿富汗	Afghanistan	萨罗比	Sarobi	34.6	69.8
AF1125155	亚洲	阿富汗	Afghanistan	辛丹德	Shindand	33.30294	62.1474
AF1944013	亚洲	阿富汗	Afghanistan	南沙浪	South Salang	35.3	69.1
AF1944014	亚洲	阿富汗	Afghanistan	提林库特	Tirinkot	32.6	65.9
