,sister_comment
0,回复@一只鹿的璐6:1G 
1,骚呢 
2,开车罚款 81万 
3,回复@万事皆难你可爱就够了: 
4,回复@Kerwin_庆:具体情况具体分析 
5,回复@Priapus_dh:啊这 
6,回复@有rourou:持久的很 
7,回复@番茄配吐司:@id好听且带古风 
8,回复@leungeuro:l 
9,回复@滚过来舔包: 
10,回复@故人好梦:what？ 
11,回复@季俩婷er:层主派我来了 
12,回复@今天也想吃糖ya:秀啊 
13,回复@Tutu彤_:哈哈哈 
14,回复@1128张情书:我之前就看过这个海报了 
15,回复@MeNdaCIous_:冈本不滑，哈哈哈 
16,有的事情可以快的同时，慢下来 
17,回复@高数永远爱我:？ 
18,回复@谁说戈壁滩不会有灯塔:所以。。 
19,81万的罚款不算啥，我就喜欢杜杜的硬刚文案👍👍👍 
20,回复@_无人问我粥可暖_:太内涵了 
21,回复@未知花生了什么:杜蕾斯的广告一向很优秀啊 
22,回复@-鱼头泡饼:？？？ 
23,回复@男朋友是爱哭鬼:慢慢来 
24,回复@莱康村村民:懂啦！哈哈谢谢 
25,回复@扶阿斗的人:找女生干嘛 
26,回复@异形:我看这个来 
27,回复@薇哥哥_:他们很棒，所以……现在你是前任 
28,回复@ChloeinNeverland:哈哈哈哈哈哈哈 
29,回复@丹屯:我很快吗？ 
30,回复@大圣爱吃车厘子:文案鬼才 
31,回复@Qyin-:没怎么用过，不太了解 
32,回复@FFFFUCKINGUUU:噗，懂! 
33,回复@巧克力今天化了:冒看懂??? 
34,@梓汀 
35,回复@Aaron_0729:锤你 
36,回复@媛茫茫:我还以为是苹果12发布，我寻思着你艾特我干嘛啊 
37,回复@独角兽爱表演:WiFi，贼快 
38,回复@大闸蟹奥特曼:我还艾特你了 
39,既快又久，咋地？！哈哈 
40,回复@阿噜是噜不是狗: 
41,着词牛 
42,回复@Aaron_0729:wi—fi是啥？ 
43,杜蕾斯就喜欢这种人才哈哈哈哈哈//@leungeuro:“配件，也很重要” 
44,回复@vdwiy:希望我未来的npy可以遵循这一条 
45,回复@张洁呀_:我快？！ 
46,老哥，稳👍 
47,求在安徽合肥的或者安徽江苏浙江的女生私信！素觉也可以！就算不睡觉，在合肥万达乐园玩过山车也行！当交朋友 
48,回复@秃头小卷毛:你就是想试试 
49,回复@嘟嘟丶小黄色:拿着爱的号码牌 
50,回复@独角兽爱表演:俺是Wi-Fi 
51,回复@Sunshine丶xiao玮:可以但是没有必要 
52,回复@小胖没有橘:哈哈哈哈哈哈哈哈哈哈哈哈，鬼才营销 
53,罚单正向你快速奔来 
54,回复@常安歌家那女的:对不起我慢不下来 
55,回复@xxxsmxxx_:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
56,回复@leungeuro:草 
57,回复@小芙蝶大王:哪里不妥我给你分析分析 
58,好配件 
59,杜蕾斯文案很🐮 
60,回复@小余同学吖-:ghs 
61,回复@磕死夏弥:比如说 
62,再快一点 
63,回复@bxxrw:好 
64,回复@晚间心动:我一个男的居然还是第一次听说这玩意 
65,回复@王一博你睡觉别压我头发:简直绝 
66,回复@你永远也叫不醒一个装睡的宋铎:心动的是文案不是产品哈 
67,回复@精神分裂症早期:是给寄一次性筷子么？ 
68,回复@BornStubborn5:抄袭，不配 跟抖某音狗一个德行，啥红抄啥 
69,回复@昨天还是青春:一动不动是王八 
70,回复@何妨少年狂:不好不好，别抖机灵 
71,回复@Sunshine丶xiao玮:我看不妥 
72,回复@小饶的珍珠:无处不在杜蕾斯 
73,回复@啵吻甜鑫:哈哈哈哈哈哈哈哈哈 
74,回复@晚婚v:牛的  老文化人了 
75,感觉今年的某水果发布会文案一般了 
76,回复 @图诗z:哎呀你还是太惯着我 
77,回复@多戈是只狗:你不对劲 
78,回复@丫头也有梦想:这就是你分手的理由吗 
79,回复@晓晓阔爱:吃独食是吧 
80,回复@小芙蝶大王:这事得听你姐们的 
81,回复@仙仙qwe:工具人 
82,回复@冷不丁不冷l:不懂 
83,回复@4hannn: 
84,回复@皖男L: 
85,回复@葡萄啵啵加奶盖:牛逼 
86,哈哈哈啊哈哈哈哈哈哈哈哈 牛啊 
87,回复@风不如你温柔:我又不快 
88,回复@二三皮卡皮卡:牛批 
89,@睡不醒de丸酱 这个文案也撩人么？ 
90,回复@一梦甜甜圈:你可以快一点哈哈哈哈哈哈哈哈哈 
91,@图诗z  
92,回复@嫣嫣燕然:选个好配件 
93,还是杜杜骚啊 
94,回复@leungeuro:@出门要带耳机 
95,说骚话被罚81万哈哈哈哈哈哈 
96,@zzzzm233 
97,@乐崽的微博 你可以慢一点 
98,回复@话痨洛:我还没做过，处男 
99,回复@Priapus_dh:这么狠 
100,回复@leungeuro:@金牌打手小庄 怎么个意思 
101,回复@一颗柠檬Tea_: 
102,回复@一觉睡到自:不能太快！ 
103,回复@平时多吃水果:嗯 
104,@_Koyan__ 
105,来 
106,回复@小栗爻零:我不持久吗 
107,回复@等一个陪我练琴的大金毛:哈哈哈哈哈 然后罚款就来了… 
108,回复@迷惑梦梦子:那你心动了吗 
109,回复@给你我最温暖的阳光:杜蕾斯还是杜蕾斯 
110,回复@龙星凉昨晚真猛:哈哈哈哈哈哈哈哈哈哈哈笑死了 
111,回复@CELY夏:运气真好 你单身吧 
112,回复@平时多吃水果:一盒吧 无心插柳 只是因为喜欢文案 只是碰巧关注 
113,回复@萌了个萌_:淦 
114,@hypnotize3 看评论 
115,我就是戴套快，不带套才能持久战 
116,回复@CELY夏:你运气好好哦 几盒啊？ 
117,回复@平时多吃水果:哈哈哈真的吗 期待 
118,回复@阿喵是喵不是猫:“配件，也很重要” 
119,回复@一颗靓仔牛奶糖鸭:我看这个了！第一条评论笑死我 
120,回复@超哥帅过库兹马:你慢点 
121,回复@吃不吃一稞呢:那我就是3g吧 
122,被通报批评的水平 
123,回复@笑着拉屎的姑娘:哈哈哈啊哈哈哈对哈哈哈哈 
124,回复@比c丘m尼c:很快。。 
