,sister_comment
0,回复@僷陳bilibli:不是 真不懂 
1,回复@只爱睡觉的梨:小笨蛋 
2,回复@qxxxgd-:行吧 刚看到 昨晚有个消息提醒打开是这 
3,回复@冷月偏凉吖:窝很久，窝很行 
4,@丞哥兔飞飞 泥够久嘛 
5,回复@只爱睡觉的梨:这都啥时候的了 
6,回复@qxxxgd-:啥意思 
7,回复@thosekel:？艾特我干嘛！ 
8,回复@你胡爷:， 
9,杜杜   我来晚了 
10,回复@姜承禄的圈外弟弟:承让了 
11,回复@尤弥尔的那谁:我愿称你为最强 
12,图片评论 ¡评论配图 
13,多好的文案啊，为什么要罚款，心疼你1秒 
14,很强 
15,小杜杜你太会了 
16,太惨了，小杜 
17,@所见即我吖 
18,拐弯抹角？直冲云霄。 
19,漂亮，这车开的好  懂了 
20,@小二来碗酸梅汤 
21,回复@你胡爷:？啊啥意思 
22,哈哈哈哈 
23,回复@乐乐yue琳娜:是啥 
24,回复@淘宝:wow 
25,@恩恩宝啊 
26,回复@三金同学咩: 
27,回复@小黄今天努力了吗-:图片评论 ¡评论配图 
28,回复@出轨刘阳的小迷弟:谢谢哟 
29,回复@英吉利剃须刀官方微博:牛逼 
30,配件也很重要喔 ¡评论配图 
31,回复@励志出坑的尤娜:应该是
32,回复@淘宝:@顾敔 考古了考古了（今天rs过来的）我不对劲我有问题 
33,你的车开的很文明哦 
34,回复@快烧掉那陈旧的忧伤:底下的队伍好厉害呀 
35,回复@杜蕾斯官方微博:@起个名字只为你能找见我 来看啊 
36,回复@Sanctuary·Axe:湘北湖南也有部分 
37,回复@跌入低谷时的反弹力:求原图 
38,@我不在你就会吃屎 ！！！！看 
39,回复@淘宝:哈哈哈 
40,回复@沐梓槡桐:你不对劲 
41,回复@杜蕾斯官方微博:99盒？？？卧槽！那不的用……………用3个月 
42,回复@YUCHI-YIBO:神经病 
43,我笑死@再拽我袖子松了 
44,来个人 
45,@Waywardching 
46,回复@微博抽奖平台:许愿许愿 
47,回复@超流量花花:我谢谢您 
48,不愧是百万文案设计师， 
49,回复@微博抽奖平台:请安排一下 
50,回复@微博抽奖平台:摆脱摆脱🙏 
51,回复@乌拉辣啦小叶:那天看到了哈哈哈 
52,来啦 
53,回复@微博抽奖平台:莫名期待 
54,下午就要开奖了  多转几次 
55,一年一杜，一杜n年用不上 
56,马上要开奖了，刺激  请熟人忽略我这条“致富”博 
57,回复@微博抽奖平台:选我吧选我吧 
58,一份大礼 
59,回复@小小橘子喃:七夕@我，就因为我有npy？ 
60,回复@張雯璟ww:高人竟在我身边 
61,回复@xlikeAdam: 
62,回复@_Zyhaaan:？？？？ 
63,回复@清酒暖风_Chrysanthem:然后有没有抽到你 
64,这文案hhh 
65,回复@Megann__: 
66,好好看喔 
67,回复@Firday的钢铁侠:过去多少天了 
68,回复@万物粒子:杜蕾斯的文案策划业界牛逼 
69,回复@Firday的钢铁侠:你别艾特我 
70,回复@Lyx是鲨币:哈哈哈哈哈哈哈哈哈哈 
71,回复@不吃草莓味的林西瓜:哈哈哈 
72,回复@m没有岁月可回头y:看你发什么决定回不回 
73,回复@cathy爱吃糖醋鱼:我关注你的话你会回私信嘛 
74,回复@廾匸小绫:让我看看是哪个幸运儿 
75,🈚️性生活进来唠嗑 ¡评论配图 
76,回复@烧饼超好吃:艾特我干嘛，我又用不上 
77,回复 @Ankrrr:没拿到没关系，我投资 我™直接肯定 
78,？ 
79,回复@岂有菩提惹红尘:我们小学好像没学织女的嘿嘿 
80,哈哈哈 
81,que 
82,回复@Organic桑塔纳:我他妈还没上车呢 
83,回复@OralJay:我不用，谁用谁转 
84,有男朋友了！请抽我！ 
85,回复@长庚Lw: 
86,回复@qzuser66202869:🙉 
87,回复@淘宝:闭嘴 
88,回复@徐臭臭与侯香香:你也不能啊关键是 
89,男人可能会让人失望，但杜蕾斯绝对不会 
90,回复@淘宝:@LeiNgaaKei 哈哈哈哈哈哈哈 
91,回复@_花生什么树了_:？ 
92,回复@深夜琳点:草99盒也太多了哈哈哈哈 
93,回复@半分钟Sol:哇日  哈哈哈哈哈哈 
94,回复@Harry的人:要论文案我只服杜杜 
95,回复@菲观:这文案太内涵了 
