,mayili_comment
0,🙏 
1,我其实挺喜欢你的，不管怎么样，你都要好好的。 
2,抱抱 
3,一切安好 
4,很喜欢马伊琍 
5,你要好好的 
6,终究逃不过现实 
7,早就该离了 
8,此情有憾 但你此生无憾 你深爱过 原谅过 努力过 彼此成就过 往后 各自欢喜 马司令你耍快乐快乐 
9,喜欢你的且行且珍惜，更爱你的往后，各生欢喜！ 
10,愿你安好！ 
11,我相信，文章还是爱你的！原谅他吧！太年轻升的太顺利难免会飘！ 
12,怎么让我想起了《我的前半生》呢 
13,小狼狗不行啊 
14,姐姐要加油❤️ 
15,太好了 祝获新生 
16,太好了 祝获新生 
17,婚姻真的是缘来随缘，缘尽释怀，努力过，一切无憾 
18,背后永远支持你 
19,明星哦不差钱哦，离与合就是这么任性 
20,这个热度可以 
21,有两个小棉袄，幸福 
22,很喜欢你们俩在一起，从奋斗开始一路走来，如今两个人向左走，向右走，心生难过，觉得好遗憾！ 
23,点赞只赞马伊琍 哈哈 
24,当初就不该生二妮 
25,若愛，请深愛。若離開，请果斷。别冷落，了那心，也别错过了那熱情 
26,马姐姐，愿你往后幸福 
27,终于你做了罗子君 
28,破镜难重圆，为了孩子维持到现在 
29,女神一定要幸福哦 
30,祝好 
31,我要向你学做一个有知识的女人 
32,再见，前半生 
33,再见，前半生 
34,电视里播着我的前半生 
35,希望你早日找到属于你的“贺涵” 
36,祝福往后，各生欢喜💕你，值得更好的守护 
37,回复@-邵文倩:有裂痕的爱怎么重来 
38,加油我琍！幸福美好你值得拥有！送你🌻向着太阳开放！你最美！ 
39,不要用自己的情绪去消遣别人的经历，婚姻是更多幸福和更多责任，不是每一个人都有那么幸运一次做对这道题，常怀感恩，做一个忠于自我的人就好 
40,爱你爱你爱你🤟 
41,好好的 女神 
42,                     你我深爱过，努力过。此情有憾，然无对错。 
43,女神是永远的女神，不缺毫发，永远精彩 
44,多么喜欢的一位女演员。 
45,女神！好好的！永远支持你 
46,就是觉得，一个女的全部交给了一个男人，到头来，啥也没有了， 
47,(ღ˘⌣˘ღ) 
48,曾经爱过 
49,你值得更好的 
50,祝你往后余生越来越好 
51,感情的事情 说不清也道不明 往后余生 请善待自己 
52,这种因为爱情在一起的婚姻，当爱情受到伤害，最终只能分开…… 
53,给自己最好的一个决定，重新做回自己，寻找属于自己真正的幸福，祝福你 
54,缘分到此，终于还是走到了尽头。 
55,我喜欢马伊琍，看过她所有的电视剧，希望往后余生她会幸福！ 
56,恭喜，真心的。 
57,值得更好的👌加油👌 
58,好好的 
59,不要我委屈自己，人生没有来世！ 
60,马美女，文章真的配不上你。以后你肯定会遇到一个好男人的。祝你幸福！喜欢你的电视剧，喜欢你这种自然美女。 
61,且行且珍惜 
62,向前还有更好的日子…… 
63,我是很喜欢这个演员的。 
64,爱情最大的bug是对天长地久的追求。爱情消逝，亲情续延，也是很好的结局。愿我爱的伊琍依旧大气、坚强、阳光地走下去…… 
65,这是为什么呀 
66,怎么看那个小三都她妈的不顺眼啊 
67,祝你幸福 
68,你很优秀，希望今后能找到一个爱你的、且能白头偕老的，祝福你！ 
69,女神永远好好的 
70,@芒果味儿可爱多 我才知道 
71,马司令够洒脱，霸气 
72,两人都喜欢用华为 
73,祝福 
74,余生  让下个人陪你走完 
75,❤️ 
76,一定要幸福 
77,他们俩对不起你，网上看他们俩一直藕断丝连 
78,一路走来，在你最需要他的时候，他伤害你，你大度的原谅他，这大度不是所有人都能做到的，如今，选择分开，你已经做到最好了！永远支持你，加油💪 
79,开头空两格，严谨 
80,回复@EmperLi:卧槽 
81,时光荏苒，你我终不相见 
82,华为演的好 
83,你的且行且珍惜 他不配拥有 
84,值得幸福的人，不像某些人怕被骂，只设置7天以上的人才能平均。 
85,值得幸福的人，不像某些人怕被骂，只设置7天以上的人才能平均。 
86,内心强大的你应该也是下了很久的决心才作出这样的选择，不论怎样，希望你未来的日子里依旧淡然面对一切，往后，各生欢喜。祝福你～ 
87,一道疤成了分离墙 
88,今天无意间看到一张她长发的照片，好漂亮呀 
89,加油女神 
90,曲终人散文落章，马失前蹄伊人伤。 
91,往后余生，一定要幸福 
92,确认过眼神，希望无悔，往后，一切好好的！ 
93,你要好好的  我最爱的女演员之一 
94,文章说这辈子最骄傲的是马伊琍 
95,彼此爱过 彼此祝福  不将就 各自安好  是对婚姻最好的态度 ​ 也祝两位各生欢喜，未来幸福！ 安陶氧仙子代言人马伊琍活成女人想要的样子，永远祝福你。 
96,2个女儿的妈妈 
97,马伊琍你要好好的。 
98,你会遇到属于你的贺涵的 
99,不意外，愿往后获得幸福 
100,不多说，抱抱 
101,支持你 
102,爱得深沉伤的最深 
103,幸福下去 
104,唉  终究还是离了  莫名有些伤感  替马司令难受  也替她高兴   
