,wenzhang_comment
0,我不相信爱情了 
1,现在才理解“为了爱离开你”这首歌，唱出了文章的心声，      身不由己@文章同學 
2,曾经喜欢的一对，哎！各自安好吧！ 
3,好聚好散了 
4,唉，你果真还是不能依靠住！ 
5,祝安好 
6, 
7,一切都好～ 
8,？ 
9,文章 祝你幸福 
10,挺喜欢你的、加油 
11,很少能有时间看一部完整的电视剧，但是看完了小爸爸、雪豹、最近第一次看裸婚时代，很喜欢的一个实力派演员。怎么说呢，男人在自己不成熟的时候都希望找个成熟的女人和自己一起面对生活的风浪，等自己足够强大的时候又嫌弃那个陪伴自己成长的人太强势了、想找个小鸟依人的。事已至此不论对错、祝幸福 
12,希望事业有成 
13,？！？！？！？！？！？！？！！？？！！？？！！？？！！？？！！！ 
14,我要再去看一遍奋斗 
15,文章哥 
16,文章
17,娱乐圈诱惑那么大，犯错可以理解！不要在拿以前的事，说文章了！毕竟他是个好演员，也不做你们老公！@文章同學 
18,文章是个好朋友，但是绝对不是个好老公。 
19,回复@偷1串葡萄:？现在受到过的教育还能让人用年龄来说话？怎么，你还活在被年龄左右的人生中？那你的人生有多悲惨。还有，活不到40的那叫夭折。 
20,和好容易，如初太难 
21,喜欢看你的电视剧 
22,依然支持你，希望有好的作品！ 
23,期待你的新作品 快快拍戏🤬 
24,既然分开了 都要好好的生活 喜欢你也喜欢马伊琍 觉得你们都特别的优秀 从《小爸爸》那会起 我就特别特别喜欢 希望在以后 都要让自己开心 爱你❤ 
25,嗯哪嗯哪 
26,文章特别喜欢的一个男演员 
27,一声叹息 
28,当初干嘛结婚！现在马伊琍老了！受不了了？ 
29,年龄相差太大离了重新开始 
30,身为女性感觉马伊琍爱你跟多一些 10年的时候在北京一家餐馆遇到你们一起吃饭，我就在隔壁桌，我记得很清楚你全程都是自己吃自己的，马伊琍在一旁喂爱马吃饭，全程没什么交流，马伊琍作为母亲和老婆都很优秀，马伊琍为你们的婚姻力揽狂波还是没有走到最后 分开对马伊琍来说是幸福的开端，没什么好惋惜的 
31,卧槽，不要来上热搜呀 
32,你始终是我偶像 
33,愿以后都好好的吧 
34,你是马伊琍这辈子犯的最大错误。 
35,回复@H7Lucky:她好。你可拉倒吧。她强势还自私。说马好的。去圈里问问马在贵圈里的故事。 
36,离了真的好！ 
37,你真的是娱乐圈为数不多，把双王当对子出的人，佩服，你………… 
38,回复@尐果果413:承诺是小孩子说的慌 
39,从奋斗开始喜欢你，刚毕业那阵没有网，电脑里只有全集奋斗，每天睡觉前都会看，看了不下50遍，早点走出来，加油 
40,文章是个好演员，他演的每个作品都好看，我希望大家把文章顶起来让他再火一把，给大家带来更好的电视剧！！ 
41,最终还是离了，㊗各自安好！ 
42,回复@美小妖瑶yoyo:嗯嗯，是的 
43,人都是会变的，可以对你好也可以对别人好，还是好好爱自己吧！ 
44,态度是端正的 
45,各自安好吧。 
46,啊啊啊啊 
47,回复@肖宁:比马伊琍 晚一分钟 
48,一直觉得马伊琍太强势，两个人怎么看都不合适 
49,破镜终难重圆 
50,二当家 加油 
51,666 
52,加油 文章同学 
53,各自安好！世间有多了一对单身男人与女人 
54,真不想看到 
55,多多参加综艺，走起来就是流量 
56,都加油吧！ 
57,不相信 
58,我真的不想大家来非议你们两个。不知道是什么让你们最后选择了分开，希望不是网上传的那样。其实我家之前面临跟你们一样的风波，后来选择了和好，我总拿你们来激励自己。看到你们分开，我真的比谁都不希望。 
59,有一种莫名的难过，希望你们各自安好 
60,且行且珍惜，文章同学保重！ 
61,说啥好呢 
62,希望文章同学不受任何影响，拿作品来抵制一切。你主演的少帅我看了三遍，只要你一哭我指定陪着哭，说明演技很棒，很赞。棒棒哒🎊加油💪 
63,小贝最终还是一个人！ 
64,回复@你老公叫仙洋么:满腔热血为谁拼  只为我洋仙家军 
65,回复@你老公叫仙洋么:洋 仙 
66,发生了什么 
67,回复@邓and孬:没有什么是永恒的 别一天整那没用的 说的好像你能一一兑现一样 
68,回复@落入自然:就因为这三个字 可能婚姻的走向才会这样 太强势了对婚姻是有影响的 
69,希望你好 
70,喜欢你的电影，电视剧，你的每一个作品我都看。依然一如既往的支持你，希望你有更好的作品，你最帅的。 
71,回复@你老公叫仙洋么:6666 
72,图片评论 ¡评论配图 
73,不知道为什么。就是觉得你很厉害。 为你赞 
74,无论怎样，一如既往的支持！ 
75,回复@Patrician爱荔枝:婚姻是两个人的事 出现问题 不是一个人的错 
76,挺你，期待你的新作品 
77,希望你们都能迎接你们美好的新生活，过去已经过去，祝福你们的未来，很喜欢你们二位，尽管离开了，有些许遗憾，但还是希望你们以后有各自美好的新生活。 
78,一别两宽，真好。 
79,加油💪 
80,回复@M有一个肥肥的小胖猪L:太强势了 男人都喜欢小鸟依人的 
81,难过 
82,都是凡人，不要被道德绑架，别人不一定有你们做的好，希望文章和马伊琍余生亲情 
83,这么多年，难为你了…… 
84,你已经付出代价了，五年，事情也过去了。今后找好自己的新定位，继续好好演戏吧！ 
85,一别两宽，各生欢喜。 
86,不要浪费了表演天赋。我支持你 
87,心疼马伊琍 
88,祝愿你越来越好，做自己，只是换了一种方式守候而已！！！ 
89,好好的 期待你的作品 
90,每个人都不易，环境不同，经历就不同，多给别人支持鼓掌，就是最好的理解。 
91,誓言这玩意许下了就是一生，做不到之前就别瞎比比 
92,文章，加油，一如既往支持你 
93,回复@爱偷懒的小毛孩:不早吧 ～马伊琍14.55  这是14.56 
94,在一起这么多年。说不上谁对谁错，分开了没有互撕的。已经很美了。 
95,本来挺喜欢你的，也不知道你怎么就走入歧途了 
96,好好演戏，期待你更多的优秀作品。 
97,回复@邓and孬:还有家人！哈哈哈 
98,你辜负了一个最爱你的女人 
99,各自安好 
100,回复@ANGELLASunshine:写了很多，无奈有字数限制，遂删掉了很多，还有一字遗漏，希望文章用更多更好的作品来成就自己！加油！愿才华不被辜负！你依然是你心中的文章同学！ 
101,想看你的电影和电视剧 … 
102,希望马伊琍一直幸福下去 
103,文章，其实你未必会看到我说的这段话。但我希望你能做自己想做的事情。有些事情发生了已经成了过去。尊重自己的内心，做出自己该做的事才不枉此生。不要因为害怕人言而在老去的时候再后悔。 
104,期待你的作品 
105,只是大女儿的名字有点尴尬了 
106,为什么，还是离了 
107,回复@尐果果413:说的没毛病。 
108,主要是，文章什么时候有电视剧 
109,吾爱两位，同行半路，一别两宽，余生慢慢，愿兄姐各自安好！ 
110,一步走错终身错，永远没有后悔药 
111,真实就好 
112,回复@Cerambycidae_:明明这么煽情的回忆 
113,从他的眼神能读懂他真实的内心，不管是未火时的强颜欢笑，还是大火时的放肆坦然，再或是事件后落寞无奈，文章是一位出色的演员和导演，有自己独特的视角去展现艺术的世界，若非公众人物，他们会走的更远，无奈强大的社会舆论让他举步维艰，放下过去勿眼相待，给一个机会，文章会创造出更大的舞台🙏 
114,华为妥妥大赢家 
115,加油 
116, 
